scenario,delay_ms,bandwidth_mbps,queue_pkts,scheduler,quantum0,quantum1,quantum2,class,count,mean,median,min,max
simple-p2p,20,10,20,drr,7200,3600,1200,long,4,8206.75,8617.0,6486.0,9107.0
simple-p2p,20,10,20,drr,7200,3600,1200,medium,4,3095.0,2544.0,1436.0,5856.0
simple-p2p,20,10,20,drr,7200,3600,1200,short,92,198.7391304347826,141.5,4.0,864.0
simple-p2p,20,10,20,drr,12000,6000,2400,long,6,10503.5,9440.0,8203.0,14331.0
simple-p2p,20,10,20,drr,12000,6000,2400,medium,4,4255.75,4571.0,2004.0,5877.0
simple-p2p,20,10,20,drr,12000,6000,2400,short,90,196.07777777777778,160.5,6.0,773.0
simple-p2p,20,10,50,drr,7200,3600,1200,long,4,15650.5,16317.5,9135.0,20832.0
simple-p2p,20,10,50,drr,7200,3600,1200,medium,3,2465.3333333333335,2167.0,1470.0,3759.0
simple-p2p,20,10,50,drr,7200,3600,1200,short,93,225.06451612903226,151.0,20.0,880.0
simple-p2p,20,10,50,drr,12000,6000,2400,long,7,17004.428571428572,16752.0,9224.0,24104.0
simple-p2p,20,10,50,drr,12000,6000,2400,medium,5,2983.0,2527.0,1177.0,6410.0
simple-p2p,20,10,50,drr,12000,6000,2400,short,88,211.6818181818182,135.0,6.0,799.0
simple-p2p,20,10,100,drr,7200,3600,1200,long,6,13704.166666666666,14463.5,9552.0,18287.0
simple-p2p,20,10,100,drr,7200,3600,1200,medium,5,3576.0,3617.0,1386.0,6636.0
simple-p2p,20,10,100,drr,7200,3600,1200,short,89,199.61797752808988,100.0,10.0,820.0
simple-p2p,20,10,100,drr,12000,6000,2400,long,8,19458.0,22707.0,8107.0,25921.0
simple-p2p,20,10,100,drr,12000,6000,2400,medium,4,4145.0,3945.5,2195.0,6494.0
simple-p2p,20,10,100,drr,12000,6000,2400,short,88,220.23863636363637,139.5,9.0,836.0
simple-p2p,20,50,20,drr,7200,3600,1200,long,5,2730.6,2675.0,1956.0,3562.0
simple-p2p,20,50,20,drr,7200,3600,1200,medium,4,1108.0,1110.0,771.0,1441.0
simple-p2p,20,50,20,drr,7200,3600,1200,short,91,70.17582417582418,51.0,1.0,332.0
simple-p2p,20,50,20,drr,12000,6000,2400,medium,4,675.25,721.5,302.0,956.0
simple-p2p,20,50,20,drr,12000,6000,2400,short,96,78.58333333333333,53.5,2.0,339.0
simple-p2p,20,50,50,drr,7200,3600,1200,long,4,1845.0,1928.5,1538.0,1985.0
simple-p2p,20,50,50,drr,7200,3600,1200,medium,11,752.0,578.0,283.0,1739.0
simple-p2p,20,50,50,drr,7200,3600,1200,short,85,59.023529411764706,42.0,0.0,173.0
simple-p2p,20,50,50,drr,12000,6000,2400,long,3,2295.6666666666665,2425.0,1669.0,2793.0
simple-p2p,20,50,50,drr,12000,6000,2400,medium,7,629.0,620.0,285.0,1053.0
simple-p2p,20,50,50,drr,12000,6000,2400,short,90,72.13333333333334,52.0,4.0,299.0
simple-p2p,20,50,100,drr,7200,3600,1200,long,9,3157.222222222222,2838.0,1914.0,4690.0
simple-p2p,20,50,100,drr,7200,3600,1200,medium,7,808.2857142857143,812.0,268.0,1230.0
simple-p2p,20,50,100,drr,7200,3600,1200,short,84,57.17857142857143,34.0,0.0,207.0
simple-p2p,20,50,100,drr,12000,6000,2400,long,4,2535.5,2406.5,2005.0,3324.0
simple-p2p,20,50,100,drr,12000,6000,2400,medium,3,446.3333333333333,498.0,219.0,622.0
simple-p2p,20,50,100,drr,12000,6000,2400,short,93,66.40860215053763,58.0,2.0,252.0
