time_ms,stream_id,bytes,sct_ms,class,scheduler
1764638334972,4,2949,9.00,short,drr
1764638335033,40,5078,50.00,short,drr
1764638335117,32,14030,138.00,short,drr
1764638335268,80,2247,21.00,short,drr
1764638335271,24,18161,301.00,short,drr
1764638335271,36,16830,288.00,short,drr
1764638335290,48,3959,173.00,short,drr
1764638335292,0,25363,330.00,short,drr
1764638335294,76,3733,59.00,short,drr
1764638335295,64,2644,130.00,short,drr
1764638335421,52,8601,287.00,short,drr
1764638335436,72,22415,252.00,short,drr
1764638335443,56,18695,295.00,short,drr
1764638335454,68,24320,274.00,short,drr
1764638335457,28,35798,487.00,short,drr
1764638335470,44,32915,436.00,short,drr
1764638335617,92,22789,251.00,short,drr
1764638335731,84,39449,462.00,short,drr
1764638335782,108,4839,50.00,short,drr
1764638335819,112,4068,37.00,short,drr
1764638335889,16,80217,919.00,short,drr
1764638335923,116,9682,101.00,short,drr
1764638335942,120,5082,51.00,short,drr
1764638336054,8,100601,1088.00,short,drr
1764638336137,96,66522,717.00,short,drr
1764638336143,124,14267,230.00,short,drr
1764638336190,132,14100,138.00,short,drr
1764638336376,140,23786,239.00,short,drr
1764638336452,100,94289,998.00,short,drr
1764638336682,144,46635,491.00,short,drr
1764638336758,152,30565,313.00,short,drr
1764638337032,148,62146,651.00,short,drr
1764638337448,136,133263,1394.00,medium,drr
1764638337473,160,67185,714.00,short,drr
1764638337473,168,2853,23.00,short,drr
1764638337540,156,82500,865.00,short,drr
1764638337615,176,13556,141.00,short,drr
1764638337639,184,3560,23.00,short,drr
1764638337827,172,34131,353.00,short,drr
1764638337912,164,85703,889.00,short,drr
1764638338190,180,60937,646.00,short,drr
1764638338226,200,5967,47.00,short,drr
1764638338231,196,30924,315.00,short,drr
1764638338416,204,18206,188.00,short,drr
1764638338440,212,2960,23.00,short,drr
1764638338482,208,24238,247.00,short,drr
1764638338598,220,11899,113.00,short,drr
1764638338699,188,101012,1059.00,short,drr
1764638338759,192,88897,931.00,short,drr
1764638338838,224,22770,239.00,short,drr
1764638338855,88,336486,3578.00,medium,drr
1764638338894,240,4742,37.00,short,drr
1764638339001,232,23105,241.00,short,drr
1764638339022,244,12026,127.00,short,drr
1764638339086,252,7712,76.00,short,drr
1764638339117,228,40277,417.00,short,drr
1764638339143,260,2699,25.00,short,drr
1764638339146,104,334337,3528.00,medium,drr
1764638339181,236,32641,355.00,short,drr
1764638339341,256,24012,255.00,short,drr
1764638339422,272,24884,253.00,short,drr
1764638339498,264,32793,354.00,short,drr
1764638339562,284,6341,62.00,short,drr
1764638339585,248,55335,583.00,short,drr
1764638339635,292,5289,50.00,short,drr
1764638339650,288,9157,88.00,short,drr
1764638339728,300,7274,76.00,short,drr
1764638339753,304,4381,37.00,short,drr
1764638339766,280,31938,341.00,short,drr
1764638339906,312,13393,139.00,short,drr
1764638339937,20,463299,4968.00,medium,drr
1764638340031,316,12164,125.00,short,drr
1764638340040,296,38604,404.00,short,drr
1764638340459,324,42178,440.00,short,drr
1764638340507,320,54068,566.00,short,drr
1764638340548,308,74918,793.00,short,drr
1764638340571,336,6818,63.00,short,drr
1764638340738,332,26683,276.00,short,drr
1764638341157,60,565156,6005.00,medium,drr
1764638341172,344,57783,599.00,short,drr
1764638341664,356,46933,490.00,short,drr
1764638341796,352,63016,652.00,short,drr
1764638342113,364,29586,316.00,short,drr
1764638342199,368,10051,100.00,short,drr
1764638342268,360,57792,603.00,short,drr
1764638342274,216,362015,3832.00,medium,drr
1764638342318,380,4979,50.00,short,drr
1764638342466,268,315125,3320.00,medium,drr
1764638342500,376,23440,238.00,short,drr
1764638342527,392,2962,25.00,short,drr
1764638342554,388,8759,86.00,short,drr
1764638342582,396,4864,51.00,short,drr
1764638342594,400,4007,39.00,short,drr
1764638342734,408,14065,138.00,short,drr
1764638342787,404,20760,214.00,short,drr
1764638342798,412,6820,63.00,short,drr
1764638342838,420,3811,39.00,short,drr
1764638342845,372,60929,645.00,short,drr
1764638342960,424,12104,126.00,short,drr
1764638342987,432,3583,37.00,short,drr
1764638343039,436,6123,64.00,short,drr
1764638343297,428,42380,458.00,short,drr
1764638343298,416,47685,508.00,short,drr
1764638343375,444,9429,85.00,short,drr
