time_ms,stream_id,bytes,sct_ms,class,scheduler
1764636178771,36,15734,47.00,short,abs
1764636178889,56,26530,56.00,short,abs
1764636179011,72,2674,107.00,short,abs
1764636179011,76,5140,104.00,short,abs
1764636179012,80,6011,103.00,short,abs
1764636179018,68,15909,123.00,short,abs
1764636179018,40,30298,278.00,short,abs
1764636179025,64,7340,135.00,short,abs
1764636179026,44,19533,251.00,short,abs
1764636179029,48,29022,235.00,short,abs
1764636179029,52,10988,206.00,short,abs
1764636179040,60,33964,179.00,short,abs
1764636179047,84,22108,135.00,short,abs
1764636179167,88,66629,243.00,short,abs
1764636180205,100,15691,187.00,short,abs
1764636180378,96,5644,365.00,short,abs
1764636180379,92,929095,1419.00,medium,abs
1764636191711,148,8108,67.00,short,abs
1764636191711,144,2094,70.00,short,abs
1764636191711,152,28645,60.00,short,abs
1764636191746,156,28908,64.00,short,abs
1764636191746,140,3201,108.00,short,abs
1764636192003,168,42723,48.00,short,abs
1764636192003,164,5555,53.00,short,abs
1764636192071,172,4042,71.00,short,abs
1764636192250,132,6897,629.00,short,abs
1764636192250,160,227042,538.00,medium,abs
1764636192250,136,9869,621.00,short,abs
1764636192250,176,218234,246.00,medium,abs
1764636192285,128,10572,674.00,short,abs
1764636192285,180,15120,51.00,short,abs
1764636192595,188,50320,292.00,short,abs
1764636192768,184,49697,516.00,short,abs
1764636192803,124,19762,1212.00,short,abs
1764636192976,120,5833,1390.00,short,abs
1764636193045,116,11346,1472.00,short,abs
1764636193114,112,99702,1645.00,short,abs
1764636193183,108,3420570,5326.00,long,abs
1764636196824,192,4165717,4469.00,long,abs
1764636196850,200,2694,24.00,short,abs
1764636196850,204,9691,21.00,short,abs
1764636196996,224,29914,35.00,short,abs
1764636196996,216,54942,142.00,short,abs
1764636196996,220,47256,84.00,short,abs
1764636196998,228,4263,6.00,short,abs
1764636196998,212,2908,147.00,short,abs
1764636196998,208,11405,158.00,short,abs
1764636197006,232,2095,9.00,short,abs
1764636197029,244,5305,13.00,short,abs
1764636197042,248,9283,21.00,short,abs
1764636197042,240,7834,34.00,short,abs
1764636197043,236,7020,43.00,short,abs
1764636197234,260,99372,173.00,short,abs
1764636197239,256,17355,194.00,short,abs
1764636197239,252,11637,208.00,short,abs
1764636197239,196,70392,486.00,short,abs
1764636197632,292,73920,283.00,short,abs
1764636197736,288,8511,394.00,short,abs
1764636197875,284,3028,535.00,short,abs
1764636198048,280,25854,734.00,short,abs
1764636198117,276,35145,840.00,short,abs
1764636198255,272,33169,1012.00,short,abs
1764636198290,268,2654,1049.00,short,abs
1764636198290,264,69741,1124.00,short,abs
1764636200402,332,2838,24.00,short,abs
1764636200526,352,7822,89.00,short,abs
1764636200526,348,2543,92.00,short,abs
1764636200560,356,78375,116.00,short,abs
1764636200699,344,18048,283.00,short,abs
1764636200837,336,21066,456.00,short,abs
1764636200837,340,12297,433.00,short,abs
1764636200837,328,26368,485.00,short,abs
1764636200838,324,10187,497.00,short,abs
1764636200838,316,9366,512.00,short,abs
1764636200838,312,12971,525.00,short,abs
1764636200838,308,33766,561.00,short,abs
1764636200838,320,4797,502.00,short,abs
1764636200907,296,2687126,3481.00,long,abs
1764636200907,300,10895,644.00,short,abs
1764636200907,304,3535,633.00,short,abs
1764636206143,368,7993,112.00,short,abs
1764636206143,364,2611,115.00,short,abs
1764636206143,360,5205774,5616.00,long,abs
1764636206143,372,2099,105.00,short,abs
1764636206697,396,3635,58.00,short,abs
1764636206697,400,44567,56.00,short,abs
1764636206785,412,4642,29.00,short,abs
1764636206785,408,55304,87.00,short,abs
1764636206811,420,17539,24.00,short,abs
1764636206811,416,24294,49.00,short,abs
1764636206811,404,9040,122.00,short,abs
1764636206880,424,6641,75.00,short,abs
1764636206880,392,99104,345.00,short,abs
1764636206893,388,3350,361.00,short,abs
1764636206927,428,77167,115.00,short,abs
1764636207041,432,88101,147.00,short,abs
1764636207041,384,10506,520.00,short,abs
1764636207076,436,53112,89.00,short,abs
1764636207089,380,5825,572.00,short,abs
1764636207257,468,4574,14.00,short,abs
1764636207293,476,26793,34.00,short,abs
1764636207293,472,9250,44.00,short,abs
1764636207327,464,7188,91.00,short,abs
1764636207327,460,3204,94.00,short,abs
1764636207327,456,12721,107.00,short,abs
1764636207327,480,7113,41.00,short,abs
1764636207327,452,63174,174.00,short,abs
1764636207596,492,6179,211.00,short,abs
1764636207735,488,21591,372.00,short,abs
1764636207839,448,14132,699.00,short,abs
1764636207839,440,44006,795.00,short,abs
1764636207839,484,65797,544.00,short,abs
1764636207839,444,46533,748.00,short,abs
1764636208116,376,452605,2075.00,medium,abs
