time_ms,stream_id,bytes,sct_ms,class,scheduler
1764630062061,32,2083,13.00,short,drr
1764630062064,4,2825,25.00,short,drr
1764630062069,20,2369,25.00,short,drr
1764630062082,40,2693,25.00,short,drr
1764630062102,48,3387,38.00,short,drr
1764630062121,24,7200,76.00,short,drr
1764630062134,52,4678,50.00,short,drr
1764630062167,8,12532,127.00,short,drr
1764630062190,36,13515,141.00,short,drr
1764630062192,56,7994,88.00,short,drr
1764630062322,0,28888,295.00,short,drr
1764630062349,88,2084,111.00,short,drr
1764630062353,44,20640,292.00,short,drr
1764630062361,96,3923,121.00,short,drr
1764630062478,72,7593,287.00,short,drr
1764630062478,76,5066,285.00,short,drr
1764630062478,80,10265,265.00,short,drr
1764630062485,100,13030,224.00,short,drr
1764630062518,28,36473,471.00,short,drr
1764630062542,60,40526,420.00,short,drr
1764630062551,92,28325,313.00,short,drr
1764630062586,68,39939,417.00,short,drr
1764630062622,112,20118,206.00,short,drr
1764630062659,104,37704,394.00,short,drr
1764630062660,128,3553,37.00,short,drr
1764630062712,136,5516,50.00,short,drr
1764630062736,132,6731,77.00,short,drr
1764630062878,140,15965,165.00,short,drr
1764630062914,144,18562,189.00,short,drr
1764630062956,12,79739,914.00,short,drr
1764630062982,156,3201,25.00,short,drr
1764630063022,160,4548,38.00,short,drr
1764630063034,84,73340,803.00,short,drr
1764630063174,16,102004,1132.00,short,drr
1764630063448,164,40943,426.00,short,drr
1764630063474,168,41306,451.00,short,drr
1764630063549,176,10284,100.00,short,drr
1764630063582,152,63489,668.00,short,drr
1764630063627,184,7370,76.00,short,drr
1764630063640,192,3124,25.00,short,drr
1764630063659,124,101864,1071.00,short,drr
1764630063689,180,22217,226.00,short,drr
1764630063744,172,52717,557.00,short,drr
1764630063808,208,6477,63.00,short,drr
1764630063817,204,12612,126.00,short,drr
1764630063833,196,18900,191.00,short,drr
1764630063844,216,2414,26.00,short,drr
1764630063872,224,4696,38.00,short,drr
1764630063874,212,6513,65.00,short,drr
1764630063990,200,31718,331.00,short,drr
1764630064071,64,179800,1948.00,medium,drr
1764630064244,236,24432,252.00,short,drr
1764630064283,244,4617,37.00,short,drr
1764630064286,220,43892,454.00,short,drr
1764630064401,240,31270,328.00,short,drr
1764630064453,256,5242,50.00,short,drr
1764630064593,260,13049,140.00,short,drr
1764630064598,188,96045,1014.00,short,drr
1764630064634,232,72248,758.00,short,drr
1764630064724,268,12653,126.00,short,drr
1764630064833,228,91426,960.00,short,drr
1764630064865,276,14150,138.00,short,drr
1764630064890,284,2548,25.00,short,drr
1764630064929,248,61756,645.00,short,drr
1764630064978,148,197828,2099.00,medium,drr
1764630065017,288,12144,124.00,short,drr
1764630065021,252,70253,734.00,short,drr
1764630065043,296,6065,65.00,short,drr
1764630065140,280,29124,305.00,short,drr
1764630065183,308,15159,151.00,short,drr
1764630065206,108,265695,2814.00,medium,drr
1764630065247,320,4841,51.00,short,drr
1764630065347,300,31695,330.00,short,drr
1764630065356,264,73259,774.00,short,drr
1764630065396,328,4118,49.00,short,drr
1764630065430,312,27783,290.00,short,drr
1764630065444,332,8683,86.00,short,drr
1764630065469,272,79261,834.00,short,drr
1764630065470,344,3091,25.00,short,drr
1764630065525,324,28118,288.00,short,drr
1764630065564,356,3090,39.00,short,drr
1764630065595,340,16177,165.00,short,drr
1764630065672,364,6434,76.00,short,drr
1764630065696,304,63869,673.00,short,drr
1764630065716,360,16472,165.00,short,drr
1764630065734,372,3520,37.00,short,drr
1764630065734,368,7631,74.00,short,drr
1764630065742,376,2272,25.00,short,drr
1764630065849,384,11048,113.00,short,drr
1764630066040,392,18323,189.00,short,drr
1764630066155,396,11621,114.00,short,drr
1764630066155,352,64516,683.00,short,drr
1764630066169,400,3475,25.00,short,drr
1764630066193,404,3065,37.00,short,drr
1764630066227,380,47552,492.00,short,drr
1764630066255,316,101950,1071.00,short,drr
1764630066284,408,11033,113.00,short,drr
1764630066431,416,18689,203.00,short,drr
1764630066432,428,2143,12.00,short,drr
1764630066437,424,15509,152.00,short,drr
1764630066451,436,2218,12.00,short,drr
1764630066460,432,2855,26.00,short,drr
1764630066495,348,96774,1025.00,short,drr
1764630066548,444,8898,88.00,short,drr
1764630066623,420,33553,368.00,short,drr
1764630066623,452,6016,74.00,short,drr
1764630066668,388,87716,925.00,short,drr
1764630066811,448,30102,315.00,short,drr
1764630066822,116,403429,4279.00,medium,drr
1764630067074,472,24286,251.00,short,drr
1764630067100,476,3228,25.00,short,drr
1764630067138,460,48257,514.00,short,drr
1764630067178,484,4788,51.00,short,drr
1764630067242,488,7745,75.00,short,drr
1764630067418,492,16885,176.00,short,drr
1764630067467,468,62977,654.00,short,drr
1764630067507,500,3774,38.00,short,drr
1764630067530,464,81067,860.00,short,drr
1764630067719,496,28645,301.00,short,drr
1764630068583,512,83039,862.00,short,drr
1764630068760,516,17490,175.00,short,drr
1764630068782,480,160066,1681.00,medium,drr
1764630068935,524,14543,152.00,short,drr
1764630069200,528,26954,275.00,short,drr
1764630069214,532,2134,12.00,short,drr
1764630069253,520,46968,491.00,short,drr
1764630069621,292,441978,4691.00,medium,drr
1764630069659,544,5718,50.00,short,drr
1764630069697,548,2990,37.00,short,drr
1764630069723,552,2264,26.00,short,drr
1764630069753,504,213579,2258.00,medium,drr
1764630069828,560,7966,75.00,short,drr
1764630069949,556,23513,238.00,short,drr
1764630069975,568,3113,25.00,short,drr
1764630069979,564,14423,150.00,short,drr
1764630070012,572,3438,36.00,short,drr
1764630070190,580,16782,177.00,short,drr
1764630070200,540,88330,945.00,short,drr
1764630070216,584,4527,39.00,short,drr
1764630070380,592,16017,163.00,short,drr
1764630070505,596,11696,125.00,short,drr
1764630070633,600,12759,125.00,short,drr
1764630071186,604,52548,552.00,short,drr
1764630071224,608,5426,50.00,short,drr
1764630071463,576,140985,1482.00,medium,drr
1764630071952,612,69330,728.00,short,drr
1764630071964,620,2722,25.00,short,drr
1764630072130,624,15546,164.00,short,drr
1764630072590,628,46260,473.00,short,drr
1764630072835,588,251933,2646.00,medium,drr
1764630072923,636,8882,88.00,short,drr
1764630072962,640,2736,38.00,short,drr
1764630073137,644,19052,187.00,short,drr
1764630073176,648,4169,37.00,short,drr
1764630073303,652,12362,125.00,short,drr
1764630073397,632,77320,805.00,short,drr
1764630073444,656,14025,138.00,short,drr
1764630073601,660,20105,202.00,short,drr
1764630073609,664,15064,165.00,short,drr
1764630073640,672,3972,37.00,short,drr
1764630074056,676,40421,414.00,short,drr
1764630075378,336,946019,9981.00,medium,drr
1764630084264,536,1429280,15049.00,long,drr
1764630084326,688,6718,62.00,short,drr
1764630084354,692,2508,26.00,short,drr
1764630084843,696,48460,501.00,short,drr
1764630085545,700,66884,701.00,short,drr
1764630086084,704,51833,538.00,short,drr
1764630086382,708,29417,298.00,short,drr
1764630087542,668,1328575,13944.00,long,drr
1764630087743,716,18948,200.00,short,drr
1764630087808,720,6095,63.00,short,drr
1764630087924,712,147041,1541.00,medium,drr
1764630088010,724,20422,214.00,short,drr
1764630088248,732,24972,250.00,short,drr
1764630088573,736,31758,322.00,short,drr
1764630088661,740,8635,87.00,short,drr
1764630088689,728,73020,764.00,short,drr
1764630088789,748,10341,100.00,short,drr
1764630088816,752,2884,25.00,short,drr
1764630089340,744,65048,678.00,short,drr
1764630089368,756,53162,552.00,short,drr
1764630089428,760,8221,87.00,short,drr
1764630089832,768,38187,402.00,short,drr
1764630089857,772,4006,37.00,short,drr
1764630089920,776,6603,62.00,short,drr
1764630090097,780,17199,175.00,short,drr
1764630090260,764,84595,892.00,short,drr
1764630090267,456,2246418,23653.00,long,drr
1764630090304,792,3256,37.00,short,drr
1764630090487,788,22716,239.00,short,drr
1764630090526,800,5780,50.00,short,drr
1764630090544,796,23013,239.00,short,drr
1764630090681,804,14450,153.00,short,drr
1764630090685,808,13185,140.00,short,drr
1764630090707,812,3870,39.00,short,drr
1764630090758,820,5244,50.00,short,drr
1764630090828,784,69722,731.00,short,drr
1764630090844,824,8864,85.00,short,drr
1764630090860,828,7430,74.00,short,drr
1764630090865,832,4145,36.00,short,drr
1764630090879,816,11406,206.00,short,drr
1764630090898,836,4048,54.00,short,drr
1764630090910,848,3279,25.00,short,drr
