time_ms,stream_id,bytes,sct_ms,class,scheduler
1764637227075,4,6940,45.00,short,rr
1764637227140,36,8681,91.00,short,rr
1764637227151,32,9748,104.00,short,rr
1764637227164,48,3550,25.00,short,rr
1764637227174,20,12842,130.00,short,rr
1764637227191,52,3320,25.00,short,rr
1764637227330,92,4011,43.00,short,rr
1764637227338,8,20494,307.00,short,rr
1764637227340,0,24061,314.00,short,rr
1764637227343,16,18799,301.00,short,rr
1764637227344,68,3896,128.00,short,rr
1764637227346,72,6106,128.00,short,rr
1764637227489,28,25430,443.00,short,rr
1764637227492,60,17697,298.00,short,rr
1764637227520,64,21213,303.00,short,rr
1764637227521,12,28478,484.00,short,rr
1764637227525,80,8704,275.00,short,rr
1764637227534,96,19649,244.00,short,rr
1764637227549,88,15015,283.00,short,rr
1764637227560,104,13160,145.00,short,rr
1764637227643,112,14588,161.00,short,rr
1764637227651,100,27145,320.00,short,rr
1764637227656,76,35916,429.00,short,rr
1764637227707,120,6980,62.00,short,rr
1764637227721,132,2109,12.00,short,rr
1764637227777,40,60809,702.00,short,rr
1764637227795,56,55207,619.00,short,rr
1764637227810,136,8446,88.00,short,rr
1764637227835,124,17408,189.00,short,rr
1764637227916,140,13667,137.00,short,rr
1764637227981,156,7279,64.00,short,rr
1764637228058,128,38726,405.00,short,rr
1764637228067,116,48385,520.00,short,rr
1764637228093,168,2693,25.00,short,rr
1764637228121,160,14140,138.00,short,rr
1764637228139,144,32354,343.00,short,rr
1764637228163,152,33491,339.00,short,rr
1764637228181,24,100035,1136.00,short,rr
1764637228226,184,6140,62.00,short,rr
1764637228254,172,15586,161.00,short,rr
1764637228271,176,14577,148.00,short,rr
1764637228286,180,16054,160.00,short,rr
1764637228326,204,3875,38.00,short,rr
1764637228334,188,15228,151.00,short,rr
1764637228340,208,3163,25.00,short,rr
1764637228403,216,6830,61.00,short,rr
1764637228504,220,9580,101.00,short,rr
1764637228572,212,23685,238.00,short,rr
1764637228593,224,9214,87.00,short,rr
1764637228620,228,4645,47.00,short,rr
1764637228657,196,37888,401.00,short,rr
1764637228684,240,3624,25.00,short,rr
1764637228696,244,2286,11.00,short,rr
1764637228764,192,51001,538.00,short,rr
1764637228842,148,98850,1031.00,short,rr
1764637228881,256,3042,38.00,short,rr
1764637228919,260,5683,49.00,short,rr
1764637228981,264,6125,60.00,short,rr
1764637229092,252,30891,325.00,short,rr
1764637229099,236,44124,479.00,short,rr
1764637229105,272,3408,24.00,short,rr
1764637229164,276,6901,65.00,short,rr
1764637229281,284,11306,114.00,short,rr
1764637229423,268,42418,452.00,short,rr
1764637229478,288,18473,197.00,short,rr
1764637229487,292,6825,62.00,short,rr
1764637229623,280,48982,516.00,short,rr
1764637229675,248,92092,979.00,short,rr
1764637229706,296,23723,239.00,short,rr
1764637229822,304,19432,198.00,short,rr
1764637229849,316,3313,25.00,short,rr
1764637230324,320,45239,474.00,short,rr
1764637230341,300,81679,851.00,short,rr
1764637230415,308,69657,735.00,short,rr
1764637230438,328,11247,107.00,short,rr
1764637230477,336,2920,38.00,short,rr
1764637230497,324,17704,173.00,short,rr
1764637230544,312,79269,838.00,short,rr
1764637230621,348,7420,75.00,short,rr
1764637230636,352,3017,24.00,short,rr
1764637230661,356,2989,25.00,short,rr
1764637230734,44,329126,3608.00,medium,rr
1764637230799,344,30458,300.00,short,rr
1764637230874,360,21636,210.00,short,rr
1764637230931,332,49353,516.00,short,rr
1764637230937,364,21046,214.00,short,rr
1764637230983,376,5243,49.00,short,rr
1764637231166,368,34169,363.00,short,rr
1764637231195,384,20227,212.00,short,rr
1764637231221,392,2365,25.00,short,rr
1764637231248,396,2128,26.00,short,rr
1764637231261,400,3147,25.00,short,rr
1764637231274,404,2049,12.00,short,rr
1764637231486,408,20474,212.00,short,rr
1764637231697,412,20520,210.00,short,rr
1764637231721,416,2342,24.00,short,rr
1764637231850,380,87812,912.00,short,rr
1764637232086,424,22866,235.00,short,rr
1764637232327,372,137290,1453.00,medium,rr
1764637232342,428,25541,254.00,short,rr
1764637232467,436,10778,124.00,short,rr
1764637232499,420,74068,777.00,short,rr
1764637232614,232,380374,4021.00,medium,rr
1764637232828,440,37272,373.00,short,rr
1764637232878,452,4911,49.00,short,rr
1764637233019,444,48906,520.00,short,rr
1764637233209,432,84342,894.00,short,rr
1764637233334,448,69195,719.00,short,rr
1764637233349,464,13518,138.00,short,rr
1764637233463,472,13018,125.00,short,rr
1764637233734,468,38094,398.00,short,rr
1764637233886,476,41250,421.00,short,rr
1764637233914,484,2567,25.00,short,rr
1764637233965,488,6381,61.00,short,rr
1764637233991,492,2145,25.00,short,rr
1764637234019,496,2575,26.00,short,rr
1764637234033,500,2422,26.00,short,rr
1764637234076,480,32761,341.00,short,rr
1764637234185,504,17096,163.00,short,rr
1764637234213,512,2610,25.00,short,rr
1764637234293,508,21379,215.00,short,rr
1764637234420,520,13305,125.00,short,rr
1764637234688,516,47362,484.00,short,rr
1764637234729,528,4893,38.00,short,rr
1764637235281,524,80314,861.00,short,rr
1764637235462,532,71596,731.00,short,rr
1764637235836,540,36291,371.00,short,rr
1764637235873,544,4501,35.00,short,rr
1764637236164,536,83880,894.00,short,rr
1764637236315,552,15089,148.00,short,rr
1764637236400,556,8500,85.00,short,rr
1764637236559,548,66264,685.00,short,rr
1764637237004,460,377772,3983.00,medium,rr
1764637237155,568,16034,162.00,short,rr
1764637237169,572,2705,25.00,short,rr
1764637237197,576,2676,26.00,short,rr
1764637237223,580,4394,38.00,short,rr
1764637237352,560,92653,951.00,short,rr
1764637237361,584,12682,137.00,short,rr
1764637237525,564,92354,963.00,short,rr
1764637237655,596,12408,128.00,short,rr
1764637237788,600,15051,146.00,short,rr
1764637237860,588,50231,511.00,short,rr
1764637237887,608,2633,26.00,short,rr
1764637237978,604,17177,188.00,short,rr
1764637238004,616,3928,38.00,short,rr
1764637238126,592,75237,772.00,short,rr
1764637238153,624,3167,24.00,short,rr
1764637238872,628,67977,719.00,short,rr
1764637238887,200,1006736,10614.00,medium,rr
1764637238965,636,9359,89.00,short,rr
1764637239029,640,7255,62.00,short,rr
1764637239055,644,3445,24.00,short,rr
1764637239093,648,3859,36.00,short,rr
1764637239107,652,2946,24.00,short,rr
1764637239143,656,3984,35.00,short,rr
1764637239320,660,18175,175.00,short,rr
1764637239394,664,7054,74.00,short,rr
1764637239458,668,6415,61.00,short,rr
1764637240364,672,87908,906.00,short,rr
1764637241122,676,72035,757.00,short,rr
1764637241226,632,223869,2352.00,medium,rr
1764637241303,684,8397,75.00,short,rr
1764637241431,688,13280,126.00,short,rr
1764637241459,692,2523,26.00,short,rr
1764637241660,680,50622,538.00,short,rr
1764637241982,700,32698,334.00,short,rr
1764637242420,704,43405,437.00,short,rr
1764637242484,708,5377,63.00,short,rr
1764637244179,620,583137,6175.00,medium,rr
1764637244190,716,3113,23.00,short,rr
1764637244276,720,7589,85.00,short,rr
1764637244301,724,3226,23.00,short,rr
1764637244877,728,56890,574.00,short,rr
1764637245148,732,21880,269.00,short,rr
1764637245960,736,82442,857.00,short,rr
1764637245985,740,2210,24.00,short,rr
1764637247866,696,613556,6420.00,medium,rr
1764637249968,748,200050,2098.00,medium,rr
1764637250042,752,7260,72.00,short,rr
1764637250165,756,14618,135.00,short,rr
1764637250245,760,8011,76.00,short,rr
1764637251238,764,97855,992.00,short,rr
1764637251640,768,37850,399.00,short,rr
1764637251740,772,11474,112.00,short,rr
1764637251832,776,8902,88.00,short,rr
1764637251892,780,6710,58.00,short,rr
1764637252019,784,11944,126.00,short,rr
1764637252143,788,12277,124.00,short,rr
1764637252265,792,11347,121.00,short,rr
1764637252368,796,12086,113.00,short,rr
1764637260864,612,2186446,22977.00,long,rr
1764637261016,804,14704,151.00,short,rr
1764637261152,808,14927,148.00,short,rr
1764637261166,812,2049,12.00,short,rr
1764637261204,816,3217,38.00,short,rr
1764637261240,820,3969,35.00,short,rr
1764637261907,800,905989,9538.00,medium,rr
1764637261920,828,3024,23.00,short,rr
1764637262121,832,18581,199.00,short,rr
1764637262505,836,39912,397.00,short,rr
1764637263300,840,75458,793.00,short,rr
1764637264286,844,95044,995.00,short,rr
1764637264300,848,3525,24.00,short,rr
1764637264336,852,2806,35.00,short,rr
1764637264387,856,7129,61.00,short,rr
1764637264947,860,53967,558.00,short,rr
1764637266634,340,3438149,36168.00,long,rr
1764637267479,868,80417,843.00,short,rr
1764637267490,872,3464,24.00,short,rr
1764637267517,876,3358,25.00,short,rr
1764637267667,880,14067,149.00,short,rr
1764637268588,884,88173,921.00,short,rr
1764637269146,888,54224,557.00,short,rr
1764637269889,892,71274,742.00,short,rr
1764637269939,896,4841,49.00,short,rr
1764637270015,900,8121,73.00,short,rr
1764637270043,904,3338,26.00,short,rr
1764637270059,712,2627608,27587.00,long,rr
1764637270232,908,18191,187.00,short,rr
1764637270907,916,63793,674.00,short,rr
1764637270970,920,7672,75.00,short,rr
1764637271021,924,6070,49.00,short,rr
1764637271058,928,4098,35.00,short,rr
1764637271147,932,8429,88.00,short,rr
1764637271358,936,20709,211.00,short,rr
1764637271456,940,8631,97.00,short,rr
1764637271494,944,4386,37.00,short,rr
1764637272003,948,50485,507.00,short,rr
1764637273601,864,823273,8653.00,medium,rr
1764637273789,956,19468,186.00,short,rr
1764637274367,84,4464830,47114.00,long,rr
1764637274406,964,2661,38.00,short,rr
1764637274480,968,9251,84.00,short,rr
1764637274695,972,20236,214.00,short,rr
1764637274698,960,87196,907.00,short,rr
1764637274712,980,2254,12.00,short,rr
1764637274778,984,6255,64.00,short,rr
1764637274826,988,7038,61.00,short,rr
1764637274857,976,16466,161.00,short,rr
1764637274881,996,3597,22.00,short,rr
1764637275001,912,470575,4953.00,medium,rr
1764637275016,992,18223,188.00,short,rr
1764637275336,1000,44751,451.00,short,rr
1764637275415,1012,7745,76.00,short,rr
1764637275452,1016,4017,37.00,short,rr
1764637275490,1020,3235,35.00,short,rr
1764637275791,1008,75997,774.00,short,rr
1764637282137,744,3446164,36152.00,long,rr
1764637282874,1004,749001,7872.00,medium,rr
1764637282874,1032,69781,735.00,short,rr
1764637283047,1040,16901,173.00,short,rr
1764637283075,1036,21627,209.00,short,rr
1764637283111,1044,6259,62.00,short,rr
1764637283661,1048,57136,585.00,short,rr
1764637283868,1056,19809,206.00,short,rr
1764637283944,1060,8008,76.00,short,rr
1764637283970,1064,2467,25.00,short,rr
1764637284605,1068,60764,632.00,short,rr
1764637284619,1072,2264,12.00,short,rr
1764637285638,1076,98420,1019.00,short,rr
1764637286321,1080,65180,682.00,short,rr
1764637286322,1084,2367,12.00,short,rr
1764637287046,1088,71208,721.00,short,rr
1764637287083,1092,3134,37.00,short,rr
1764637287171,1096,9197,87.00,short,rr
1764637287206,1100,3150,35.00,short,rr
1764637287231,1104,2865,23.00,short,rr
1764637287332,1108,9963,101.00,short,rr
1764637287497,1112,16884,164.00,short,rr
1764637287570,1116,6642,72.00,short,rr
1764637288134,1120,54680,560.00,short,rr
1764637288372,1124,22777,237.00,short,rr
1764637288420,1128,4517,48.00,short,rr
1764637288730,1132,28833,310.00,short,rr
1764637288929,1136,19613,198.00,short,rr
1764637289502,1140,53384,572.00,short,rr
1764637290125,1144,59238,622.00,short,rr
1764637290251,1148,14009,137.00,short,rr
1764637290875,1152,60308,622.00,short,rr
1764637290962,1156,8733,85.00,short,rr
1764637290975,1160,3645,23.00,short,rr
1764637291171,108,6047308,63729.00,long,rr
1764637291267,1164,29247,289.00,short,rr
1764637291295,1168,14387,137.00,short,rr
1764637291609,1172,33141,339.00,short,rr
1764637291610,1180,2387,11.00,short,rr
1764637291785,1184,16530,173.00,short,rr
1764637291972,1188,18823,187.00,short,rr
1764637292929,1192,91749,957.00,short,rr
1764637293114,1196,18950,183.00,short,rr
1764637294021,1200,86898,904.00,short,rr
1764637302818,456,6653081,69937.00,long,rr
1764637302856,1208,4208,37.00,short,rr
1764637303799,1212,91505,943.00,short,rr
1764637304015,1216,19990,215.00,short,rr
1764637304188,1220,17993,184.00,short,rr
1764637304651,388,6983968,73493.00,long,rr
1764637304689,1228,4465,37.00,short,rr
1764637307176,164,7513625,79116.00,long,rr
1764637307211,1236,3786,35.00,short,rr
1764637307288,1240,7360,76.00,short,rr
1764637307861,1244,50585,572.00,short,rr
1764637308123,1248,31258,312.00,short,rr
1764637308170,1252,5268,46.00,short,rr
1764637309006,1256,79594,833.00,short,rr
1764637310220,1224,576600,6043.00,medium,rr
1764637310421,1264,19919,199.00,short,rr
1764637310523,1268,9843,102.00,short,rr
1764637311385,824,4765647,50143.00,long,rr
1764637311502,1280,2147,12.00,short,rr
1764637311502,1276,11134,115.00,short,rr
1764637312309,1284,78078,806.00,short,rr
1764637312717,1288,38953,407.00,short,rr
1764637312795,1292,9773,89.00,short,rr
1764637313122,1296,31246,324.00,short,rr
1764637313173,1300,6601,62.00,short,rr
1764637313288,1304,11762,112.00,short,rr
1764637313744,1308,44366,456.00,short,rr
1764637313783,1312,3413,38.00,short,rr
1764637314144,1316,34648,361.00,short,rr
1764637317606,1320,330768,3461.00,medium,rr
1764637317645,1324,3916,38.00,short,rr
1764637318550,1328,88014,903.00,short,rr
1764637318782,1332,22857,229.00,short,rr
1764637319191,1336,39038,408.00,short,rr
1764637320498,1272,947820,9974.00,medium,rr
1764637320561,1344,5128,60.00,short,rr
1764637321189,1348,61059,639.00,short,rr
1764637321236,1352,5688,60.00,short,rr
1764637321491,1024,4383413,46001.00,long,rr
1764637322309,1360,78009,829.00,short,rr
1764637322708,1364,38800,408.00,short,rr
1764637322746,1368,5032,51.00,short,rr
1764637322772,1372,2966,25.00,short,rr
1764637322849,1376,6569,76.00,short,rr
1764637322963,1380,12601,124.00,short,rr
1764637323024,1384,6236,60.00,short,rr
1764637323113,1388,8114,88.00,short,rr
1764637323695,1392,57928,594.00,short,rr
1764637324546,1396,80359,849.00,short,rr
1764637324622,1400,8605,88.00,short,rr
1764637325375,1340,587033,6195.00,medium,rr
1764637325417,1404,76729,806.00,short,rr
1764637325440,1412,4568,35.00,short,rr
1764637325595,1416,15727,153.00,short,rr
1764637325640,1204,3002258,31617.00,long,rr
1764637325673,1420,8230,76.00,short,rr
1764637325693,1424,4275,52.00,short,rr
1764637325700,1428,2085,26.00,short,rr
1764637325814,1408,41965,439.00,short,rr
1764637325980,1440,16300,165.00,short,rr
1764637326066,1432,36812,385.00,short,rr
1764637326130,1444,14859,148.00,short,rr
1764637326769,1436,100871,1068.00,short,rr
1764637326810,1448,71604,744.00,short,rr
1764637326821,1456,6673,61.00,short,rr
1764637326824,1460,2378,11.00,short,rr
1764637326835,1464,2265,12.00,short,rr
1764637327732,1468,87897,906.00,short,rr
1764637327745,1472,86227,908.00,short,rr
1764637328255,1232,2237558,23565.00,long,rr
1764637328292,1480,53815,558.00,short,rr
1764637328421,1484,16149,165.00,short,rr
1764637328503,1476,73401,771.00,short,rr
1764637328603,1496,9387,99.00,short,rr
1764637328744,1488,44461,463.00,short,rr
1764637328756,1500,16277,164.00,short,rr
1764637328783,1504,3051,37.00,short,rr
1764637328798,1512,3406,25.00,short,rr
1764637328819,1508,5997,62.00,short,rr
1764637328846,1520,2524,25.00,short,rr
1764637328938,1516,14361,138.00,short,rr
1764637329294,1492,83634,872.00,short,rr
1764637329385,1532,8712,89.00,short,rr
1764637329534,1536,16833,161.00,short,rr
1764637329607,1540,7124,72.00,short,rr
1764637329633,1544,3022,24.00,short,rr
1764637329710,1548,8291,74.00,short,rr
1764637329744,1524,88535,908.00,short,rr
1764637329770,1556,2721,24.00,short,rr
1764637329797,1560,3290,24.00,short,rr
1764637330085,1552,37350,374.00,short,rr
1764637330195,1564,36974,398.00,short,rr
1764637330457,1568,35699,371.00,short,rr
1764637330506,1572,29816,310.00,short,rr
1764637330804,1580,29370,297.00,short,rr
1764637330843,1584,3345,38.00,short,rr
1764637330883,1588,5269,49.00,short,rr
1764637330961,1592,6980,78.00,short,rr
1764637330985,1596,3369,35.00,short,rr
1764637331021,1600,4162,35.00,short,rr
1764637331157,1576,67668,698.00,short,rr
1764637331261,1608,9894,102.00,short,rr
1764637331359,1612,11600,110.00,short,rr
1764637331533,1604,49783,512.00,short,rr
1764637331914,1528,280892,2974.00,medium,rr
1764637331940,1624,2588,25.00,short,rr
1764637331943,1620,38971,407.00,short,rr
1764637331983,1628,5894,51.00,short,rr
1764637331994,1632,4982,52.00,short,rr
1764637332092,1636,10200,111.00,short,rr
1764637332346,1640,34996,362.00,short,rr
1764637332864,1644,74807,784.00,short,rr
1764637332890,1652,3246,24.00,short,rr
1764637333042,1648,66840,694.00,short,rr
