time_ms,stream_id,bytes,sct_ms,class,scheduler
1764640967337,20,2085,1.00,short,wfq
1764640967375,4,6071,44.00,short,wfq
1764640967391,12,4178,59.00,short,wfq
1764640967420,16,11996,89.00,short,wfq
1764640967425,8,7098,94.00,short,wfq
1764640967429,44,3059,37.00,short,wfq
1764640967492,32,15831,147.00,short,wfq
1764640967494,64,2735,2.00,short,wfq
1764640967538,56,13442,112.00,short,wfq
1764640967587,28,25361,242.00,short,wfq
1764640967594,48,19687,185.00,short,wfq
1764640967652,60,22094,221.00,short,wfq
1764640967677,52,26247,257.00,short,wfq
1764640967688,24,33352,343.00,short,wfq
1764640967693,80,8752,71.00,short,wfq
1764640967707,68,17655,179.00,short,wfq
1764640967721,92,4427,33.00,short,wfq
1764640967756,104,6484,34.00,short,wfq
1764640967797,0,54487,472.00,short,wfq
1764640967822,76,23768,228.00,short,wfq
1764640967916,116,14360,93.00,short,wfq
1764640968061,120,13408,117.00,short,wfq
1764640968104,72,63387,531.00,short,wfq
1764640968108,128,2703,2.00,short,wfq
1764640968115,36,82567,748.00,short,wfq
1764640968164,132,2946,30.00,short,wfq
1764640968272,112,57686,475.00,short,wfq
1764640968300,124,32964,239.00,short,wfq
1764640968373,140,24746,208.00,short,wfq
1764640968388,144,13853,92.00,short,wfq
1764640968444,156,4845,29.00,short,wfq
1764640968449,148,15161,120.00,short,wfq
1764640968472,136,41659,330.00,short,wfq
1764640968483,100,95959,776.00,short,wfq
1764640968576,168,12693,91.00,short,wfq
1764640968604,176,2240,1.00,short,wfq
1764640968631,180,2244,1.00,short,wfq
1764640968733,160,35783,288.00,short,wfq
1764640969078,152,89778,704.00,short,wfq
1764640969133,192,5190,29.00,short,wfq
1764640969137,172,84274,638.00,short,wfq
1764640969200,164,94096,749.00,short,wfq
1764640969219,196,10079,81.00,short,wfq
1764640969258,184,78869,602.00,short,wfq
1764640969263,200,15522,106.00,short,wfq
1764640969319,212,6711,56.00,short,wfq
1764640969355,208,19116,135.00,short,wfq
1764640969358,224,2183,2.00,short,wfq
1764640969387,216,12881,110.00,short,wfq
1764640969391,204,27038,190.00,short,wfq
1764640969438,236,3420,26.00,short,wfq
1764640969441,240,2555,2.00,short,wfq
1764640969509,228,18145,129.00,short,wfq
1764640969559,248,7786,49.00,short,wfq
1764640969586,252,4289,25.00,short,wfq
1764640969647,220,44153,327.00,short,wfq
1764640969658,256,12181,71.00,short,wfq
1764640969660,232,40108,273.00,short,wfq
1764640969750,260,17610,102.00,short,wfq
1764640969814,84,185678,2161.00,medium,wfq
1764640969819,272,4458,48.00,short,wfq
1764640969876,276,9789,56.00,short,wfq
1764640969927,88,192784,2247.00,medium,wfq
1764640969936,264,39637,275.00,short,wfq
1764640969981,288,5220,52.00,short,wfq
1764640970159,292,33034,221.00,short,wfq
1764640970229,268,80210,548.00,short,wfq
1764640970309,280,69267,471.00,short,wfq
1764640970330,300,25579,171.00,short,wfq
1764640970333,312,2336,2.00,short,wfq
1764640970377,316,3787,22.00,short,wfq
1764640970423,324,4525,25.00,short,wfq
1764640970425,328,2483,2.00,short,wfq
1764640970435,304,20004,185.00,short,wfq
1764640970507,308,31722,198.00,short,wfq
1764640970522,332,9258,73.00,short,wfq
1764640970555,340,4581,25.00,short,wfq
1764640970606,344,7865,51.00,short,wfq
1764640970628,348,2903,2.00,short,wfq
1764640970970,336,69000,448.00,short,wfq
1764640970973,352,49019,325.00,short,wfq
1764640970992,320,88318,615.00,short,wfq
1764640971017,360,2367,25.00,short,wfq
1764640971040,368,3600,23.00,short,wfq
1764640971048,284,111963,1152.00,medium,wfq
1764640971051,376,3006,2.00,short,wfq
1764640971058,364,5256,48.00,short,wfq
1764640971061,380,3531,2.00,short,wfq
1764640971115,356,19958,126.00,short,wfq
1764640971122,384,5997,49.00,short,wfq
1764640971172,392,7949,49.00,short,wfq
1764640971186,396,7601,49.00,short,wfq
1764640971192,372,19694,151.00,short,wfq
1764640971217,408,3986,25.00,short,wfq
1764640971422,40,354256,4052.00,medium,wfq
1764640971597,388,75140,512.00,short,wfq
1764640971618,420,3725,21.00,short,wfq
1764640971625,412,60611,407.00,short,wfq
1764640971627,428,2645,2.00,short,wfq
1764640971642,424,2346,21.00,short,wfq
1764640971697,436,8786,48.00,short,wfq
1764640971704,400,78593,531.00,short,wfq
1764640971749,444,3918,24.00,short,wfq
1764640971775,448,4194,24.00,short,wfq
1764640971862,440,27740,165.00,short,wfq
1764640971878,432,37796,236.00,short,wfq
1764640972045,456,26269,166.00,short,wfq
1764640972115,464,9692,67.00,short,wfq
1764640972191,460,44769,306.00,short,wfq
1764640972243,452,70499,467.00,short,wfq
1764640972317,476,13350,73.00,short,wfq
1764640972376,468,43133,261.00,short,wfq
1764640972386,480,10130,48.00,short,wfq
1764640972516,484,20891,121.00,short,wfq
1764640972584,492,5739,47.00,short,wfq
1764640972627,496,5136,43.00,short,wfq
1764640972650,500,3011,23.00,short,wfq
1764640972719,472,87143,529.00,short,wfq
1764640972743,296,273146,2762.00,medium,wfq
1764640972743,488,54368,336.00,short,wfq
1764640972828,508,19653,90.00,short,wfq
1764640972999,520,33173,169.00,short,wfq
1764640973145,404,210443,1957.00,medium,wfq
1764640973164,528,2163,19.00,short,wfq
1764640973273,532,22975,108.00,short,wfq
1764640973345,108,536936,5561.00,medium,wfq
1764640973448,540,19267,101.00,short,wfq
1764640973472,536,36843,198.00,short,wfq
1764640973823,544,72237,375.00,short,wfq
1764640974274,548,109349,784.00,medium,wfq
1764640974277,556,2148,1.00,short,wfq
1764640974698,560,86911,407.00,short,wfq
1764640974727,564,3221,16.00,short,wfq
1764640974795,568,12617,67.00,short,wfq
1764640974813,572,4063,18.00,short,wfq
1764640974847,576,7572,34.00,short,wfq
1764640974903,580,12856,56.00,short,wfq
1764640977499,512,668459,4756.00,medium,wfq
1764640977638,588,29690,138.00,short,wfq
1764640977747,592,23461,108.00,short,wfq
1764640977825,584,422703,2907.00,medium,wfq
1764640977844,600,4164,19.00,short,wfq
1764640977912,596,33657,152.00,short,wfq
1764640977929,608,2358,13.00,short,wfq
1764640978075,612,32138,145.00,short,wfq
1764640978086,524,717421,5087.00,medium,wfq
1764640978093,616,3230,17.00,short,wfq
1764640978113,624,7186,20.00,short,wfq
1764640978137,620,9097,51.00,short,wfq
1764640978143,628,4377,17.00,short,wfq
1764640978155,632,3603,17.00,short,wfq
1764640978300,636,33962,157.00,short,wfq
1764640978331,644,3680,17.00,short,wfq
1764640978380,640,48023,224.00,short,wfq
1764640978466,652,18103,84.00,short,wfq
1764640978639,648,71133,307.00,short,wfq
1764640978768,660,28216,119.00,short,wfq
1764640978946,664,45621,178.00,short,wfq
1764640978975,668,5082,16.00,short,wfq
1764640978990,672,4047,15.00,short,wfq
1764640979140,676,35906,149.00,short,wfq
1764640990060,96,1733627,22367.00,long,wfq
1764640990091,684,8177,30.00,short,wfq
1764640990411,416,1588147,18966.00,long,wfq
1764640990574,692,36746,161.00,short,wfq
1764640991060,680,1116688,11919.00,long,wfq
1764640991080,700,9629,37.00,short,wfq
1764640991426,704,68671,331.00,short,wfq
1764640991533,708,23427,106.00,short,wfq
1764640991552,712,4047,17.00,short,wfq
1764640992003,716,91893,449.00,short,wfq
1764640992022,720,4409,17.00,short,wfq
1764640992040,724,2787,17.00,short,wfq
1764640992171,728,14630,130.00,short,wfq
1764640992561,732,92504,452.00,short,wfq
1764640992643,688,371587,2550.00,medium,wfq
1764640992659,740,2675,2.00,short,wfq
1764640992722,736,32408,161.00,short,wfq
1764640992752,744,15211,76.00,short,wfq
1764640992827,752,14052,75.00,short,wfq
1764640992864,756,8397,36.00,short,wfq
1764640992911,748,34552,188.00,short,wfq
1764640992994,760,25341,128.00,short,wfq
1764640993281,764,72091,370.00,short,wfq
1764640993300,772,5077,19.00,short,wfq
1764640993311,768,61191,316.00,short,wfq
1764640993334,780,5986,20.00,short,wfq
1764640993357,776,10697,55.00,short,wfq
1764640993366,784,4969,17.00,short,wfq
1764640993373,788,2301,16.00,short,wfq
1764640993389,796,3379,15.00,short,wfq
1764640993777,800,85448,388.00,short,wfq
1764640994239,696,517339,3663.00,medium,wfq
1764640994259,808,2793,16.00,short,wfq
1764640994274,812,2296,15.00,short,wfq
1764640994307,816,7789,32.00,short,wfq
1764640994309,820,2469,2.00,short,wfq
1764640996647,804,488696,2869.00,medium,wfq
1764640996767,828,30438,119.00,short,wfq
1764640996797,832,4101,29.00,short,wfq
1764640996799,836,2477,2.00,short,wfq
1764640996827,840,6363,16.00,short,wfq
1764640997000,844,38556,161.00,short,wfq
1764640997016,848,4318,15.00,short,wfq
1764640997033,852,3727,15.00,short,wfq
1764640997035,856,3459,2.00,short,wfq
1764640997079,860,8653,32.00,short,wfq
1764640997247,864,43477,167.00,short,wfq
1764640997273,868,4615,15.00,short,wfq
1764640997334,872,15171,60.00,short,wfq
1764640997371,876,5637,26.00,short,wfq
1764640997462,880,22785,91.00,short,wfq
1764640997522,884,13695,60.00,short,wfq
1764640997834,888,76431,311.00,short,wfq
1764640997955,892,28541,120.00,short,wfq
1764640998185,896,58166,229.00,short,wfq
1764640998255,900,15252,60.00,short,wfq
1764640998390,904,31213,134.00,short,wfq
1764640998749,908,85690,358.00,short,wfq
1764640999004,912,61472,254.00,short,wfq
1764640999711,916,121600,707.00,medium,wfq
1764640999875,920,40876,164.00,short,wfq
1764640999895,924,6297,17.00,short,wfq
1764640999907,928,2259,1.00,short,wfq
1764640999977,932,13002,58.00,short,wfq
1764640999992,936,3910,15.00,short,wfq
1764641000023,940,7349,30.00,short,wfq
1764641000396,944,88644,372.00,short,wfq
1764641000532,948,31710,135.00,short,wfq
1764641000620,952,22037,88.00,short,wfq
1764641000696,956,18110,75.00,short,wfq
1764641000878,960,45491,181.00,short,wfq
