time_ms,stream_id,bytes,sct_ms,class,scheduler
1764629957528,12,2528,3.00,short,drr
1764629957535,0,2906,13.00,short,drr
1764629957593,40,5583,50.00,short,drr
1764629957609,48,2137,12.00,short,drr
1764629957626,4,8467,101.00,short,drr
1764629957638,56,2716,25.00,short,drr
1764629957640,28,11015,109.00,short,drr
1764629957645,44,9149,100.00,short,drr
1764629957831,8,16891,306.00,short,drr
1764629957834,60,10734,195.00,short,drr
1764629957849,68,11049,202.00,short,drr
1764629957854,92,3299,51.00,short,drr
1764629957889,52,25995,279.00,short,drr
1764629957967,36,33367,425.00,short,drr
1764629957988,76,15133,264.00,short,drr
1764629958009,20,40237,478.00,short,drr
1764629958054,72,27825,356.00,short,drr
1764629958097,100,13277,146.00,short,drr
1764629958108,88,27642,317.00,short,drr
1764629958134,108,3723,37.00,short,drr
1764629958156,104,10071,101.00,short,drr
1764629958174,116,3736,38.00,short,drr
1764629958237,124,7735,75.00,short,drr
1764629958252,80,46024,525.00,short,drr
1764629958506,24,88883,975.00,short,drr
1764629958530,112,40686,431.00,short,drr
1764629958544,132,27794,291.00,short,drr
1764629958545,136,4022,39.00,short,drr
1764629958569,144,2662,25.00,short,drr
1764629958575,96,70966,733.00,short,drr
1764629958589,156,2079,12.00,short,drr
1764629958608,152,4679,37.00,short,drr
1764629958633,140,10916,115.00,short,drr
1764629958650,168,2600,28.00,short,drr
1764629958716,64,97798,1075.00,short,drr
1764629958725,172,8937,89.00,short,drr
1764629958831,176,12324,126.00,short,drr
1764629959058,120,84237,900.00,short,drr
1764629959097,188,3192,38.00,short,drr
1764629959104,180,35851,379.00,short,drr
1764629959135,160,51334,545.00,short,drr
1764629959150,196,4960,51.00,short,drr
1764629959207,192,11327,114.00,short,drr
1764629959234,208,2962,25.00,short,drr
1764629959364,184,51125,529.00,short,drr
1764629959401,200,25235,266.00,short,drr
1764629959453,220,6615,62.00,short,drr
1764629959492,216,11555,127.00,short,drr
1764629959516,204,35910,377.00,short,drr
1764629959552,212,30406,317.00,short,drr
1764629959594,224,14062,139.00,short,drr
1764629959604,228,12061,124.00,short,drr
1764629959616,236,6034,64.00,short,drr
1764629959644,244,3685,39.00,short,drr
1764629959658,252,2820,25.00,short,drr
1764629959681,248,5928,64.00,short,drr
1764629959696,256,4093,37.00,short,drr
1764629959749,264,4791,51.00,short,drr
1764629959763,268,3119,25.00,short,drr
1764629959789,272,2268,26.00,short,drr
1764629959797,260,10856,115.00,short,drr
1764629959865,280,7179,75.00,short,drr
1764629959998,276,21214,213.00,short,drr
1764629960037,288,4262,37.00,short,drr
1764629960101,292,6682,62.00,short,drr
1764629960415,240,77635,820.00,short,drr
1764629960440,300,2936,25.00,short,drr
1764629960544,296,42836,441.00,short,drr
