time_ms,stream_id,bytes,sct_ms,class,scheduler
1764700028017,0,2075,1.00,short,drr
1764700028066,8,6712,49.00,short,drr
1764700028084,16,5120,62.00,short,drr
1764700028140,32,14162,104.00,short,drr
1764700028171,60,2117,12.00,short,drr
1764700028199,36,9184,162.00,short,drr
1764700028214,56,5117,66.00,short,drr
1764700028265,88,2382,75.00,short,drr
1764700028309,48,15133,221.00,short,drr
1764700028310,44,14734,243.00,short,drr
1764700028326,20,20753,304.00,short,drr
1764700028330,28,17088,298.00,short,drr
1764700028331,68,3628,165.00,short,drr
1764700028347,12,24953,330.00,short,drr
1764700028395,52,9911,276.00,short,drr
1764700028473,4,40451,455.00,short,drr
1764700028526,64,30418,362.00,short,drr
1764700028571,96,31205,377.00,short,drr
1764700028582,72,34220,414.00,short,drr
1764700028590,40,43817,552.00,short,drr
1764700028612,108,4819,51.00,short,drr
1764700028634,80,40558,459.00,short,drr
1764700028665,120,6622,64.00,short,drr
1764700028767,100,29105,306.00,short,drr
1764700028776,112,19053,191.00,short,drr
1764700028793,132,2308,26.00,short,drr
1764700028848,116,24688,256.00,short,drr
1764700028878,136,9894,101.00,short,drr
1764700028919,24,82074,896.00,short,drr
1764700028928,92,65638,738.00,short,drr
1764700028942,152,2595,26.00,short,drr
1764700028949,84,67004,772.00,short,drr
1764700028987,104,42636,460.00,short,drr
1764700029020,148,13438,142.00,short,drr
1764700029043,124,39688,421.00,short,drr
1764700029049,156,12024,129.00,short,drr
1764700029079,168,9312,89.00,short,drr
1764700029091,164,13539,140.00,short,drr
1764700029171,180,11912,128.00,short,drr
1764700029197,76,91977,1022.00,short,drr
1764700029202,128,50326,536.00,short,drr
1764700029272,192,11415,112.00,short,drr
1764700029285,196,8836,88.00,short,drr
1764700029296,184,20487,216.00,short,drr
1764700029311,204,3125,39.00,short,drr
1764700029319,188,21630,228.00,short,drr
1764700029370,144,48509,521.00,short,drr
1764700029538,212,24865,252.00,short,drr
1764700029555,200,32622,353.00,short,drr
1764700029561,208,26848,277.00,short,drr
1764700029566,172,50547,545.00,short,drr
1764700029588,236,3190,25.00,short,drr
1764700029606,176,54422,569.00,short,drr
1764700029638,160,65776,707.00,short,drr
1764700029659,248,4615,52.00,short,drr
1764700029687,220,36564,375.00,short,drr
1764700029735,256,7729,75.00,short,drr
1764700029747,140,89976,953.00,short,drr
1764700029798,268,5119,51.00,short,drr
1764700029807,252,15423,168.00,short,drr
1764700029832,272,4670,38.00,short,drr
1764700029890,276,8678,89.00,short,drr
1764700029985,244,37159,395.00,short,drr
1764700030011,288,3929,37.00,short,drr
1764700030019,224,61911,648.00,short,drr
1764700030269,284,36184,378.00,short,drr
1764700030284,260,57041,595.00,short,drr
1764700030367,296,33951,347.00,short,drr
1764700030467,264,69983,731.00,short,drr
1764700030478,240,86728,910.00,short,drr
1764700030516,316,3174,37.00,short,drr
1764700030537,292,49561,526.00,short,drr
1764700030642,308,25403,274.00,short,drr
1764700030702,324,15273,165.00,short,drr
1764700030729,332,3686,39.00,short,drr
1764700030764,304,46265,479.00,short,drr
1764700030833,336,10994,115.00,short,drr
1764700030834,344,2213,13.00,short,drr
1764700030834,328,17738,192.00,short,drr
1764700030838,312,34861,370.00,short,drr
1764700031027,300,72086,756.00,short,drr
1764700031049,352,20003,214.00,short,drr
1764700031112,364,6736,62.00,short,drr
1764700031142,360,11676,113.00,short,drr
1764700031189,368,6587,76.00,short,drr
1764700031228,376,5265,50.00,short,drr
1764700031355,340,53800,589.00,short,drr
1764700031361,384,4387,39.00,short,drr
1764700031370,372,22259,227.00,short,drr
1764700031464,280,154763,1629.00,medium,drr
1764700031491,396,3169,25.00,short,drr
1764700031663,392,27791,290.00,short,drr
1764700031693,400,19358,201.00,short,drr
1764700031702,404,4599,37.00,short,drr
1764700031722,380,47655,493.00,short,drr
1764700031754,412,4898,51.00,short,drr
1764700031773,408,7396,78.00,short,drr
1764700031985,320,139133,1468.00,medium,drr
1764700032023,424,25289,263.00,short,drr
1764700032200,432,17486,175.00,short,drr
1764700032239,436,3893,37.00,short,drr
1764700032278,440,3600,37.00,short,drr
1764700032298,388,88503,936.00,short,drr
1764700032324,448,2866,25.00,short,drr
1764700032439,452,11928,113.00,short,drr
1764700032679,456,23771,238.00,short,drr
1764700032845,460,16567,162.00,short,drr
1764700033109,464,24732,264.00,short,drr
1764700033122,468,3211,25.00,short,drr
1764700033173,472,5148,50.00,short,drr
1764700033461,476,28109,286.00,short,drr
1764700034196,356,316040,3356.00,medium,drr
1764700034486,480,98476,1024.00,short,drr
1764700034525,488,3089,38.00,short,drr
1764700034941,228,510855,5401.00,medium,drr
1764700035004,496,7764,75.00,short,drr
1764700035216,492,67655,702.00,short,drr
1764700035555,504,31217,337.00,short,drr
1764700035641,500,61705,637.00,short,drr
1764700035655,508,11108,113.00,short,drr
1764700035718,516,6061,62.00,short,drr
1764700035849,348,477449,5024.00,medium,drr
1764700035960,520,22668,241.00,short,drr
1764700035999,528,5204,50.00,short,drr
1764700036027,524,17140,177.00,short,drr
1764700036203,536,17156,175.00,short,drr
1764700036222,420,423852,4467.00,medium,drr
1764700036274,532,27392,274.00,short,drr
1764700036390,548,11649,112.00,short,drr
1764700036416,552,3181,25.00,short,drr
1764700036513,544,28184,289.00,short,drr
1764700036518,556,9161,101.00,short,drr
1764700036557,540,34526,352.00,short,drr
1764700036582,560,7409,76.00,short,drr
1764700036634,572,5909,50.00,short,drr
1764700036768,564,24956,254.00,short,drr
1764700036812,576,17152,177.00,short,drr
1764700036890,584,7381,76.00,short,drr
1764700036985,580,20616,214.00,short,drr
1764700037173,592,18819,188.00,short,drr
1764700037200,596,2583,26.00,short,drr
1764700037229,568,63385,670.00,short,drr
1764700037278,604,6794,61.00,short,drr
1764700037340,608,6229,61.00,short,drr
1764700037344,588,44468,464.00,short,drr
