time_ms,stream_id,bytes,sct_ms,class,scheduler
1765521831148,4,2749,4.91,short,drr
1765521831183,32,2475,25.75,short,drr
1765521831184,0,7677,41.56,short,drr
1765521831201,24,5162,49.73,short,drr
1765521831220,20,6646,65.07,short,drr
1765521831230,52,3475,24.41,short,drr
1765521831323,64,4711,0.00,short,drr
1765521831340,8,12165,190.12,short,drr
1765521831415,12,15053,262.28,short,drr
1765521831453,16,18450,299.11,short,drr
1765521831589,40,37219,424.72,short,drr
1765521831761,44,54662,589.88,short,drr
1765521831771,28,57904,614.86,short,drr
1765521831916,68,61355,582.08,short,drr
1765521831997,60,73643,767.46,short,drr
1765521832025,88,24380,254.58,short,drr
1765521832089,100,6079,63.66,short,drr
1765521832191,104,10449,101.74,short,drr
1765521832224,36,94791,1060.38,short,drr
1765521832262,92,32225,346.10,short,drr
1765521832316,80,70005,739.72,short,drr
1765521832343,120,2883,25.39,short,drr
1765521832914,96,86251,915.07,short,drr
1765521833018,108,78382,826.26,short,drr
1765521833023,116,73723,774.34,short,drr
1765521833100,136,7211,76.89,short,drr
1765521833251,132,21115,232.52,short,drr
1765521833257,140,14494,155.66,short,drr
1765521833440,128,48914,526.74,short,drr
1765521833532,84,169373,1771.73,medium,drr
1765521833648,48,234126,2463.08,medium,drr
1765521834014,144,71763,777.20,short,drr
1765521834111,148,81353,865.32,short,drr
1765521834151,168,3861,38.31,short,drr
1765521834195,156,62606,662.92,short,drr
1765521834346,164,31377,332.04,short,drr
1765521834387,180,3690,39.61,short,drr
1765521834488,176,28128,292.74,short,drr
1765521834515,188,2804,24.30,short,drr
1765521834580,192,6283,63.96,short,drr
1765521835304,184,87795,928.51,short,drr
1765521835309,196,68787,727.76,short,drr
1765521835412,204,10474,102.06,short,drr
1765521835441,208,2766,25.53,short,drr
1765521835567,160,174985,1918.63,medium,drr
1765521835584,216,9971,102.45,short,drr
1765521835982,200,63321,676.27,short,drr
1765521835994,224,2663,25.46,short,drr
1765521836021,228,2219,26.66,short,drr
1765521836156,212,66697,715.49,short,drr
1765521836207,236,5415,50.81,short,drr
1765521836246,240,4556,38.17,short,drr
1765521836503,220,86304,918.85,short,drr
1765521836530,248,3073,25.61,short,drr
1765521836580,252,4714,49.97,short,drr
1765521836925,232,85951,916.95,short,drr
1765521837462,76,590790,6170.57,medium,drr
1765521837474,264,3457,24.17,short,drr
1765521837478,260,53235,563.88,short,drr
1765521837540,268,6131,63.34,short,drr
1765521837568,272,9292,89.33,short,drr
1765521837823,276,27628,294.19,short,drr
1765521837902,280,31814,333.78,short,drr
1765521837952,284,13621,140.60,short,drr
1765521838096,288,18125,192.91,short,drr
1765521838132,292,17760,180.16,short,drr
1765521838148,300,2286,12.87,short,drr
1765521838187,304,3521,39.67,short,drr
1765521838188,296,9558,104.95,short,drr
1765521838204,308,2539,26.88,short,drr
1765521838573,312,35840,385.75,short,drr
1765521838651,320,7985,89.41,short,drr
1765521839279,324,59961,639.38,short,drr
1765521839318,328,3984,38.34,short,drr
1765521839548,332,22372,229.29,short,drr
1765521839586,336,3653,38.39,short,drr
1765521839636,340,4931,49.93,short,drr
1765521839851,172,541916,5700.88,medium,drr
1765521839890,348,3338,38.34,short,drr
1765521841326,352,136889,1434.35,medium,drr
1765521841885,356,53205,571.28,short,drr
1765521842803,316,440864,4610.82,medium,drr
1765521842829,364,2499,25.56,short,drr
1765521843610,368,72880,779.99,short,drr
1765521843866,372,25876,267.17,short,drr
1765521843905,376,4203,38.35,short,drr
1765521843958,380,5535,51.16,short,drr
1765521843970,124,1107010,11625.17,long,drr
1765521845724,56,1375767,14504.02,long,drr
1765521846139,392,45049,473.68,short,drr
1765521846191,396,5142,51.20,short,drr
1765521847237,112,1431543,15011.81,long,drr
1765521847391,404,15201,153.74,short,drr
1765521847442,408,4608,51.25,short,drr
1765521847622,412,16728,178.99,short,drr
1765521847635,400,138354,1443.70,medium,drr
1765521847828,420,18152,191.81,short,drr
1765521847841,424,2826,25.50,short,drr
1765521847879,428,3646,38.13,short,drr
1765521847916,416,29306,304.45,short,drr
1765521848006,436,8258,89.66,short,drr
1765521848058,440,5290,51.18,short,drr
1765521848070,432,18247,190.79,short,drr
1765521848108,444,4467,49.74,short,drr
1765521848314,448,23828,242.32,short,drr
1765521848404,456,8827,89.24,short,drr
1765521848521,452,39308,409.28,short,drr
1765521848550,464,2659,25.53,short,drr
1765521848945,468,35811,394.22,short,drr
1765521849273,460,81656,867.53,short,drr
1765521849368,472,41567,434.06,short,drr
1765521849388,476,10599,115.08,short,drr
1765521849393,480,2544,25.58,short,drr
1765521849521,384,529861,5563.07,medium,drr
1765521849540,72,1734926,18203.99,long,drr
1765521849605,496,7330,77.66,short,drr
1765521849632,500,3661,39.49,short,drr
1765521849746,504,10996,127.44,short,drr
1765521849772,508,5114,51.03,short,drr
1765521850043,484,61068,654.67,short,drr
1765521850123,492,57141,601.85,short,drr
1765521850274,516,21850,229.66,short,drr
1765521850312,524,3549,38.14,short,drr
1765521850353,520,21949,228.47,short,drr
1765521850456,488,99310,1061.23,short,drr
1765521850482,244,1356516,14235.99,long,drr
1765521850530,528,20666,216.23,short,drr
1765521850536,512,72262,763.88,short,drr
1765521850558,544,2754,25.56,short,drr
1765521850738,540,24049,253.86,short,drr
1765521850811,536,34188,355.79,short,drr
1765521850813,552,23964,254.95,short,drr
1765521850840,560,4291,38.14,short,drr
1765521850958,556,21709,232.32,short,drr
1765521851149,568,28694,309.27,short,drr
1765521851286,564,45018,474.80,short,drr
1765521851521,576,35990,383.15,short,drr
1765521851601,572,61370,654.08,short,drr
1765521851609,580,29994,320.96,short,drr
1765521851634,588,3987,38.50,short,drr
1765521851929,596,27505,294.41,short,drr
1765521852215,592,58195,614.27,short,drr
1765521853058,604,79359,841.64,short,drr
1765521853276,608,20894,217.85,short,drr
1765521853314,612,3811,38.27,short,drr
1765521854170,616,80189,853.96,short,drr
1765521854272,620,10388,102.57,short,drr
1765521854818,584,316272,3308.88,medium,drr
1765521854835,624,52661,562.32,short,drr
1765521854895,628,6964,25.48,short,drr
1765521854938,632,11459,114.95,short,drr
1765521855292,636,37694,397.21,short,drr
1765521855447,644,14091,154.95,short,drr
1765521855487,648,4788,52.47,short,drr
1765521855856,652,36631,381.14,short,drr
1765521856138,656,26834,281.86,short,drr
1765521856166,660,2418,26.85,short,drr
1765521856258,664,9678,103.44,short,drr
1765521856476,668,21756,230.40,short,drr
1765521856527,672,5562,51.27,short,drr
1765521856840,548,601451,6302.63,medium,drr
1765521859430,676,278427,2901.70,medium,drr
1765521859484,684,5113,51.08,short,drr
1765521859638,688,14940,153.79,short,drr
1765521859690,692,5838,51.14,short,drr
1765521859794,696,9824,102.27,short,drr
1765521860189,700,38115,393.81,short,drr
1765521860575,704,36588,383.63,short,drr
1765521860741,708,16040,166.54,short,drr
1765521860767,712,2183,25.67,short,drr
1765521860857,716,8111,89.70,short,drr
1765521860907,720,5755,49.86,short,drr
1765521860973,724,6049,63.94,short,drr
1765521861153,728,18535,191.33,short,drr
1765521861410,732,24325,255.78,short,drr
1765521861934,736,48901,523.46,short,drr
1765521865015,256,2701589,28435.37,long,drr
1765521865020,744,5873,64.06,short,drr
1765521865316,748,27742,294.08,short,drr
1765521865840,752,49840,524.62,short,drr
1765521865893,756,5072,51.13,short,drr
1765521866173,760,27335,278.51,short,drr
1765521866266,764,8434,90.81,short,drr
1765521866293,768,4337,38.36,short,drr
1765521866651,388,2158238,22681.31,long,drr
1765521866715,772,39860,420.73,short,drr
1765521866740,780,2291,25.49,short,drr
1765521866843,776,17837,190.58,short,drr
1765521867458,784,66702,716.07,short,drr
1765521868018,792,52746,560.17,short,drr
1765521868479,796,43838,460.60,short,drr
1765521868773,800,27841,294.76,short,drr
1765521868851,804,7511,76.78,short,drr
1765521868890,808,4070,38.41,short,drr
1765521869118,812,22060,228.15,short,drr
1765521869310,816,17899,192.24,short,drr
1765521869645,820,31228,333.74,short,drr
1765521870181,824,51996,547.20,short,drr
1765521870350,828,15700,167.56,short,drr
1765521871265,640,1553237,16325.53,long,drr
1765521871651,836,35792,384.82,short,drr
1765521871715,840,8223,76.81,short,drr
1765521872009,844,28095,293.51,short,drr
1765521873838,344,3255371,34201.47,long,drr
1765521874169,852,30067,329.92,short,drr
1765521874221,856,4647,52.50,short,drr
1765521874451,860,23820,242.90,short,drr
1765521874518,864,6862,63.97,short,drr
1765521874613,788,739872,7770.06,medium,drr
1765521874678,872,6826,63.77,short,drr
1765521874859,876,16828,180.15,short,drr
1765521875412,868,82858,893.99,short,drr
1765521875695,884,27247,281.40,short,drr
1765521876055,888,33388,359.31,short,drr
1765521876246,892,18645,202.12,short,drr
1765521877270,896,95398,1023.66,short,drr
1765521877514,900,24621,255.63,short,drr
1765521877566,904,4226,52.47,short,drr
1765521877683,908,12277,127.86,short,drr
1765521877723,912,4512,38.43,short,drr
1765521877890,916,15886,166.04,short,drr
1765521878044,920,15052,153.72,short,drr
1765521878273,924,21812,227.57,short,drr
1765521878460,740,1575324,16535.96,long,drr
1765521879049,932,55926,588.92,short,drr
1765521879317,936,24196,266.17,short,drr
1765521879347,940,2502,26.63,short,drr
1765521879360,944,2888,25.61,short,drr
1765521879426,948,6004,65.13,short,drr
1765521879427,952,2113,12.79,short,drr
1765521879479,956,4305,51.24,short,drr
1765521879747,960,25937,268.90,short,drr
1765521879774,964,3544,25.48,short,drr
1765521879842,968,6044,65.18,short,drr
1765521879855,972,3212,25.64,short,drr
1765521880378,976,49426,521.77,short,drr
1765521880480,980,9785,102.64,short,drr
1765521880685,984,19944,204.81,short,drr
1765521880738,988,5105,51.15,short,drr
1765521881033,992,28135,294.18,short,drr
1765521881455,880,631018,6606.66,medium,drr
1765521881930,1000,45115,473.21,short,drr
1765521882296,996,121261,1262.99,medium,drr
1765521882693,1008,37929,395.30,short,drr
1765521882823,1004,83851,891.15,short,drr
1765521882850,1016,2655,25.55,short,drr
1765521882937,1012,23000,242.64,short,drr
1765521883140,1024,19505,203.63,short,drr
1765521883550,1028,39023,407.95,short,drr
1765521883654,1032,9588,103.52,short,drr
1765521884000,1036,34381,358.20,short,drr
1765521884345,1040,33038,343.94,short,drr
1765521886668,848,1392333,14657.78,long,drr
1765521886721,1048,6103,65.20,short,drr
1765521886838,1052,12228,127.86,short,drr
1765521886902,1056,6533,64.09,short,drr
1765521887322,1060,39654,420.06,short,drr
1765521887387,1064,7097,63.85,short,drr
1765521888219,1068,78272,830.98,short,drr
1765521888284,1072,6022,63.91,short,drr
1765521889128,1076,80991,855.42,short,drr
1765521889459,1080,32006,329.93,short,drr
1765521889525,1084,6389,63.89,short,drr
1765521889642,1088,10988,116.32,short,drr
1765521890446,1092,75534,816.12,short,drr
1765521890511,1096,6694,63.91,short,drr
1765521890603,1100,8445,90.57,short,drr
1765521890603,1104,2240,12.62,short,drr
1765521890736,1108,12127,129.13,short,drr
1765521890828,1112,10146,102.37,short,drr
1765521890879,1116,5308,51.22,short,drr
1765521891124,1120,23718,243.53,short,drr
1765521891189,1124,5168,64.66,short,drr
1765521891227,1128,5233,50.71,short,drr
1765521891673,1132,42766,445.00,short,drr
1765521891772,832,2042949,21434.91,long,drr
1765521892046,1136,34619,371.31,short,drr
1765521892188,1144,15407,153.08,short,drr
1765521892253,1148,7036,63.76,short,drr
1765521892366,1152,11073,112.21,short,drr
1765521892423,1140,61575,649.27,short,drr
1765521892449,1160,2956,25.51,short,drr
1765521892591,1164,12981,141.89,short,drr
1765521892599,1156,22340,231.26,short,drr
1765521892906,1172,28906,306.74,short,drr
1765521892939,1168,33433,359.22,short,drr
