time_ms,stream_id,bytes,sct_ms,class,scheduler
1765519826545,0,51200,3110.69,short,drr
1765519826815,124,51200,3374.54,short,drr
1765519826816,116,51200,3374.39,short,drr
1765519826821,192,51200,3376.95,short,drr
1765519826823,152,51200,3378.20,short,drr
1765519826827,4,51200,3379.38,short,drr
1765519826828,224,51200,3379.29,short,drr
1765519826832,168,51200,3381.90,short,drr
1765519826833,228,51200,3381.87,short,drr
1765519826837,12,51200,3384.33,short,drr
1765519826841,20,51200,3385.82,short,drr
1765519826842,24,51200,3385.51,short,drr
1765519826847,40,51200,3387.92,short,drr
1765519826849,44,51200,3389.22,short,drr
1765519826851,48,51200,3389.44,short,drr
1765519826854,52,51200,3391.61,short,drr
1765519826858,60,51200,3392.78,short,drr
1765519826859,64,51200,3392.70,short,drr
1765519826863,68,51200,3394.52,short,drr
1765519826864,72,51200,3388.75,short,drr
1765519826869,80,51200,3391.58,short,drr
1765519826871,84,51200,3392.80,short,drr
1765519826872,88,51200,3392.79,short,drr
1765519826876,92,51200,3395.25,short,drr
1765519826877,96,51200,3395.22,short,drr
1765519826882,104,51200,3394.20,short,drr
1765519826887,8,51200,3395.60,short,drr
1765519826889,128,51200,3395.51,short,drr
1765519826890,28,51200,3395.44,short,drr
1765519826895,136,51200,3397.90,short,drr
1765519826897,140,51200,3399.20,short,drr
1765519826899,144,51200,3398.46,short,drr
1765519826902,32,51200,3400.47,short,drr
1765519826903,156,51200,3400.45,short,drr
1765519826907,160,51200,3402.97,short,drr
1765519826912,148,51200,3404.16,short,drr
1765519826917,200,51200,3399.06,short,drr
1765519826918,204,51200,3399.06,short,drr
1765519826924,216,51200,3401.50,short,drr
1765519826926,220,51200,3401.48,short,drr
1765519826930,232,51200,3403.87,short,drr
1765519826932,172,51200,3402.05,short,drr
1765519826936,236,51200,3403.35,short,drr
1765519826944,184,51200,3498.09,short,drr
1765519826953,16,51200,3499.41,short,drr
1765519826981,76,51200,3505.13,short,drr
1765519827016,164,51200,3510.29,short,drr
1765519827019,176,51200,3512.78,short,drr
1765519827029,212,51200,3507.69,short,drr
1765519827036,108,51200,3504.56,short,drr
1765519827073,180,51200,3563.64,short,drr
1765519827090,112,51200,3600.89,short,drr
1765519827114,56,51200,3650.46,short,drr
1765519829961,240,51200,3415.80,short,drr
1765519830234,248,51200,3415.69,short,drr
1765519830238,252,51200,3415.63,short,drr
1765519830243,260,51200,3413.28,short,drr
1765519830244,264,51200,3413.16,short,drr
1765519830248,268,51200,3413.04,short,drr
1765519830249,272,51200,3413.20,short,drr
1765519830255,284,51200,3412.18,short,drr
1765519830256,280,51200,3412.15,short,drr
1765519830261,288,51200,3413.37,short,drr
1765519830265,296,51200,3412.31,short,drr
1765519830269,300,51200,3412.33,short,drr
1765519830273,308,51200,3411.20,short,drr
1765519830275,312,51200,3409.94,short,drr
1765519830276,316,51200,3410.19,short,drr
1765519830281,320,51200,3411.15,short,drr
1765519830282,324,51200,3408.73,short,drr
1765519830286,328,51200,3411.18,short,drr
1765519830287,332,51200,3408.73,short,drr
1765519830291,336,51200,3411.11,short,drr
1765519830295,340,51200,3409.90,short,drr
1765519830300,344,51200,3412.28,short,drr
1765519830302,348,51200,3411.17,short,drr
1765519830307,356,51200,3411.18,short,drr
1765519830310,360,51200,3409.94,short,drr
1765519830311,364,51200,3409.91,short,drr
1765519830315,372,51200,3409.98,short,drr
1765519830316,368,51200,3409.99,short,drr
1765519830321,376,51200,3411.22,short,drr
1765519830323,380,51200,3410.05,short,drr
1765519830327,384,51200,3411.31,short,drr
1765519830330,392,51200,3408.89,short,drr
1765519830336,396,51200,3408.82,short,drr
1765519830337,400,51200,3408.83,short,drr
1765519830341,404,51200,3410.01,short,drr
1765519830347,412,51200,3408.84,short,drr
1765519830355,416,51200,3408.37,short,drr
1765519830363,276,51200,3524.06,short,drr
1765519830365,420,51200,3408.90,short,drr
1765519830381,292,51200,3529.66,short,drr
1765519830385,424,51200,3411.05,short,drr
1765519830389,304,51200,3528.66,short,drr
1765519830409,352,51200,3516.85,short,drr
1765519830431,436,51200,3409.79,short,drr
1765519830435,388,51200,3515.19,short,drr
1765519830443,440,51200,3412.26,short,drr
1765519830447,444,51200,3410.24,short,drr
1765519830451,408,51200,3516.39,short,drr
1765519830490,428,51200,3508.04,short,drr
1765519830507,448,51200,3413.86,short,drr
1765519830525,432,51200,3507.54,short,drr
1765519833395,452,51200,3432.23,short,drr
1765519833663,456,51200,3427.94,short,drr
1765519833667,460,51200,3427.99,short,drr
1765519833672,464,51200,3426.65,short,drr
1765519833673,468,51200,3426.74,short,drr
1765519833674,472,51200,3424.21,short,drr
1765519833683,480,51200,3425.56,short,drr
1765519833686,484,51200,3426.79,short,drr
1765519833689,488,51200,3426.72,short,drr
1765519833696,496,51200,3425.53,short,drr
1765519833702,504,51200,3423.12,short,drr
1765519833703,508,51200,3423.09,short,drr
1765519833707,512,51200,3423.09,short,drr
1765519833708,516,51200,3423.21,short,drr
1765519833712,520,51200,3423.05,short,drr
1765519833713,524,51200,3423.13,short,drr
1765519833718,528,51200,3424.35,short,drr
1765519833720,532,51200,3423.09,short,drr
1765519833724,536,51200,3422.97,short,drr
1765519833729,540,51200,3424.36,short,drr
1765519833734,548,51200,3421.94,short,drr
1765519833739,560,51200,3420.76,short,drr
1765519833745,568,51200,3420.76,short,drr
1765519833750,572,51200,3419.53,short,drr
1765519833752,576,51200,3419.51,short,drr
1765519833758,580,51200,3419.57,short,drr
1765519833759,584,51200,3419.47,short,drr
1765519833764,588,51200,3420.77,short,drr
1765519833777,596,51200,3419.55,short,drr
1765519833792,600,51200,3426.31,short,drr
1765519833793,604,51200,3426.03,short,drr
1765519833803,492,51200,3536.90,short,drr
1765519833806,612,51200,3419.51,short,drr
1765519833808,616,51200,3418.29,short,drr
1765519833812,500,51200,3538.32,short,drr
1765519833838,620,51200,3427.40,short,drr
1765519833852,564,51200,3422.51,short,drr
1765519833853,624,51200,3421.25,short,drr
1765519833864,632,51200,3420.76,short,drr
1765519833877,640,51200,3424.88,short,drr
1765519833896,544,51200,3587.42,short,drr
1765519833903,608,51200,3520.91,short,drr
1765519833929,648,51200,3419.15,short,drr
1765519833945,652,51200,3419.31,short,drr
1765519833954,628,51200,3517.25,short,drr
1765519833968,636,51200,3519.48,short,drr
1765519834005,644,51200,3512.83,short,drr
1765519836810,656,51200,3412.91,short,drr
1765519837081,664,51200,3412.88,short,drr
1765519837086,668,51200,3410.37,short,drr
1765519837089,672,51200,3411.64,short,drr
1765519837090,676,51200,3411.67,short,drr
1765519837097,680,51200,3412.77,short,drr
1765519837107,692,51200,3409.22,short,drr
1765519837114,700,51200,3409.24,short,drr
1765519837115,696,51200,3409.25,short,drr
1765519837121,712,51200,3406.84,short,drr
1765519837122,716,51200,3406.77,short,drr
1765519837127,720,51200,3408.04,short,drr
1765519837131,724,51200,3407.91,short,drr
1765519837137,732,51200,3406.82,short,drr
1765519837140,736,51200,3406.88,short,drr
1765519837144,740,51200,3406.91,short,drr
1765519837147,744,51200,3405.53,short,drr
1765519837153,748,51200,3406.54,short,drr
1765519837157,752,51200,3404.39,short,drr
1765519837161,756,51200,3406.87,short,drr
1765519837167,764,51200,3405.70,short,drr
1765519837171,768,51200,3405.57,short,drr
1765519837179,660,51200,3514.02,short,drr
1765519837199,776,51200,3404.34,short,drr
1765519837201,780,51200,3405.60,short,drr
1765519837207,684,51200,3519.19,short,drr
1765519837211,688,51200,3519.28,short,drr
1765519837212,784,51200,3407.73,short,drr
1765519837216,788,51200,3409.02,short,drr
1765519837219,792,51200,3407.73,short,drr
1765519837224,796,51200,3408.90,short,drr
1765519837229,704,51200,3519.19,short,drr
1765519837230,708,51200,3519.16,short,drr
1765519837250,800,51200,3411.57,short,drr
1765519837274,812,51200,3408.58,short,drr
1765519837280,760,51200,3520.02,short,drr
1765519837286,816,51200,3408.09,short,drr
1765519837301,772,51200,3412.35,short,drr
1765519837314,820,51200,3409.01,short,drr
1765519837340,824,51200,3409.77,short,drr
1765519837357,828,51200,3408.84,short,drr
1765519837366,832,51200,3409.47,short,drr
1765519837377,836,51200,3407.86,short,drr
1765519837414,840,51200,3408.46,short,drr
1765519840528,848,51200,3444.04,short,drr
1765519840529,852,51200,3441.61,short,drr
1765519840534,856,51200,3442.81,short,drr
1765519840536,860,51200,3444.03,short,drr
1765519840543,864,51200,3444.05,short,drr
1765519840553,868,51200,3442.60,short,drr
1765519840559,872,51200,3442.80,short,drr
1765519840561,876,51200,3444.09,short,drr
1765519840566,880,51200,3442.90,short,drr
1765519840569,884,51200,3444.06,short,drr
1765519840573,888,51200,3444.07,short,drr
1765519840585,900,51200,3442.88,short,drr
1765519840589,904,51200,3442.96,short,drr
1765519840593,908,51200,3442.88,short,drr
1765519840599,912,51200,3442.94,short,drr
1765519840603,916,51200,3442.86,short,drr
1765519840607,920,51200,3442.97,short,drr
1765519840611,924,51200,3441.65,short,drr
1765519840633,936,51200,3432.67,short,drr
1765519840640,944,51200,3430.49,short,drr
1765519840645,956,51200,3428.10,short,drr
1765519840648,960,51200,3426.84,short,drr
1765519840653,964,51200,3428.06,short,drr
1765519840657,968,51200,3425.56,short,drr
1765519840672,976,51200,3419.92,short,drr
1765519840675,896,51200,3421.20,short,drr
1765519840701,980,51200,3425.57,short,drr
1765519840705,984,51200,3423.14,short,drr
1765519840710,988,51200,3422.34,short,drr
1765519840724,992,51200,3420.35,short,drr
1765519840741,996,51200,3426.49,short,drr
1765519840744,948,51200,3530.35,short,drr
1765519840748,952,51200,3532.86,short,drr
1765519840768,1000,51200,3425.07,short,drr
1765519840791,940,51200,3588.71,short,drr
1765519840798,1008,51200,3429.27,short,drr
1765519840809,1012,51200,3429.43,short,drr
1765519840813,928,51200,3639.16,short,drr
1765519840849,1016,51200,3432.95,short,drr
