time_ms,stream_id,bytes,sct_ms,e2e_ms,class,scheduler
1765684399238,8,51200,490.52,514.12,short,drr
1765684399245,16,51200,491.93,521.34,short,drr
1765684399252,28,51200,492.00,527.54,short,drr
1765684399255,32,51200,493.27,531.27,short,drr
1765684399265,4,51200,465.57,541.67,short,drr
1765684399388,20,51200,632.00,663.89,short,drr
1765684399388,12,51200,636.95,663.91,short,drr
1765684399664,44,51200,415.60,461.02,short,drr
1765684399669,40,51200,430.75,473.73,short,drr
1765684399790,64,51200,398.73,447.36,short,drr
1765684399798,48,51200,545.08,590.46,short,drr
1765684399802,52,51200,543.62,591.78,short,drr
1765684399942,60,51200,552.76,598.90,short,drr
1765684400082,72,51200,403.88,442.56,short,drr
1765684400091,68,51200,422.35,461.72,short,drr
1765684400227,76,51200,434.88,473.70,short,drr
1765684400239,80,51200,439.74,481.18,short,drr
1765684400391,84,51200,587.38,630.10,short,drr
1765684400398,88,51200,456.19,502.37,short,drr
1765684400502,96,51200,411.38,452.04,short,drr
1765684400632,92,51200,548.15,589.80,short,drr
1765684400744,100,51200,516.11,557.69,short,drr
1765684400757,104,51200,518.17,563.14,short,drr
1765684400894,108,51200,502.98,544.63,short,drr
1765684400900,112,51200,501.71,543.58,short,drr
1765684401001,120,51200,369.36,419.51,short,drr
1765684401008,116,51200,504.75,548.47,short,drr
1765684401130,124,51200,386.21,421.74,short,drr
1765684401139,128,51200,387.30,425.32,short,drr
1765684401308,132,51200,412.76,452.71,short,drr
1765684401314,136,51200,414.04,453.56,short,drr
1765684401543,152,51200,403.06,451.77,short,drr
1765684401552,148,51200,420.76,468.22,short,drr
1765684401556,140,51200,553.92,597.69,short,drr
1765684401681,160,51200,365.59,407.36,short,drr
1765684401820,156,51200,511.45,551.73,short,drr
1765684401917,164,51200,364.94,404.91,short,drr
1765684401925,172,51200,366.33,407.74,short,drr
1765684402159,176,51200,476.66,520.37,short,drr
1765684402242,188,51200,316.80,356.15,short,drr
1765684402363,184,51200,444.85,482.70,short,drr
1765684402525,192,51200,365.87,406.28,short,drr
1765684402603,196,51200,357.16,400.77,short,drr
1765684402834,200,51200,469.06,506.73,short,drr
1765684402891,204,51200,365.99,403.81,short,drr
1765684403069,208,51200,466.02,505.02,short,drr
1765684403215,216,51200,369.12,412.32,short,drr
1765684403303,212,51200,469.22,510.88,short,drr
1765684403384,220,51200,312.20,351.22,short,drr
1765684403718,232,51200,333.31,375.84,short,drr
1765684403754,228,51200,452.94,492.52,short,drr
1765684404033,236,51200,313.00,350.64,short,drr
1765684404217,240,51200,462.55,499.23,short,drr
1765684404366,244,51200,333.24,382.44,short,drr
1765684404525,248,51200,321.25,364.00,short,drr
1765684404785,252,51200,418.05,455.76,short,drr
1765684405173,260,51200,387.92,423.39,short,drr
1765684405487,264,51200,312.99,361.89,short,drr
1765684406601,0,575488,7854.70,7877.16,medium,drr
1765684406647,24,575488,7888.78,7923.10,medium,drr
1765684406969,276,51200,321.94,359.44,short,drr
1765684406983,56,575488,7718.93,7765.61,medium,drr
1765684407032,272,51200,443.85,480.30,short,drr
1765684407330,280,51200,345.35,386.98,short,drr
1765684407337,284,51200,349.08,392.00,short,drr
1765684407384,288,51200,348.86,391.79,short,drr
1765684407727,300,51200,343.13,386.83,short,drr
1765684407794,292,51200,463.33,506.96,short,drr
1765684407803,296,51200,462.30,508.46,short,drr
1765684408136,308,51200,340.14,378.79,short,drr
1765684408170,304,51200,441.73,478.10,short,drr
1765684408457,316,51200,321.53,356.68,short,drr
1765684408494,320,51200,322.59,364.16,short,drr
1765684408800,324,51200,340.20,381.39,short,drr
1765684408835,328,51200,341.44,383.89,short,drr
1765684409118,332,51200,316.86,353.32,short,drr
1765684409148,336,51200,311.79,349.43,short,drr
1765684409555,344,51200,405.84,448.27,short,drr
1765684410320,224,575488,7105.15,7142.76,medium,drr
1765684410704,352,51200,405.24,440.74,short,drr
1765684411027,356,51200,321.79,361.78,short,drr
1765684411418,360,51200,377.26,417.46,short,drr
1765684411736,364,51200,317.88,356.18,short,drr
1765684412040,368,51200,301.88,340.70,short,drr
1765684412345,372,51200,302.09,346.14,short,drr
1765684412466,268,575488,6977.63,7015.22,medium,drr
1765684412679,376,51200,331.52,370.19,short,drr
1765684412833,380,51200,365.16,406.41,short,drr
1765684413004,384,51200,322.82,366.85,short,drr
1765684413267,388,51200,434.56,470.26,short,drr
1765684413432,392,51200,424.91,467.33,short,drr
1765684413575,396,51200,307.56,343.87,short,drr
1765684413867,400,51200,433.62,471.14,short,drr
1765684414000,404,51200,423.54,466.03,short,drr
1765684414281,408,51200,411.99,452.09,short,drr
1765684414310,412,51200,309.25,346.85,short,drr
1765684414622,416,51200,339.21,375.60,short,drr
1765684414644,420,51200,332.75,375.70,short,drr
1765684414977,424,51200,354.99,394.98,short,drr
1765684414982,428,51200,336.14,377.48,short,drr
1765684415293,436,51200,308.77,346.38,short,drr
1765684415450,432,51200,475.78,513.48,short,drr
1765684415703,444,51200,317.16,357.05,short,drr
1765684416110,448,51200,404.17,441.70,short,drr
1765684416496,452,51200,385.42,420.54,short,drr
1765684416575,348,575488,7019.90,7058.59,medium,drr
1765684416835,456,51200,337.22,378.40,short,drr
1765684417012,460,51200,434.55,478.08,short,drr
1765684417242,464,51200,406.05,443.80,short,drr
1765684417631,472,51200,389.12,424.27,short,drr
1765684417945,476,51200,313.35,354.52,short,drr
1765684418287,36,1521664,19522.72,19563.16,long,drr
1765684418358,480,51200,412.00,448.40,short,drr
1765684418617,484,51200,328.12,363.28,short,drr
1765684418682,488,51200,322.49,359.16,short,drr
1765684418959,492,51200,339.90,381.09,short,drr
1765684419025,496,51200,341.53,383.96,short,drr
1765684419325,504,51200,298.43,336.15,short,drr
1765684419386,500,51200,425.26,465.56,short,drr
1765684419753,508,51200,424.70,467.10,short,drr
1765684419807,512,51200,419.98,456.40,short,drr
1765684420153,144,1521664,19144.77,19189.76,long,drr
1765684420156,520,51200,348.76,390.45,short,drr
1765684420205,516,51200,451.35,490.05,short,drr
1765684420492,528,51200,336.08,371.52,short,drr
1765684420555,532,51200,349.40,387.78,short,drr
1765684420595,168,1521664,19038.74,19080.07,long,drr
1765684420638,524,51200,484.48,519.97,short,drr
1765684420854,180,1521664,19033.96,19079.32,long,drr
1765684420871,536,51200,375.15,415.37,short,drr
1765684420970,544,51200,370.03,415.24,short,drr
1765684421009,548,51200,371.21,412.66,short,drr
1765684421084,540,51200,525.84,572.31,short,drr
1765684421264,552,51200,410.08,451.66,short,drr
1765684421282,556,51200,410.91,453.75,short,drr
1765684421408,560,51200,436.95,481.85,short,drr
1765684421431,564,51200,421.94,468.19,short,drr
1765684421499,568,51200,412.84,459.34,short,drr
1765684421794,580,51200,385.30,427.68,short,drr
1765684421803,572,51200,537.81,579.31,short,drr
1765684421816,584,51200,385.27,430.25,short,drr
1765684421839,576,51200,556.19,597.60,short,drr
1765684422024,588,51200,524.47,570.67,short,drr
1765684422179,592,51200,385.78,423.60,short,drr
1765684422197,596,51200,392.50,433.64,short,drr
1765684422208,600,51200,392.21,431.57,short,drr
1765684422363,604,51200,542.06,583.95,short,drr
1765684422549,608,51200,524.61,568.27,short,drr
1765684422574,620,51200,363.46,406.18,short,drr
1765684422676,612,51200,496.92,537.13,short,drr
1765684422687,616,51200,488.23,537.42,short,drr
1765684422864,624,51200,499.20,539.36,short,drr
1765684422926,440,575488,7631.23,7672.32,medium,drr
1765684423057,628,51200,506.99,548.22,short,drr
1765684423062,636,51200,385.85,428.26,short,drr
1765684423074,640,51200,387.11,432.33,short,drr
1765684423088,632,51200,513.48,553.94,short,drr
1765684423241,644,51200,376.02,416.15,short,drr
1765684423477,652,51200,420.14,460.26,short,drr
1765684423506,656,51200,442.79,484.21,short,drr
1765684423508,664,51200,422.28,465.53,short,drr
1765684423516,660,51200,441.31,484.37,short,drr
1765684423656,668,51200,411.82,459.33,short,drr
1765684423911,672,51200,432.41,475.06,short,drr
1765684423945,256,1521664,19419.10,19462.75,long,drr
1765684424004,676,51200,500.35,541.89,short,drr
1765684424008,680,51200,499.03,540.55,short,drr
1765684424014,688,51200,357.34,399.73,short,drr
1765684424235,692,51200,396.91,440.48,short,drr
1765684424319,696,51200,374.37,412.02,short,drr
1765684424375,704,51200,364.73,408.75,short,drr
1765684424550,708,51200,533.32,578.48,short,drr
1765684424725,712,51200,490.18,531.29,short,drr
1765684424734,720,51200,359.09,402.25,short,drr
1765684424809,716,51200,487.81,531.74,short,drr
1765684424877,724,51200,347.40,386.72,short,drr
1765684425094,728,51200,367.05,405.96,short,drr
1765684425121,732,51200,385.59,425.98,short,drr
1765684425178,736,51200,369.34,410.59,short,drr
1765684425401,744,51200,306.11,351.47,short,drr
1765684425820,756,51200,417.93,457.89,short,drr
1765684426226,760,51200,405.92,442.41,short,drr
1765684426525,764,51200,297.54,332.66,short,drr
1765684426858,768,51200,329.92,371.03,short,drr
1765684427287,772,51200,431.75,468.17,short,drr
1765684427388,312,1521664,19582.91,19623.04,long,drr
1765684427671,776,51200,429.29,478.16,short,drr
1765684427693,780,51200,302.59,340.28,short,drr
1765684428031,788,51200,338.18,379.87,short,drr
1765684428125,784,51200,452.86,494.04,short,drr
1765684428447,796,51200,321.84,359.41,short,drr
1765684428462,792,51200,429.90,466.56,short,drr
1765684428623,340,1521664,19503.65,19546.05,long,drr
1765684430670,740,575488,5793.13,5837.18,medium,drr
1765684430792,748,575488,5669.66,5711.00,medium,drr
1765684430815,752,575488,5636.65,5678.07,medium,drr
1765684432418,468,1521664,15403.87,15445.06,long,drr
1765684433847,648,1521664,10921.54,10961.76,long,drr
1765684433963,684,1521664,10446.79,10488.27,long,drr
