time_ms,stream_id,bytes,sct_ms,class,scheduler
1765523742310,20,2398,75.86,short,rr
1765523742313,96,2334,76.87,short,rr
1765523742358,116,2681,108.41,short,rr
1765523742363,84,2715,103.74,short,rr
1765523742444,224,3804,146.11,short,rr
1765523742446,28,2072,204.30,short,rr
1765523742461,220,2773,158.91,short,rr
1765523742518,56,2824,263.72,short,rr
1765523742519,0,3479,243.45,short,rr
1765523742546,256,4453,187.10,short,rr
1765523742567,120,4901,297.30,short,rr
1765523742572,168,3850,287.12,short,rr
1765523742596,48,7146,376.34,short,rr
1765523742597,284,3457,210.20,short,rr
1765523742604,192,3020,316.60,short,rr
1765523742618,32,4947,369.94,short,rr
1765523742618,12,3855,371.18,short,rr
1765523742635,144,6184,371.69,short,rr
1765523742660,212,5802,367.89,short,rr
1765523742713,148,5299,446.03,short,rr
1765523742722,132,8087,447.40,short,rr
1765523742729,124,6732,447.35,short,rr
1765523742738,208,4307,447.30,short,rr
1765523742740,300,5434,298.71,short,rr
1765523742747,232,8159,447.36,short,rr
1765523742781,72,9222,524.16,short,rr
1765523742785,140,7356,526.93,short,rr
1765523742877,328,2716,153.73,short,rr
1765523742923,24,11525,678.77,short,rr
1765523742954,160,10725,680.62,short,rr
1765523742986,228,11030,681.96,short,rr
1765523743013,136,10981,759.78,short,rr
1765523743019,320,5010,312.76,short,rr
1765523743024,100,12651,760.18,short,rr
1765523743031,152,10932,759.80,short,rr
1765523743064,340,4126,316.56,short,rr
1765523743073,80,12094,839.55,short,rr
1765523743101,252,13679,771.51,short,rr
1765523743125,332,6259,394.65,short,rr
1765523743154,244,13943,839.49,short,rr
1765523743196,128,14149,918.86,short,rr
1765523743204,388,3330,156.30,short,rr
1765523743256,364,4563,313.83,short,rr
1765523743266,156,15892,994.30,short,rr
1765523743341,380,4998,316.37,short,rr
1765523743346,112,17189,1077.88,short,rr
1765523743380,236,17467,1075.09,short,rr
1765523743384,40,23815,1165.61,short,rr
1765523743391,396,3697,235.81,short,rr
1765523743523,316,12824,862.54,short,rr
1765523743527,164,18768,1231.72,short,rr
1765523743543,420,4083,229.47,short,rr
1765523743559,312,16105,1012.60,short,rr
1765523743562,360,10687,627.85,short,rr
1765523743601,436,2426,76.84,short,rr
1765523743624,52,23354,1384.60,short,rr
1765523743628,4,21019,1384.80,short,rr
1765523743684,200,21305,1388.21,short,rr
1765523743731,424,6179,389.00,short,rr
1765523743736,416,7565,466.64,short,rr
1765523743780,444,3908,235.82,short,rr
1765523743786,356,12426,862.48,short,rr
1765523743798,456,4742,234.48,short,rr
1765523743820,404,10215,622.43,short,rr
1765523743829,272,19286,1325.45,short,rr
1765523743833,172,23875,1543.26,short,rr
1765523743846,352,14759,939.49,short,rr
1765523743847,428,7129,465.35,short,rr
1765523743888,412,10915,620.35,short,rr
1765523743951,44,27227,1699.31,short,rr
1765523744016,484,3869,233.23,short,rr
1765523744050,368,18156,1094.48,short,rr
1765523744132,492,6103,310.15,short,rr
1765523744210,528,2095,75.55,short,rr
1765523744214,184,27918,1927.62,short,rr
1765523744220,500,5846,387.09,short,rr
1765523744233,504,5799,387.11,short,rr
1765523744235,508,7337,387.02,short,rr
1765523744297,216,32225,2003.39,short,rr
1765523744344,512,8484,455.02,short,rr
1765523744351,524,4049,301.24,short,rr
1765523744429,408,20501,1224.05,short,rr
1765523744455,392,20999,1380.38,short,rr
1765523744503,536,4365,289.45,short,rr
1765523744513,556,3774,215.08,short,rr
1765523744528,564,2723,143.46,short,rr
1765523744553,264,34618,2190.36,short,rr
1765523744595,544,7084,362.33,short,rr
1765523744610,516,11131,668.87,short,rr
1765523744677,432,20036,1293.12,short,rr
1765523744697,452,17521,1137.94,short,rr
1765523744697,520,11974,745.71,short,rr
1765523744717,384,28130,1683.95,short,rr
1765523744721,552,7199,441.88,short,rr
1765523744748,188,37330,2446.57,short,rr
1765523744793,472,18447,1135.44,short,rr
1765523744799,268,35494,2427.45,short,rr
1765523744803,88,39375,2523.59,short,rr
1765523744822,204,39291,2523.68,short,rr
1765523744830,548,10158,593.14,short,rr
1765523744875,616,2397,153.71,short,rr
1765523744888,568,8566,456.82,short,rr
1765523744914,64,39615,2676.39,short,rr
1765523744920,584,4582,310.05,short,rr
1765523744934,488,17467,1135.23,short,rr
1765523744961,180,39249,2677.30,short,rr
1765523744981,592,6472,384.45,short,rr
1765523744985,636,2912,152.58,short,rr
