time_ms,stream_id,bytes,sct_ms,e2e_ms,class,scheduler
1765685032417,56,51200,1498.50,1533.09,short,rr
1765685032451,68,51200,1530.66,1566.18,short,rr
1765685032460,32,51200,1540.68,1575.25,short,rr
1765685032465,116,51200,1545.69,1580.21,short,rr
1765685032480,92,51200,1559.84,1595.40,short,rr
1765685032483,100,51200,1562.42,1597.97,short,rr
1765685032490,4,51200,1571.28,1605.93,short,rr
1765685032494,76,51200,1575.10,1609.70,short,rr
1765685032498,28,51200,1578.94,1613.51,short,rr
1765685032503,16,51200,1583.93,1618.47,short,rr
1765685032507,52,51200,1587.81,1622.28,short,rr
1765685032511,88,51200,1590.50,1626.05,short,rr
1765685032529,84,51200,1609.57,1644.17,short,rr
1765685032534,104,51200,1614.65,1649.20,short,rr
1765685032538,20,51200,1618.53,1653.05,short,rr
1765685032538,12,51200,1618.53,1653.08,short,rr
1765685032543,60,51200,1623.68,1658.10,short,rr
1765685032553,112,51200,1632.79,1668.32,short,rr
1765685032567,80,51200,1648.03,1682.62,short,rr
1765685032572,24,51200,1653.13,1687.72,short,rr
1765685032577,36,51200,1658.31,1692.76,short,rr
1765685032582,64,51200,1662.27,1697.85,short,rr
1765685032586,96,51200,1666.11,1701.66,short,rr
1765685032589,108,51200,1668.69,1704.22,short,rr
1765685032590,8,51200,1669.97,1705.49,short,rr
1765685032594,48,51200,1674.96,1709.61,short,rr
1765685034054,124,51200,1601.61,1671.09,short,rr
1765685034057,120,51200,1638.66,1708.14,short,rr
1765685034063,128,51200,1600.31,1669.71,short,rr
1765685034068,132,51200,1600.40,1669.68,short,rr
1765685034082,140,51200,1599.23,1668.43,short,rr
1765685034091,144,51200,1600.46,1669.70,short,rr
1765685034107,168,51200,1601.92,1668.49,short,rr
1765685034109,172,51200,1601.88,1667.25,short,rr
1765685034110,136,51200,1628.62,1699.07,short,rr
1765685034110,176,51200,1600.54,1665.86,short,rr
1765685034110,180,51200,1599.27,1663.34,short,rr
