time_ms,stream_id,bytes,sct_ms,class,scheduler
1765523951490,0,51200,1819.78,short,rr
1765523951663,20,51200,1987.81,short,rr
1765523951664,52,51200,1980.54,short,rr
1765523951669,100,51200,1980.83,short,rr
1765523951676,104,51200,1982.33,short,rr
1765523951713,144,51200,1984.41,short,rr
1765523951751,56,51200,2035.67,short,rr
1765523951755,80,51200,2035.72,short,rr
1765523951763,132,51200,2035.67,short,rr
1765523951786,48,51200,2087.63,short,rr
1765523951791,44,51200,2088.93,short,rr
1765523951793,40,51200,2088.97,short,rr
1765523951796,16,51200,2089.22,short,rr
1765523951799,4,51200,2089.28,short,rr
1765523951817,124,51200,2091.99,short,rr
1765523951826,64,51200,2140.78,short,rr
1765523951829,96,51200,2142.01,short,rr
1765523951833,108,51200,2142.27,short,rr
1765523951841,116,51200,2143.91,short,rr
1765523951859,32,51200,2145.81,short,rr
1765523951864,76,51200,2145.84,short,rr
1765523951868,88,51200,2145.84,short,rr
1765523951869,120,51200,2145.88,short,rr
1765523951877,152,51200,2145.87,short,rr
1765523951890,60,51200,2197.52,short,rr
1765523951900,136,51200,2200.36,short,rr
1765523951904,156,51200,2200.54,short,rr
1765523951906,36,51200,2200.71,short,rr
1765523951909,8,51200,2200.80,short,rr
1765523951933,148,51200,2203.50,short,rr
1765523951940,68,51200,2253.64,short,rr
1765523951950,112,51200,2254.04,short,rr
1765523951955,140,51200,2253.90,short,rr
1765523951972,72,51200,2254.80,short,rr
1765523951981,128,51200,2254.82,short,rr
1765523952027,84,51200,2306.03,short,rr
1765523953659,160,51200,2169.34,short,rr
1765523953729,164,51200,2114.98,short,rr
1765523953786,172,51200,2115.22,short,rr
1765523953831,168,51200,2167.65,short,rr
1765523953841,176,51200,2165.14,short,rr
1765523953863,180,51200,2162.54,short,rr
1765523953875,184,51200,2162.59,short,rr
1765523953895,200,51200,2107.55,short,rr
1765523953920,224,51200,2104.95,short,rr
1765523953923,228,51200,2104.94,short,rr
1765523953931,196,51200,2158.68,short,rr
1765523953941,240,51200,2104.99,short,rr
1765523953951,204,51200,2158.82,short,rr
1765523953956,212,51200,2158.82,short,rr
1765523953960,216,51200,2160.15,short,rr
1765523953963,220,51200,2158.82,short,rr
1765523953968,188,51200,2212.45,short,rr
1765523953976,192,51200,2213.22,short,rr
1765523953987,232,51200,2157.47,short,rr
1765523953998,272,51200,2101.05,short,rr
1765523954028,256,51200,2160.04,short,rr
1765523954048,236,51200,2213.49,short,rr
1765523954054,244,51200,2212.64,short,rr
1765523954055,248,51200,2208.77,short,rr
1765523954059,276,51200,2156.22,short,rr
1765523954060,280,51200,2154.98,short,rr
1765523954064,284,51200,2156.19,short,rr
1765523954065,288,51200,2154.97,short,rr
1765523954075,292,51200,2154.93,short,rr
1765523954075,252,51200,2210.07,short,rr
1765523954088,260,51200,2211.34,short,rr
1765523954096,268,51200,2210.92,short,rr
1765523954132,296,51200,2153.62,short,rr
1765523954183,300,51200,2202.39,short,rr
1765523955817,304,51200,2157.95,short,rr
1765523955838,308,51200,2107.53,short,rr
1765523955922,316,51200,2108.56,short,rr
1765523955989,328,51200,2112.32,short,rr
1765523955992,320,51200,2158.51,short,rr
1765523956003,324,51200,2161.31,short,rr
1765523956008,332,51200,2112.34,short,rr
1765523956033,336,51200,2111.20,short,rr
1765523956035,344,51200,2109.80,short,rr
1765523956069,360,51200,2111.14,short,rr
1765523956082,372,51200,2113.35,short,rr
1765523956111,380,51200,2113.52,short,rr
1765523956115,388,51200,2113.47,short,rr
1765523956129,364,51200,2168.66,short,rr
1765523956133,368,51200,2168.68,short,rr
1765523956158,376,51200,2169.90,short,rr
1765523956165,412,51200,2114.79,short,rr
1765523956172,392,51200,2167.36,short,rr
1765523956176,416,51200,2114.81,short,rr
1765523956179,396,51200,2167.40,short,rr
1765523956193,424,51200,2116.04,short,rr
1765523956193,404,51200,2164.85,short,rr
1765523956198,428,51200,2114.75,short,rr
1765523956212,408,51200,2166.08,short,rr
1765523956216,352,51200,2274.97,short,rr
1765523956226,356,51200,2273.77,short,rr
1765523956230,420,51200,2164.78,short,rr
1765523956268,384,51200,2268.61,short,rr
1765523956303,432,51200,2214.76,short,rr
1765523956402,436,51200,2218.64,short,rr
1765523958025,440,51200,2207.51,short,rr
1765523958077,448,51200,2154.84,short,rr
1765523958095,452,51200,2156.18,short,rr
1765523958098,444,51200,2258.72,short,rr
1765523958141,468,51200,2107.42,short,rr
1765523958144,472,51200,2107.50,short,rr
1765523958150,456,51200,2157.44,short,rr
1765523958187,492,51200,2102.33,short,rr
1765523958211,496,51200,2103.66,short,rr
1765523958213,460,51200,2209.65,short,rr
1765523958216,476,51200,2158.62,short,rr
1765523958230,480,51200,2161.15,short,rr
1765523958232,484,51200,2159.85,short,rr
1765523958236,488,51200,2157.37,short,rr
1765523958241,512,51200,2102.32,short,rr
1765523958261,520,51200,2101.08,short,rr
1765523958268,504,51200,2153.66,short,rr
1765523958272,508,51200,2153.63,short,rr
1765523958283,540,51200,2101.40,short,rr
