time_ms,stream_id,bytes,sct_ms,class,scheduler
1765523091040,60,2484,2.46,short,wfq
1765523091100,52,3147,6.50,short,wfq
1765523091112,56,3246,4.49,short,wfq
1765523091183,12,2879,156.85,short,wfq
1765523091208,80,2846,168.98,short,wfq
1765523091212,152,5585,170.34,short,wfq
1765523091227,0,3685,170.24,short,wfq
1765523091232,172,2524,4.84,short,wfq
1765523091245,24,3423,168.05,short,wfq
1765523091262,180,2951,4.54,short,wfq
1765523091296,64,5457,165.49,short,wfq
1765523091308,116,3568,159.12,short,wfq
1765523091340,36,9676,311.31,short,wfq
1765523091345,108,5209,155.98,short,wfq
1765523091360,168,4796,151.48,short,wfq
1765523091362,16,7887,316.06,short,wfq
1765523091390,32,9979,316.95,short,wfq
1765523091404,216,2504,2.54,short,wfq
1765523091428,96,8660,304.46,short,wfq
1765523091440,100,6317,305.63,short,wfq
1765523091444,112,9524,299.18,short,wfq
1765523091459,136,8692,295.25,short,wfq
1765523091499,200,2203,137.13,short,wfq
1765523091503,68,14166,453.31,short,wfq
1765523091517,20,11181,447.79,short,wfq
1765523091532,44,6727,282.21,short,wfq
1765523091576,228,4618,136.12,short,wfq
1765523091686,84,12934,573.89,short,wfq
1765523091723,260,2053,141.43,short,wfq
1765523091725,272,2809,2.87,short,wfq
1765523091764,160,17502,572.82,short,wfq
1765523091804,240,9080,287.60,short,wfq
1765523091840,184,15660,570.11,short,wfq
1765523091888,140,7012,720.59,short,wfq
1765523091922,192,14331,571.54,short,wfq
1765523091938,208,14481,568.70,short,wfq
1765523091970,248,11010,437.61,short,wfq
1765523091979,252,13891,440.37,short,wfq
1765523092009,256,13037,437.48,short,wfq
1765523092017,280,5036,140.59,short,wfq
1765523092025,128,22189,864.81,short,wfq
1765523092038,144,22021,868.69,short,wfq
1765523092096,40,25715,1016.26,short,wfq
1765523092118,28,26812,1014.46,short,wfq
1765523092135,92,23719,1015.11,short,wfq
1765523092158,308,5796,139.74,short,wfq
1765523092162,312,4946,137.29,short,wfq
1765523092190,288,5382,277.27,short,wfq
1765523092333,344,6834,142.97,short,wfq
1765523092497,8,23452,1441.86,short,wfq
1765523092512,300,15309,559.20,short,wfq
1765523092741,76,40668,1709.27,short,wfq
1765523092816,332,16477,680.60,short,wfq
1765523092871,292,23581,949.33,short,wfq
1765523092930,324,20218,818.69,short,wfq
1765523092938,328,21927,818.08,short,wfq
1765523092940,380,2724,2.47,short,wfq
1765523092975,188,44564,1666.99,short,wfq
1765523092977,384,2120,1.19,short,wfq
1765523092986,340,18478,823.77,short,wfq
1765523093078,376,3681,148.75,short,wfq
1765523093106,368,8610,290.49,short,wfq
1765523093180,236,44562,1681.40,short,wfq
1765523093194,244,42675,1673.71,short,wfq
1765523093243,336,29042,1097.90,short,wfq
1765523093293,372,10378,422.34,short,wfq
1765523093311,212,47724,1935.54,short,wfq
1765523093384,388,12426,398.53,short,wfq
1765523093388,428,3157,2.53,short,wfq
1765523093450,48,60893,2359.83,short,wfq
1765523093458,432,3099,2.67,short,wfq
1765523093459,392,9050,380.34,short,wfq
1765523093461,436,2600,2.53,short,wfq
1765523093470,268,49118,1783.95,short,wfq
1765523093475,400,8314,369.04,short,wfq
1765523093479,104,60819,2341.18,short,wfq
1765523093510,316,40823,1472.42,short,wfq
1765523093513,452,2170,2.50,short,wfq
1765523093530,132,40846,2494.41,short,wfq
1765523093596,396,13629,509.87,short,wfq
1765523093599,464,3041,2.55,short,wfq
1765523093626,444,3109,143.94,short,wfq
1765523093637,232,55943,2176.82,short,wfq
1765523093678,164,65174,2477.33,short,wfq
1765523093707,4,69947,2646.37,short,wfq
1765523093760,472,5134,134.53,short,wfq
1765523093909,480,7637,249.09,short,wfq
1765523093922,484,5729,251.77,short,wfq
1765523093955,360,39850,1441.55,short,wfq
1765523094003,416,21198,759.26,short,wfq
1765523094184,508,7305,262.49,short,wfq
1765523094222,516,4150,147.37,short,wfq
1765523094244,456,16530,660.11,short,wfq
1765523094259,88,78597,3143.13,short,wfq
1765523094261,496,10690,436.38,short,wfq
1765523094306,476,18169,649.87,short,wfq
1765523094319,156,81556,3140.16,short,wfq
1765523094327,364,44240,1582.01,short,wfq
1765523094364,320,60504,2264.17,short,wfq
1765523094432,548,2609,3.27,short,wfq
1765523094507,492,24110,774.61,short,wfq
1765523094551,556,3034,2.51,short,wfq
1765523094564,552,3617,118.57,short,wfq
1765523094655,348,65867,2362.99,short,wfq
1765523094703,488,27695,1019.84,short,wfq
1765523094802,284,77621,2912.64,short,wfq
1765523094858,524,17621,642.71,short,wfq
1765523094873,304,75777,2903.71,short,wfq
1765523094950,560,9763,386.36,short,wfq
1765523095001,532,21788,756.81,short,wfq
1765523095203,296,88286,3263.98,short,wfq
1765523095294,580,14910,489.10,short,wfq
1765523095488,528,36809,1264.96,short,wfq
1765523095491,608,2237,2.53,short,wfq
1765523095558,604,8030,264.08,short,wfq
1765523095590,576,26123,887.07,short,wfq
1765523095621,588,20642,747.62,short,wfq
1765523095733,620,3386,121.73,short,wfq
1765523095883,468,62399,2280.50,short,wfq
1765523095906,404,81358,2785.75,short,wfq
1765523095931,540,43632,1625.48,short,wfq
1765523096087,616,14949,494.90,short,wfq
1765523096110,584,39515,1252.49,short,wfq
1765523096200,520,54942,2015.53,short,wfq
1765523096242,596,35627,1241.27,short,wfq
1765523096366,632,18235,483.20,short,wfq
1765523096379,500,68418,2498.53,short,wfq
1765523096382,660,2731,2.59,short,wfq
1765523096405,636,13063,473.40,short,wfq
1765523096431,644,9182,344.00,short,wfq
1765523096610,460,87792,3019.50,short,wfq
1765523096647,568,54856,1992.19,short,wfq
1765523096725,680,2067,115.45,short,wfq
1765523096745,440,90829,3269.22,short,wfq
1765523096807,600,49374,1601.93,short,wfq
1765523096816,628,30773,1083.02,short,wfq
1765523096818,696,2577,2.57,short,wfq
1765523096909,420,102211,3615.89,short,wfq
1765523096959,672,15212,472.85,short,wfq
1765523097137,504,95891,3226.47,short,wfq
1765523097152,592,68754,2202.12,short,wfq
1765523097279,700,14498,361.03,short,wfq
1765523097293,544,81977,2929.44,short,wfq
1765523097309,688,18358,583.29,short,wfq
1765523097333,676,24885,824.66,short,wfq
1765523097337,640,36703,1298.90,short,wfq
1765523097346,684,19756,699.41,short,wfq
1765523097379,712,8057,361.67,short,wfq
1765523097447,692,25506,701.98,short,wfq
1765523097457,512,101129,3449.17,short,wfq
1765523097674,752,2807,118.90,short,wfq
1765523097746,748,11931,355.61,short,wfq
1765523097855,720,17880,594.38,short,wfq
1765523097961,656,51848,1658.23,short,wfq
1765523097962,768,4557,107.53,short,wfq
1765523098043,736,23116,705.58,short,wfq
1765523098077,776,7320,111.54,short,wfq
1765523098232,788,2351,3.54,short,wfq
1765523098305,744,28551,925.85,short,wfq
1765523098383,624,81503,2757.79,short,wfq
1765523098387,740,30985,1040.78,short,wfq
1765523098450,72,198225,7349.35,medium,wfq
1765523098485,732,37393,1152.01,short,wfq
1765523098512,716,45043,1375.30,short,wfq
1765523098527,668,62208,2096.79,short,wfq
1765523098556,652,71403,2312.12,short,wfq
1765523098746,804,6891,218.23,short,wfq
1765523098748,824,2953,2.00,short,wfq
1765523098984,828,2926,120.66,short,wfq
1765523099006,808,15215,455.71,short,wfq
1765523099011,812,15078,455.68,short,wfq
1765523099149,816,18959,565.66,short,wfq
1765523099228,840,9809,216.43,short,wfq
1765523099265,800,27321,877.83,short,wfq
1765523099325,852,3029,2.11,short,wfq
1765523099348,844,5122,196.92,short,wfq
1765523099392,792,34406,1087.23,short,wfq
1765523099439,728,70922,2130.09,short,wfq
1765523099449,708,76965,2489.35,short,wfq
1765523099515,860,2899,123.09,short,wfq
1765523099524,424,123889,6212.45,medium,wfq
1765523099569,868,5300,120.16,short,wfq
1765523099793,760,67954,2118.10,short,wfq
1765523099864,836,29995,857.85,short,wfq
1765523099866,892,2196,1.51,short,wfq
1765523099927,772,64368,1965.08,short,wfq
1765523099960,724,85424,2667.29,short,wfq
1765523099971,796,50274,1624.50,short,wfq
1765523100257,848,31398,989.03,short,wfq
1765523100270,820,57387,1655.58,short,wfq
1765523100276,896,13324,349.19,short,wfq
1765523100322,908,14196,351.01,short,wfq
1765523100391,832,49660,1407.33,short,wfq
1765523100393,876,29384,867.08,short,wfq
1765523100426,536,123193,6161.49,medium,wfq
1765523100725,936,5519,235.14,short,wfq
1765523100762,880,40383,1203.18,short,wfq
1765523100870,944,4690,107.46,short,wfq
1765523100875,884,37946,1199.61,short,wfq
1765523100972,948,5457,102.52,short,wfq
1765523101021,920,22204,648.16,short,wfq
1765523101067,928,19985,651.82,short,wfq
1765523101143,940,17468,417.83,short,wfq
1765523101179,960,5831,111.65,short,wfq
1765523101189,932,26163,761.10,short,wfq
1765523101232,148,287779,10056.69,medium,wfq
1765523101286,900,41653,1325.83,short,wfq
1765523101380,976,5137,113.63,short,wfq
1765523101496,980,7438,209.88,short,wfq
1765523101505,984,8374,209.38,short,wfq
1765523101581,988,3038,102.50,short,wfq
1765523101619,968,15546,430.00,short,wfq
1765523101628,120,299812,10474.80,medium,wfq
1765523101630,856,73594,2281.27,short,wfq
1765523101676,872,74275,2160.82,short,wfq
1765523101736,1012,3976,99.95,short,wfq
1765523101798,924,48123,1404.13,short,wfq
1765523101810,992,11708,313.95,short,wfq
1765523101934,996,16849,427.25,short,wfq
1765523101981,972,28316,748.34,short,wfq
1765523102122,904,72655,2159.52,short,wfq
1765523102158,888,83114,2361.96,short,wfq
1765523102201,1016,19188,524.93,short,wfq
1765523102225,1040,3864,97.33,short,wfq
1765523102324,1028,15119,513.65,short,wfq
1765523102357,1004,25211,735.09,short,wfq
1765523102442,1056,3951,117.85,short,wfq
1765523102546,1048,11474,321.32,short,wfq
1765523102559,964,52352,1486.63,short,wfq
1765523102576,1052,8986,323.11,short,wfq
1765523102660,1060,8930,302.69,short,wfq
1765523102758,1080,5163,98.45,short,wfq
1765523102900,784,105050,4717.16,medium,wfq
1765523102953,1084,4673,103.85,short,wfq
1765523103172,1076,23337,595.68,short,wfq
1765523103218,1044,35014,1017.07,short,wfq
1765523103255,952,84548,2380.01,short,wfq
1765523103350,1100,3677,93.77,short,wfq
1765523103452,1096,9140,280.99,short,wfq
1765523103588,1036,52782,1509.23,short,wfq
1765523103613,764,129050,5866.98,medium,wfq
1765523103617,1124,2485,3.90,short,wfq
1765523103619,1020,63362,1881.98,short,wfq
1765523103674,1112,7358,221.53,short,wfq
1765523103699,1120,3834,111.36,short,wfq
1765523103795,1132,2219,95.37,short,wfq
1765523103804,956,95730,2782.98,short,wfq
1765523103807,1144,2079,1.21,short,wfq
1765523103818,1104,21667,505.40,short,wfq
1765523103876,1116,9409,305.52,short,wfq
1765523103913,1156,2414,1.43,short,wfq
1765523103995,1152,3824,94.74,short,wfq
1765523104119,1164,5006,112.82,short,wfq
1765523104232,1168,4828,110.80,short,wfq
1765523104245,1024,89493,2445.99,short,wfq
1765523104859,1072,84356,2298.61,short,wfq
1765523104961,1180,3874,100.43,short,wfq
1765523104979,1128,47711,1305.11,short,wfq
1765523105029,1176,25556,693.49,short,wfq
1765523105093,1140,45914,1298.25,short,wfq
1765523105135,1064,93780,2692.35,short,wfq
1765523105303,1092,81636,2298.03,short,wfq
1765523105360,1088,87148,2405.99,short,wfq
1765523105389,1196,12418,295.90,short,wfq
1765523105404,1136,64452,1685.21,short,wfq
1765523105412,1172,46554,1177.68,short,wfq
1765523105491,1188,18449,462.37,short,wfq
1765523105784,1184,37832,823.53,short,wfq
1765523105891,912,134226,5633.93,medium,wfq
1765523105922,704,201029,8991.82,medium,wfq
1765523106144,1148,95424,2267.72,short,wfq
1765523106197,1192,52775,1128.98,short,wfq
1765523106216,1160,92361,2220.83,short,wfq
1765523106883,264,342364,15254.53,medium,wfq
1765523108173,1000,212130,6592.10,medium,wfq
1765523109433,612,390970,13875.55,medium,wfq
1765523109513,1108,235705,6162.87,medium,wfq
1765523109646,572,421882,14980.26,medium,wfq
1765523109869,664,407227,13464.32,medium,wfq
1765523110673,176,538805,19428.01,medium,wfq
1765523112047,916,465275,11679.25,medium,wfq
1765523114326,276,806474,22485.98,medium,wfq
1765523115034,564,809233,20410.76,medium,wfq
1765523116061,224,477586,24630.35,medium,wfq
1765523116935,412,1011797,23740.75,medium,wfq
1765523130613,756,1186073,33053.95,long,wfq
1765523130961,204,1263228,39596.13,long,wfq
1765523136632,780,1541300,38479.76,long,wfq
1765523140164,196,1841257,48805.32,long,wfq
1765523144635,1032,2032934,42602.13,long,wfq
1765523148041,1068,2311407,45487.82,long,wfq
1765523149152,448,2463809,55649.67,long,wfq
1765523151811,352,2726286,59334.66,long,wfq
1765523156514,356,3183800,64011.18,long,wfq
1765523160104,408,3577213,66923.40,long,wfq
1765523160926,124,7392138,69768.22,long,wfq
1765523162711,220,8028022,71282.56,long,wfq
1765523164725,1008,4535654,63095.44,long,wfq
1765523164821,648,4634746,68598.18,long,wfq
