time_ms,stream_id,bytes,sct_ms,e2e_ms,class,scheduler
1765685275659,12,51200,460.25,499.82,short,wfq
1765685275675,0,51200,492.81,515.59,short,wfq
1765685275691,32,51200,497.23,532.09,short,wfq
1765685275713,24,51200,528.85,553.99,short,wfq
1765685275716,28,51200,528.94,556.53,short,wfq
1765685275720,36,51200,530.34,560.25,short,wfq
1765685275759,4,51200,567.57,600.07,short,wfq
1765685275766,8,51200,569.09,606.24,short,wfq
1765685275772,16,51200,570.56,612.56,short,wfq
1765685275775,20,51200,570.67,615.08,short,wfq
1765685276192,48,51200,500.98,564.08,short,wfq
1765685276200,40,51200,535.60,602.58,short,wfq
1765685276215,56,51200,499.62,565.32,short,wfq
1765685276220,60,51200,500.91,565.24,short,wfq
1765685276246,52,51200,533.00,598.65,short,wfq
1765685276256,64,51200,495.74,562.71,short,wfq
1765685276264,68,51200,498.30,565.31,short,wfq
1765685276274,76,51200,498.32,562.73,short,wfq
1765685276301,72,51200,528.81,594.53,short,wfq
1765685276684,80,51200,490.71,564.08,short,wfq
1765685276687,84,51200,486.77,561.36,short,wfq
1765685276735,92,51200,489.35,565.28,short,wfq
1765685276738,96,51200,489.40,565.22,short,wfq
1765685276739,88,51200,522.70,598.64,short,wfq
1765685276778,100,51200,490.64,566.51,short,wfq
1765685276780,104,51200,490.50,566.32,short,wfq
1765685276820,108,51200,518.50,592.81,short,wfq
1765685276822,112,51200,518.49,593.07,short,wfq
1765685277205,124,51200,464.64,526.24,short,wfq
1765685277209,116,51200,491.54,557.10,short,wfq
1765685277212,120,51200,491.58,557.01,short,wfq
1765685277226,128,51200,458.15,523.63,short,wfq
1765685277228,132,51200,458.00,523.45,short,wfq
1765685277281,144,51200,461.02,522.37,short,wfq
1765685277283,148,51200,461.03,522.33,short,wfq
1765685277293,136,51200,487.96,553.22,short,wfq
1765685277693,152,51200,486.56,559.78,short,wfq
1765685277696,156,51200,486.55,559.64,short,wfq
1765685277700,160,51200,487.84,561.00,short,wfq
1765685277712,164,51200,455.89,530.16,short,wfq
1765685277715,168,51200,455.79,529.75,short,wfq
1765685277766,176,51200,457.05,530.28,short,wfq
1765685277780,172,51200,486.57,559.72,short,wfq
1765685277795,180,51200,484.00,556.96,short,wfq
1765685278121,184,51200,427.90,486.85,short,wfq
1765685278124,188,51200,427.94,486.40,short,wfq
1765685278126,192,51200,426.57,486.71,short,wfq
1765685278168,200,51200,424.02,485.40,short,wfq
1765685278196,196,51200,454.78,516.08,short,wfq
1765685278244,208,51200,452.08,510.02,short,wfq
1765685278246,212,51200,450.81,510.02,short,wfq
1765685278593,216,51200,446.65,513.63,short,wfq
1765685278597,220,51200,447.94,514.84,short,wfq
1765685278600,224,51200,446.62,514.81,short,wfq
1765685278614,232,51200,417.42,489.13,short,wfq
1765685278634,228,51200,440.51,509.77,short,wfq
1765685278657,236,51200,413.67,484.07,short,wfq
1765685278660,240,51200,413.54,483.89,short,wfq
1765685279025,244,51200,431.91,504.88,short,wfq
1765685279029,248,51200,431.86,506.00,short,wfq
1765685279070,256,51200,435.48,505.93,short,wfq
1765685279074,260,51200,435.47,506.97,short,wfq
1765685279097,268,51200,409.98,466.53,short,wfq
1765685279120,264,51200,435.63,492.23,short,wfq
1765685279408,272,51200,382.76,448.60,short,wfq
1765685279414,276,51200,385.37,449.85,short,wfq
1765685279454,284,51200,380.39,445.82,short,wfq
1765685279475,280,51200,404.74,468.91,short,wfq
1765685279495,292,51200,375.27,438.23,short,wfq
1765685279795,296,51200,386.93,458.99,short,wfq
1765685279840,308,51200,362.53,433.20,short,wfq
1765685279856,304,51200,381.77,452.55,short,wfq
1765685279878,312,51200,381.77,451.25,short,wfq
1765685280155,316,51200,360.03,415.47,short,wfq
1765685280219,320,51200,361.36,416.67,short,wfq
1765685280221,324,51200,361.23,416.59,short,wfq
1765685280261,328,51200,382.91,438.12,short,wfq
1765685280560,332,51200,382.91,446.12,short,wfq
1765685280599,336,51200,358.82,422.90,short,wfq
1765685280602,340,51200,358.69,422.76,short,wfq
1765685280620,344,51200,358.60,422.63,short,wfq
1765685280903,348,51200,343.16,413.81,short,wfq
1765685280982,360,51200,343.50,411.47,short,wfq
1765685280986,352,51200,365.35,435.92,short,wfq
1765685281294,364,51200,369.08,425.69,short,wfq
1765685281328,368,51200,345.94,402.79,short,wfq
1765685281357,372,51200,370.21,428.25,short,wfq
1765685281637,376,51200,343.16,404.88,short,wfq
1765685281693,380,51200,363.67,430.74,short,wfq
1765685281751,384,51200,394.60,460.20,short,wfq
1765685282006,388,51200,345.94,417.98,short,wfq
1765685282060,392,51200,366.33,435.79,short,wfq
1765685282063,396,51200,344.42,396.04,short,wfq
1765685282388,404,51200,328.03,385.65,short,wfq
1765685282412,408,51200,328.20,387.18,short,wfq
1765685282526,44,575488,6851.68,6918.58,medium,wfq
1765685282747,416,51200,315.35,381.12,short,wfq
1765685284278,252,575488,5678.79,5752.99,medium,wfq
1765685284576,428,51200,297.11,355.21,short,wfq
1765685284890,432,51200,312.75,377.21,short,wfq
1765685284933,300,575488,5494.52,5565.32,medium,wfq
1765685285202,436,51200,312.63,361.72,short,wfq
1765685285247,440,51200,313.82,365.48,short,wfq
1765685285550,444,51200,327.94,387.28,short,wfq
1765685285571,448,51200,303.60,365.43,short,wfq
1765685285884,456,51200,297.34,361.52,short,wfq
1765685285920,356,575488,5296.36,5366.84,medium,wfq
1765685286177,460,51200,293.37,343.69,short,wfq
1765685286235,464,51200,313.75,366.65,short,wfq
1765685286494,468,51200,315.22,371.90,short,wfq
1765685286550,472,51200,315.34,373.24,short,wfq
1765685286800,476,51200,306.17,370.58,short,wfq
1765685286839,480,51200,288.16,352.50,short,wfq
1765685287050,400,575488,5021.01,5081.31,medium,wfq
1765685287122,484,51200,321.81,368.09,short,wfq
1765685287158,488,51200,301.06,350.15,short,wfq
1765685287378,492,51200,327.85,382.11,short,wfq
1765685287450,496,51200,327.76,384.54,short,wfq
1765685287478,412,575488,5069.51,5135.29,medium,wfq
1765685287483,500,51200,304.96,364.14,short,wfq
1765685287698,504,51200,320.38,380.76,short,wfq
1765685287771,508,51200,321.70,384.77,short,wfq
1765685287774,424,575488,5027.13,5073.57,medium,wfq
1765685287824,512,51200,346.02,411.69,short,wfq
1765685287828,516,51200,324.09,389.84,short,wfq
1765685288078,520,51200,289.52,428.22,short,wfq
1765685288130,528,51200,340.67,408.96,short,wfq
1765685288134,524,51200,359.91,428.13,short,wfq
1765685288186,532,51200,362.48,414.15,short,wfq
1765685288190,536,51200,339.55,392.34,short,wfq
1765685288467,540,51200,367.60,426.96,short,wfq
1765685288476,544,51200,342.05,401.25,short,wfq
