time_ms,stream_id,bytes,sct_ms,class,scheduler
1765522834011,52,51200,1926.83,short,wfq
1765522834158,112,51200,2071.95,short,wfq
1765522834158,120,51200,2068.35,short,wfq
1765522834165,144,51200,2067.24,short,wfq
1765522834172,68,51200,1891.72,short,wfq
1765522834175,104,51200,1890.09,short,wfq
1765522834177,136,51200,2063.87,short,wfq
1765522834181,8,51200,2056.62,short,wfq
1765522834192,20,51200,2057.00,short,wfq
1765522834196,28,51200,2052.14,short,wfq
1765522834213,44,51200,2047.14,short,wfq
1765522834231,48,51200,2061.16,short,wfq
1765522834239,60,51200,2054.82,short,wfq
1765522834246,72,51200,2057.09,short,wfq
1765522834248,64,51200,2055.44,short,wfq
1765522834253,76,51200,2056.72,short,wfq
1765522834269,80,51200,2069.04,short,wfq
1765522834270,84,51200,2060.28,short,wfq
1765522834281,92,51200,2062.13,short,wfq
1765522834285,108,51200,2057.15,short,wfq
1765522834295,128,51200,2058.24,short,wfq
1765522834295,132,51200,2054.51,short,wfq
1765522834313,152,51200,2060.86,short,wfq
1765522834321,156,51200,2063.85,short,wfq
1765522834373,24,51200,2232.16,short,wfq
1765522834382,32,51200,2233.92,short,wfq
1765522834450,88,51200,2235.57,short,wfq
1765522834464,124,51200,2231.13,short,wfq
1765522835337,140,51200,3235.27,short,wfq
1765522836111,160,51200,1952.67,short,wfq
1765522836114,168,51200,1949.11,short,wfq
1765522836129,176,51200,1951.80,short,wfq
1765522836134,180,51200,1951.61,short,wfq
1765522836146,188,51200,1949.20,short,wfq
1765522836158,192,51200,1945.19,short,wfq
1765522836180,200,51200,1931.09,short,wfq
1765522836189,204,51200,1933.93,short,wfq
1765522836218,220,51200,1923.43,short,wfq
1765522836223,224,51200,1924.76,short,wfq
1765522836228,228,51200,1915.63,short,wfq
1765522836230,232,51200,1913.60,short,wfq
1765522836260,240,51200,1921.26,short,wfq
1765522836292,244,51200,1918.98,short,wfq
1765522836294,248,51200,1912.06,short,wfq
1765522836310,252,51200,1906.02,short,wfq
1765522836324,196,51200,2084.53,short,wfq
1765522836328,256,51200,1908.33,short,wfq
1765522836339,260,51200,1908.63,short,wfq
1765522836348,264,51200,1898.17,short,wfq
1765522836357,216,51200,2072.02,short,wfq
1765522836364,268,51200,1897.89,short,wfq
1765522836391,208,51200,2120.48,short,wfq
1765522837224,272,51200,1884.79,short,wfq
1765522837988,0,51200,5904.96,short,wfq
1765522838004,276,51200,1890.45,short,wfq
1765522838013,280,51200,1883.65,short,wfq
1765522838027,16,51200,5892.65,short,wfq
1765522838063,284,51200,1904.35,short,wfq
1765522838125,296,51200,1901.58,short,wfq
1765522838138,304,51200,1902.76,short,wfq
1765522838159,308,51200,1898.35,short,wfq
1765522838166,312,51200,1892.64,short,wfq
1765522838187,316,51200,1904.25,short,wfq
1765522838191,320,51200,1897.34,short,wfq
1765522838204,324,51200,1894.47,short,wfq
1765522838224,328,51200,1899.62,short,wfq
1765522838225,288,51200,2045.21,short,wfq
1765522838233,292,51200,2043.71,short,wfq
1765522838237,332,51200,1894.59,short,wfq
1765522838241,336,51200,1893.15,short,wfq
1765522838251,340,51200,1894.60,short,wfq
1765522838256,344,51200,1895.22,short,wfq
1765522838262,348,51200,1897.78,short,wfq
1765522838267,352,51200,1895.26,short,wfq
1765522838270,300,51200,2039.60,short,wfq
1765522838283,96,51200,6181.58,short,wfq
1765522838317,356,51200,1891.15,short,wfq
1765522838343,360,51200,1883.79,short,wfq
1765522838360,364,51200,1884.42,short,wfq
1765522838376,116,51200,6144.84,short,wfq
1765522838685,148,51200,6433.89,short,wfq
1765522840010,376,51200,2005.62,short,wfq
1765522840022,380,51200,2005.25,short,wfq
1765522840033,384,51200,2006.32,short,wfq
1765522840136,392,51200,1994.12,short,wfq
1765522840136,372,51200,2147.11,short,wfq
1765522840161,400,51200,1995.06,short,wfq
1765522840178,404,51200,1990.52,short,wfq
1765522840183,408,51200,1991.97,short,wfq
1765522840197,416,51200,1991.51,short,wfq
1765522840230,424,51200,1997.14,short,wfq
1765522840238,432,51200,1996.84,short,wfq
1765522840238,428,51200,2000.75,short,wfq
1765522840256,436,51200,2004.23,short,wfq
1765522840258,440,51200,2001.94,short,wfq
1765522840270,388,51200,2144.76,short,wfq
1765522840281,444,51200,2011.17,short,wfq
1765522840310,396,51200,2150.50,short,wfq
1765522840367,452,51200,2024.14,short,wfq
1765522840382,420,51200,2156.30,short,wfq
1765522840404,460,51200,2028.21,short,wfq
1765522840418,464,51200,2029.01,short,wfq
1765522840426,468,51200,2029.70,short,wfq
1765522840446,448,51200,2163.05,short,wfq
1765522840483,472,51200,2033.56,short,wfq
1765522840510,456,51200,2159.13,short,wfq
1765522840558,480,51200,2034.47,short,wfq
1765522841977,484,51200,1967.21,short,wfq
1765522841985,488,51200,1963.05,short,wfq
1765522842008,492,51200,1971.15,short,wfq
1765522842124,496,51200,1987.77,short,wfq
1765522842124,500,51200,1984.20,short,wfq
1765522842152,504,51200,1988.94,short,wfq
1765522842173,508,51200,1995.16,short,wfq
1765522842173,512,51200,1989.95,short,wfq
1765522842217,516,51200,1987.13,short,wfq
1765522842255,532,51200,1974.33,short,wfq
1765522842286,536,51200,1973.30,short,wfq
1765522842347,548,51200,1964.89,short,wfq
1765522842349,552,51200,1959.93,short,wfq
1765522842358,520,51200,2119.70,short,wfq
1765522842378,528,51200,2107.80,short,wfq
1765522842379,564,51200,1952.24,short,wfq
1765522842399,568,51200,1953.44,short,wfq
1765522842434,572,51200,1949.43,short,wfq
1765522842450,544,51200,2083.39,short,wfq
1765522842458,576,51200,1940.62,short,wfq
1765522842481,580,51200,1936.24,short,wfq
1765522842486,556,51200,2081.89,short,wfq
1765522842493,560,51200,2074.63,short,wfq
1765522842497,524,51200,2238.96,short,wfq
1765522842624,584,51200,1936.63,short,wfq
1765522843880,588,51200,1901.17,short,wfq
1765522843911,592,51200,1901.94,short,wfq
1765522844021,600,51200,1880.69,short,wfq
1765522844029,604,51200,1875.79,short,wfq
1765522844048,608,51200,1874.38,short,wfq
1765522844089,612,51200,1870.59,short,wfq
1765522844125,616,51200,1869.23,short,wfq
1765522844125,620,51200,1862.86,short,wfq
1765522844135,596,51200,2011.17,short,wfq
1765522844152,624,51200,1864.12,short,wfq
1765522844163,628,51200,1858.69,short,wfq
1765522844222,632,51200,1864.68,short,wfq
1765522844245,640,51200,1866.45,short,wfq
1765522844318,644,51200,1867.79,short,wfq
1765522844327,648,51200,1864.92,short,wfq
1765522844333,652,51200,1867.10,short,wfq
1765522844345,656,51200,1864.09,short,wfq
1765522844365,664,51200,1871.74,short,wfq
1765522844371,668,51200,1874.30,short,wfq
1765522844400,672,51200,1877.63,short,wfq
1765522844469,680,51200,1890.43,short,wfq
1765522844512,660,51200,2025.74,short,wfq
1765522845800,692,51200,1888.59,short,wfq
1765522845904,700,51200,1875.31,short,wfq
1765522846006,712,51200,1876.10,short,wfq
1765522846046,720,51200,1883.28,short,wfq
1765522846057,704,51200,2008.87,short,wfq
1765522846140,708,51200,2015.28,short,wfq
1765522846152,716,51200,2017.33,short,wfq
1765522846167,736,51200,1895.84,short,wfq
1765522846219,740,51200,1899.47,short,wfq
1765522846234,724,51200,2022.43,short,wfq
1765522846242,748,51200,1896.64,short,wfq
1765522846242,728,51200,2018.60,short,wfq
1765522846256,752,51200,1891.78,short,wfq
1765522846260,756,51200,1888.77,short,wfq
1765522846283,760,51200,1882.78,short,wfq
1765522846343,744,51200,2015.78,short,wfq
1765522846348,768,51200,1861.09,short,wfq
1765522846369,772,51200,1856.45,short,wfq
1765522846454,764,51200,1982.78,short,wfq
1765522847668,776,51200,1763.61,short,wfq
1765522847764,784,51200,1758.20,short,wfq
1765522847866,780,51200,1949.07,short,wfq
1765522847907,800,51200,1753.16,short,wfq
1765522847922,804,51200,1751.24,short,wfq
1765522847942,792,51200,1885.55,short,wfq
1765522847984,812,51200,1749.98,short,wfq
1765522847997,816,51200,1754.52,short,wfq
1765522847999,820,51200,1752.62,short,wfq
1765522848013,824,51200,1752.88,short,wfq
1765522848020,796,51200,1880.22,short,wfq
1765522848036,828,51200,1750.38,short,wfq
1765522848094,808,51200,1875.29,short,wfq
1765522848102,832,51200,1758.96,short,wfq
1765522848106,836,51200,1755.21,short,wfq
1765522848129,840,51200,1760.19,short,wfq
1765522848129,844,51200,1756.32,short,wfq
1765522848211,848,51200,1756.38,short,wfq
1765522849521,852,51200,1756.79,short,wfq
1765522849544,856,51200,1747.27,short,wfq
1765522849567,860,51200,1761.63,short,wfq
1765522849666,864,51200,1758.53,short,wfq
1765522849677,868,51200,1754.00,short,wfq
1765522849697,872,51200,1755.10,short,wfq
1765522849738,876,51200,1753.72,short,wfq
1765522849754,880,51200,1754.05,short,wfq
1765522849775,884,51200,1753.28,short,wfq
