time_ms,stream_id,bytes,sct_ms,class,scheduler
1765522029771,12,3767,38.53,short,drr
1765522029796,40,3662,38.09,short,drr
1765522029816,36,7262,76.76,short,drr
1765522029896,28,7890,158.85,short,drr
1765522029931,68,4144,41.55,short,drr
1765522030001,8,15638,269.86,short,drr
1765522030018,56,8128,20.25,short,drr
1765522030020,0,33134,302.74,short,drr
1765522030021,20,15806,286.39,short,drr
1765522030026,16,24493,292.63,short,drr
1765522030049,60,15988,194.86,short,drr
1765522030070,4,28297,340.73,short,drr
1765522030080,48,24168,275.54,short,drr
1765522030128,44,26275,328.44,short,drr
1765522030202,64,27940,317.11,short,drr
1765522030213,84,13253,141.47,short,drr
1765522030302,96,9978,101.24,short,drr
1765522030313,76,30869,340.03,short,drr
1765522030357,92,23774,241.45,short,drr
1765522030376,88,27993,294.41,short,drr
1765522030441,116,6998,62.99,short,drr
1765522030576,112,20362,216.37,short,drr
1765522030624,24,82536,888.41,short,drr
1765522030737,100,51025,533.61,short,drr
1765522030757,108,41995,443.74,short,drr
1765522030790,128,15855,164.25,short,drr
1765522030809,136,5128,50.43,short,drr
1765522030835,144,2675,25.22,short,drr
1765522030911,80,84662,904.23,short,drr
1765522030925,104,59179,622.36,short,drr
1765522030946,72,93976,949.99,short,drr
1765522030953,156,2696,26.68,short,drr
1765522030962,152,6027,63.49,short,drr
1765522031051,164,10578,100.49,short,drr
1765522031073,124,47598,506.75,short,drr
1765522031092,168,13661,138.48,short,drr
1765522031175,176,9502,101.74,short,drr
1765522031181,148,32970,342.92,short,drr
1765522031202,184,3404,26.46,short,drr
1765522031229,192,2817,25.41,short,drr
1765522031285,188,9669,103.04,short,drr
1765522031318,120,81697,877.59,short,drr
1765522031336,172,26399,283.51,short,drr
1765522031468,132,68702,729.51,short,drr
1765522031495,212,2557,26.33,short,drr
1765522031510,160,53573,563.23,short,drr
1765522031603,204,27191,283.79,short,drr
1765522031823,208,47083,499.84,short,drr
1765522032000,224,37967,396.68,short,drr
1765522032098,228,23481,275.26,short,drr
1765522032537,232,50668,535.80,short,drr
1765522032719,200,138533,1446.44,medium,drr
1765522032809,244,9198,89.27,short,drr
1765522032973,240,40953,434.24,short,drr
1765522033000,252,2981,25.62,short,drr
1765522033049,256,5188,49.67,short,drr
1765522033088,260,4022,36.97,short,drr
1765522033204,248,36987,393.33,short,drr
1765522033270,268,7189,77.79,short,drr
1765522033379,32,345881,3640.41,medium,drr
1765522033883,272,59204,625.29,short,drr
1765522033927,276,52203,547.22,short,drr
1765522034050,264,89477,959.76,short,drr
1765522034098,280,20539,215.59,short,drr
1765522034164,288,13026,123.86,short,drr
1765522034216,296,5680,51.06,short,drr
1765522034372,284,42415,444.50,short,drr
1765522034458,300,22888,242.54,short,drr
1765522034698,292,57016,598.01,short,drr
1765522034774,312,6876,76.52,short,drr
1765522034985,304,58350,611.73,short,drr
1765522035084,308,59447,624.33,short,drr
1765522035099,320,11775,113.35,short,drr
1765522035177,328,7362,76.75,short,drr
1765522035222,316,41776,447.25,short,drr
1765522035358,332,18099,193.69,short,drr
1765522035390,336,16894,180.86,short,drr
1765522035413,340,6203,65.88,short,drr
1765522035432,344,4970,53.50,short,drr
1765522035439,348,3737,39.44,short,drr
1765522035577,324,45464,491.30,short,drr
1765522035616,360,4810,52.24,short,drr
1765522035643,364,3640,39.49,short,drr
1765522035820,352,37091,399.76,short,drr
1765522035848,372,3709,39.45,short,drr
1765522036071,52,592989,6255.61,medium,drr
1765522036088,368,43597,458.19,short,drr
1765522036109,380,4254,36.84,short,drr
1765522036114,384,3481,24.19,short,drr
1765522036132,356,64824,691.24,short,drr
1765522036281,376,41465,443.96,short,drr
1765522036341,388,22244,231.84,short,drr
1765522036410,400,13189,141.98,short,drr
1765522036508,404,16004,167.60,short,drr
1765522036539,392,39870,424.90,short,drr
1765522036562,412,4789,52.07,short,drr
1765522036652,420,9553,102.23,short,drr
1765522036907,424,25457,267.30,short,drr
1765522036997,428,9239,88.97,short,drr
1765522037162,408,71978,764.67,short,drr
1765522037200,436,3400,38.20,short,drr
1765522037367,440,15856,165.88,short,drr
1765522037419,444,5650,50.98,short,drr
1765522037454,432,43170,456.96,short,drr
1765522037492,452,3687,38.09,short,drr
1765522037532,456,4094,38.26,short,drr
