time_ms,stream_id,bytes,sct_ms,class,scheduler
1765520018334,0,51200,992.79,short,drr
1765520018340,60,51200,994.18,short,drr
1765520018345,12,51200,995.40,short,drr
1765520018357,44,51200,1000.59,short,drr
1765520018405,28,51200,1051.88,short,drr
1765520018409,40,51200,1053.31,short,drr
1765520018420,76,51200,1075.72,short,drr
1765520018424,36,51200,1076.90,short,drr
1765520018446,68,51200,1103.24,short,drr
1765520018477,4,51200,1128.45,short,drr
1765520018485,52,51200,1110.09,short,drr
1765520018510,24,51200,1136.54,short,drr
1765520018517,32,51200,1162.35,short,drr
1765520018523,56,51200,1163.84,short,drr
1765520019407,80,51200,1071.57,short,drr
1765520019411,84,51200,1070.34,short,drr
1765520019430,92,51200,1070.26,short,drr
1765520019445,88,51200,1097.96,short,drr
1765520019478,96,51200,1071.71,short,drr
1765520019482,100,51200,1071.88,short,drr
1765520019493,104,51200,1070.41,short,drr
1765520019497,108,51200,1070.63,short,drr
1765520019520,112,51200,1071.72,short,drr
1765520019550,116,51200,1070.62,short,drr
1765520019560,120,51200,1071.99,short,drr
1765520019584,124,51200,1072.12,short,drr
1765520019594,132,51200,1070.18,short,drr
1765520019615,128,51200,1097.26,short,drr
1765520020483,136,51200,1075.51,short,drr
1765520020488,140,51200,1074.31,short,drr
1765520020509,144,51200,1075.92,short,drr
1765520020524,148,51200,1075.63,short,drr
1765520020555,152,51200,1074.50,short,drr
1765520020560,156,51200,1075.73,short,drr
1765520020571,160,51200,1075.65,short,drr
1765520020574,164,51200,1074.47,short,drr
1765520020635,176,51200,1073.45,short,drr
1765520020659,180,51200,1072.14,short,drr
1765520020666,184,51200,1070.94,short,drr
1765520020690,188,51200,1072.02,short,drr
1765520021559,192,51200,1073.35,short,drr
1765520021563,196,51200,1073.34,short,drr
1765520021598,204,51200,1072.21,short,drr
1765520021610,200,51200,1099.85,short,drr
1765520021627,208,51200,1070.88,short,drr
1765520021635,212,51200,1072.15,short,drr
1765520021644,216,51200,1070.95,short,drr
1765520021649,220,51200,1072.25,short,drr
1765520021709,224,51200,1072.23,short,drr
1765520021732,228,51200,1072.22,short,drr
1765520021741,232,51200,1073.51,short,drr
1765520021766,236,51200,1073.58,short,drr
1765520022636,240,51200,1074.51,short,drr
1765520022638,244,51200,1072.00,short,drr
1765520022701,248,51200,1099.87,short,drr
1765520022703,256,51200,1074.63,short,drr
1765520022710,260,51200,1073.42,short,drr
1765520022721,264,51200,1074.69,short,drr
1765520022723,268,51200,1073.50,short,drr
1765520022785,272,51200,1074.89,short,drr
1765520022808,276,51200,1074.74,short,drr
1765520022840,284,51200,1072.35,short,drr
1765520023712,292,51200,1072.00,short,drr
1765520023737,288,51200,1098.54,short,drr
1765520023749,296,51200,1073.29,short,drr
1765520023778,300,51200,1073.30,short,drr
1765520023784,304,51200,1073.44,short,drr
1765520023796,308,51200,1070.92,short,drr
1765520023799,312,51200,1073.44,short,drr
1765520023883,320,51200,1072.42,short,drr
1765520023914,324,51200,1072.47,short,drr
1765520024823,336,51200,1072.79,short,drr
1765520024839,332,51200,1100.09,short,drr
1765520024854,340,51200,1073.41,short,drr
1765520024861,344,51200,1073.36,short,drr
1765520024872,348,51200,1073.38,short,drr
1765520024875,352,51200,1073.51,short,drr
1765520024988,360,51200,1072.29,short,drr
1765520025896,364,51200,1072.11,short,drr
1765520025912,368,51200,1072.29,short,drr
1765520025934,376,51200,1071.03,short,drr
1765520025945,380,51200,1071.08,short,drr
1765520025949,384,51200,1070.92,short,drr
1765520025958,372,51200,1101.45,short,drr
1765520026062,388,51200,1072.64,short,drr
1765520026972,392,51200,1074.84,short,drr
1765520026990,396,51200,1074.87,short,drr
1765520027024,408,51200,1072.57,short,drr
1765520027032,412,51200,1073.01,short,drr
1765520027138,416,51200,1072.58,short,drr
1765520028047,420,51200,1072.28,short,drr
1765520028089,424,51200,1097.79,short,drr
1765520028099,428,51200,1072.37,short,drr
1765520028105,432,51200,1072.32,short,drr
1765520028211,436,51200,1072.54,short,drr
1765520029121,440,51200,1072.49,short,drr
1765520029164,444,51200,1073.78,short,drr
1765520029176,448,51200,1073.92,short,drr
1765520029287,456,51200,1072.92,short,drr
1765520029504,72,575488,12131.32,medium,drr
1765520030250,468,51200,1071.63,short,drr
1765520030266,464,51200,1099.68,short,drr
1765520030578,476,51200,1072.95,short,drr
1765520031342,484,51200,1072.76,short,drr
1765520031594,168,575488,12072.70,medium,drr
1765520031652,488,51200,1071.53,short,drr
1765520032416,492,51200,1072.60,short,drr
1765520032752,500,51200,1096.91,short,drr
1765520033492,504,51200,1073.19,short,drr
1765520033662,252,575488,12049.93,medium,drr
1765520033808,280,575488,12064.43,medium,drr
1765520034564,512,51200,1070.85,short,drr
1765520034735,516,51200,1070.40,short,drr
1765520034882,520,51200,1072.59,short,drr
1765520035639,524,51200,1072.69,short,drr
1765520035809,528,51200,1072.60,short,drr
1765520035957,532,51200,1072.59,short,drr
1765520036713,536,51200,1071.33,short,drr
1765520036883,540,51200,1072.52,short,drr
1765520037031,544,51200,1072.51,short,drr
1765520037787,548,51200,1071.27,short,drr
1765520037958,552,51200,1072.65,short,drr
1765520038105,556,51200,1072.72,short,drr
1765520038860,560,51200,1071.42,short,drr
1765520039031,564,51200,1071.41,short,drr
1765520039203,568,51200,1097.00,short,drr
1765520039933,572,51200,1072.61,short,drr
1765520040105,576,51200,1072.97,short,drr
1765520040147,452,575488,12038.85,medium,drr
1765520040278,580,51200,1072.39,short,drr
1765520041007,584,51200,1072.43,short,drr
