time_ms,stream_id,bytes,sct_ms,class,scheduler
1764561203512,4,3741,0.00,short,drr
1764561203512,8,3753,0.00,short,drr
1764561203555,24,3985,41.00,short,drr
1764561203580,48,5929,24.00,short,drr
1764561203585,44,10237,62.00,short,drr
1764561203594,40,11740,81.00,short,drr
1764561203597,52,4505,16.00,short,drr
1764561203606,36,15531,92.00,short,drr
1764561203655,56,30080,69.00,short,drr
1764561203657,20,41069,143.00,short,drr
1764561203659,12,41934,145.00,short,drr
1764561203666,72,6824,10.00,short,drr
1764561203673,0,54325,160.00,short,drr
1764561203675,32,52133,161.00,short,drr
1764561203738,92,4744,62.00,short,drr
1764561203818,88,43700,145.00,short,drr
1764561203819,96,43330,136.00,short,drr
1764561203821,116,5070,14.00,short,drr
1764561203825,76,68491,168.00,short,drr
1764561203825,124,2948,4.00,short,drr
1764561203836,128,6065,10.00,short,drr
1764561203839,84,79806,172.00,short,drr
1764561203854,112,17744,59.00,short,drr
1764561203855,108,29477,129.00,short,drr
1764561203859,120,23511,42.00,short,drr
1764561203948,132,63782,113.00,short,drr
1764561203958,136,55043,98.00,short,drr
1764561203967,144,5120,10.00,short,drr
1764561203978,148,6931,10.00,short,drr
1764561204024,152,24767,46.00,short,drr
1764561204092,28,276693,578.00,medium,drr
1764561204105,160,6670,12.00,short,drr
1764561204122,140,88656,173.00,short,drr
1764561204126,168,2188,4.00,short,drr
1764561204171,172,24784,45.00,short,drr
1764561204206,164,53520,100.00,short,drr
1764561204251,180,24136,44.00,short,drr
1764561204258,184,4028,7.00,short,drr
1764561204275,176,55283,103.00,short,drr
1764561204304,192,16667,29.00,short,drr
1764561204358,196,29013,53.00,short,drr
1764561204369,200,6111,11.00,short,drr
1764561204499,204,72263,130.00,short,drr
1764561204508,208,5017,8.00,short,drr
1764561204511,212,2626,5.00,short,drr
1764561204513,216,2669,4.00,short,drr
1764561204528,220,8600,14.00,short,drr
1764561204572,156,291159,547.00,medium,drr
1764561204585,100,451247,871.00,medium,drr
1764561204594,232,4785,9.00,short,drr
1764561204616,236,13352,24.00,short,drr
1764561204639,224,61348,111.00,short,drr
1764561204645,244,3874,6.00,short,drr
1764561204667,248,12876,21.00,short,drr
1764561204677,252,5616,10.00,short,drr
1764561204716,240,57868,103.00,short,drr
1764561204745,104,544988,1025.00,medium,drr
1764561204785,64,647472,1187.00,medium,drr
1764561204792,268,4491,6.00,short,drr
1764561204801,256,69473,123.00,short,drr
1764561204812,272,11795,20.00,short,drr
1764561204827,276,14547,25.00,short,drr
1764561204829,284,2393,4.00,short,drr
1764561204833,288,4005,5.00,short,drr
1764561204838,292,3319,4.00,short,drr
1764561204899,264,87456,154.00,short,drr
1764561204908,280,54159,95.00,short,drr
1764561204909,300,6519,10.00,short,drr
1764561204919,308,6340,9.00,short,drr
1764561204924,312,2424,3.00,short,drr
1764561204954,296,65566,115.00,short,drr
1764561204974,320,13539,22.00,short,drr
1764561204995,324,10466,21.00,short,drr
1764561205000,260,158875,283.00,medium,drr
1764561205001,328,2984,5.00,short,drr
1764561205008,228,244057,436.00,medium,drr
1764561205043,304,75628,135.00,short,drr
1764561205049,340,23943,41.00,short,drr
1764561205058,348,6317,10.00,short,drr
1764561205092,344,29692,48.00,short,drr
1764561205100,352,25141,42.00,short,drr
1764561205107,360,4307,6.00,short,drr
1764561205132,336,76658,131.00,short,drr
1764561205158,332,92815,157.00,short,drr
1764561205214,356,71737,121.00,short,drr
1764561205231,372,43504,72.00,short,drr
1764561205236,364,76770,129.00,short,drr
1764561205251,380,12551,20.00,short,drr
1764561205275,368,83169,142.00,short,drr
1764561205296,388,26443,44.00,short,drr
1764561205304,396,4995,8.00,short,drr
1764561205318,392,26499,42.00,short,drr
1764561205344,68,975006,1739.00,medium,drr
1764561205441,16,1079309,1927.00,long,drr
1764561205503,376,224994,288.00,medium,drr
1764561205524,60,1152650,1930.00,long,drr
1764561205643,80,1302838,1985.00,long,drr
1764561205724,316,751856,801.00,medium,drr
1764561205755,384,663355,517.00,medium,drr
1764561205797,188,1459634,1538.00,long,drr
