time_ms,stream_id,bytes,sct_ms,class,scheduler
1765385172665,0,6185,5.00,short,drr
1765385172713,72,2386,39.00,short,drr
1765385172721,12,2137,54.00,short,drr
1765385172756,44,3888,90.00,short,drr
1765385172764,88,2107,42.00,short,drr
1765385172853,20,5640,186.00,short,drr
1765385172953,4,6733,286.00,short,drr
1765385172962,36,12953,295.00,short,drr
1765385172963,28,11429,296.00,short,drr
1765385173025,112,8298,172.00,short,drr
1765385173028,100,13330,253.00,short,drr
1765385173061,108,11437,226.00,short,drr
1765385173093,64,15535,419.00,short,drr
1765385173100,104,15383,325.00,short,drr
1765385173115,124,2449,52.00,short,drr
1765385173170,68,23372,496.00,short,drr
1765385173175,52,20455,508.00,short,drr
1765385173298,128,11465,231.00,short,drr
1765385173303,60,29858,636.00,short,drr
1765385173310,116,13329,284.00,short,drr
1765385173519,32,40061,852.00,short,drr
1765385173549,40,43779,883.00,short,drr
1765385173585,136,22921,484.00,short,drr
1765385173623,160,6798,126.00,short,drr
1765385173658,148,18773,382.00,short,drr
1765385173751,56,50437,1084.00,short,drr
1765385173770,120,35148,740.00,short,drr
1765385173800,172,8851,177.00,short,drr
1765385173828,180,3583,77.00,short,drr
1765385173879,192,2107,50.00,short,drr
1765385173909,84,54755,1194.00,short,drr
1765385173925,200,2323,26.00,short,drr
1765385173931,196,2950,51.00,short,drr
1765385173979,208,2463,51.00,short,drr
1765385173993,184,6505,222.00,short,drr
1765385174046,8,64291,1380.00,short,drr
1765385174062,212,6816,128.00,short,drr
1765385174145,144,46272,969.00,short,drr
1765385174166,204,13050,256.00,short,drr
1765385174170,176,24264,511.00,short,drr
1765385174175,80,72553,1501.00,short,drr
1765385174277,220,10205,227.00,short,drr
1765385174296,232,6251,126.00,short,drr
1765385174319,140,53988,1148.00,short,drr
1765385174370,252,3366,50.00,short,drr
1765385174407,244,5985,129.00,short,drr
1765385174426,248,6166,129.00,short,drr
1765385174478,264,4031,75.00,short,drr
1765385174564,48,85794,1898.00,short,drr
1765385174630,268,7455,152.00,short,drr
1765385174652,96,85344,1887.00,short,drr
1765385174698,164,53743,1148.00,short,drr
1765385174715,152,67551,1427.00,short,drr
1765385174720,272,7389,154.00,short,drr
1765385174752,284,3770,78.00,short,drr
1765385174764,240,28602,587.00,short,drr
1765385174768,292,2339,52.00,short,drr
1765385174773,288,3679,78.00,short,drr
1765385174817,300,3562,50.00,short,drr
1765385174834,76,101636,2160.00,short,drr
1765385174866,276,11548,234.00,short,drr
1765385174873,92,98802,2108.00,short,drr
1765385174952,188,54760,1150.00,short,drr
1765385174954,132,87947,1862.00,short,drr
1765385175007,224,44483,945.00,short,drr
1765385175055,324,8545,180.00,short,drr
1765385175060,332,4981,104.00,short,drr
1765385175085,328,5246,131.00,short,drr
1765385175109,340,3726,79.00,short,drr
1765385175112,344,3888,78.00,short,drr
1765385175175,168,74710,1589.00,short,drr
1765385175225,320,16631,358.00,short,drr
1765385175235,308,22240,460.00,short,drr
1765385175311,352,10295,226.00,short,drr
1765385175331,312,24252,510.00,short,drr
1765385175335,216,64777,1380.00,short,drr
1765385175345,316,24767,511.00,short,drr
1765385175455,260,50893,1074.00,short,drr
1765385175488,372,9080,177.00,short,drr
1765385175551,236,64622,1379.00,short,drr
1765385175555,364,16220,329.00,short,drr
1765385175652,256,60565,1279.00,short,drr
1765385175709,16,145363,3042.00,medium,drr
1765385175724,336,33394,715.00,short,drr
1765385175729,404,3108,77.00,short,drr
1765385175854,416,6762,125.00,short,drr
1765385175863,304,50688,1094.00,short,drr
1765385175953,280,61610,1301.00,short,drr
1765385176005,420,5567,150.00,short,drr
1765385176015,376,32011,682.00,short,drr
1765385176033,396,23420,480.00,short,drr
1765385176046,392,26800,557.00,short,drr
1765385176053,408,17056,352.00,short,drr
1765385176170,380,40152,835.00,short,drr
1765385176222,452,2736,50.00,short,drr
1765385176289,440,11956,253.00,short,drr
1765385176389,360,57936,1213.00,short,drr
1765385176409,448,17535,354.00,short,drr
1765385176452,456,11099,228.00,short,drr
1765385176467,460,10391,201.00,short,drr
1765385176480,296,83098,1752.00,short,drr
1765385176523,436,24117,506.00,short,drr
1765385176571,388,53028,1114.00,short,drr
1765385176581,356,69068,1468.00,short,drr
1765385176709,492,6249,126.00,short,drr
1765385176792,432,38814,811.00,short,drr
1765385176831,348,83063,1772.00,short,drr
1765385176835,480,16865,354.00,short,drr
1765385176843,500,2270,50.00,short,drr
1765385176858,504,2380,25.00,short,drr
1765385176864,384,72642,1519.00,short,drr
1765385176907,484,18083,383.00,short,drr
1765385176916,496,10480,204.00,short,drr
1765385176958,524,3632,75.00,short,drr
1765385176998,468,27530,587.00,short,drr
1765385177074,428,52538,1119.00,short,drr
1765385177078,512,11215,233.00,short,drr
1765385177080,400,71330,1523.00,short,drr
1765385177167,532,10843,231.00,short,drr
1765385177362,548,12730,281.00,short,drr
1765385177421,444,64329,1373.00,short,drr
1765385177468,488,42057,895.00,short,drr
1765385177514,556,8070,152.00,short,drr
1765385177533,536,27335,560.00,short,drr
1765385177575,560,8258,153.00,short,drr
1765385177621,568,5025,105.00,short,drr
1765385177654,576,4580,77.00,short,drr
1765385177692,572,7661,156.00,short,drr
1765385177700,580,5007,103.00,short,drr
1765385177728,564,12312,259.00,short,drr
1765385177767,520,41746,900.00,short,drr
1765385177801,412,98462,2091.00,short,drr
1765385177809,584,7192,155.00,short,drr
1765385177856,596,6240,128.00,short,drr
1765385177884,552,33053,741.00,short,drr
1765385177934,612,3767,76.00,short,drr
1765385177982,588,13346,306.00,short,drr
1765385178029,476,72725,1562.00,short,drr
1765385178073,528,53816,1156.00,short,drr
1765385178140,624,9649,207.00,short,drr
1765385178153,600,19247,411.00,short,drr
1765385178315,628,13695,284.00,short,drr
1765385178333,540,60113,1282.00,short,drr
1765385178374,608,27422,563.00,short,drr
1765385178419,644,4554,104.00,short,drr
1765385178428,652,3038,52.00,short,drr
1765385178441,544,63181,1363.00,short,drr
1765385178464,648,6330,130.00,short,drr
1765385178497,660,4086,76.00,short,drr
1765385178530,664,4739,102.00,short,drr
1765385178541,668,4424,76.00,short,drr
1765385178575,672,4258,77.00,short,drr
1765385178622,656,10409,206.00,short,drr
1765385178697,680,7568,154.00,short,drr
1765385178775,692,4254,76.00,short,drr
1765385178850,688,10242,228.00,short,drr
1765385179005,696,10775,228.00,short,drr
1765385179073,632,48484,1026.00,short,drr
1765385179412,700,26550,560.00,short,drr
