time_ms,stream_id,bytes,sct_ms,class,scheduler
1765523490103,32,2206,95.90,short,rr
1765523490191,228,2203,96.01,short,rr
1765523490193,232,2095,95.14,short,rr
1765523490230,128,2681,191.62,short,rr
1765523490260,140,2624,193.86,short,rr
1765523490263,184,2855,195.12,short,rr
1765523490275,236,2622,189.74,short,rr
1765523490308,104,4354,286.59,short,rr
1765523490349,244,2653,180.97,short,rr
1765523490354,200,4656,281.84,short,rr
1765523490359,188,4889,277.17,short,rr
1765523490364,160,4039,277.26,short,rr
1765523490368,196,4811,278.31,short,rr
1765523490409,260,2467,176.91,short,rr
1765523490423,132,5282,364.25,short,rr
1765523490428,180,5060,364.60,short,rr
1765523490448,204,6060,359.50,short,rr
1765523490459,240,4098,356.43,short,rr
1765523490481,24,6966,454.58,short,rr
1765523490523,208,6748,438.46,short,rr
1765523490539,4,9676,538.67,short,rr
1765523490555,108,7559,531.90,short,rr
1765523490561,68,8408,532.11,short,rr
1765523490569,144,8269,527.46,short,rr
1765523490584,300,2877,160.07,short,rr
1765523490624,52,9339,612.10,short,rr
1765523490624,76,8881,610.67,short,rr
1765523490655,96,9477,608.23,short,rr
1765523490661,168,8574,603.82,short,rr
1765523490665,136,9441,602.42,short,rr
1765523490665,176,8831,603.66,short,rr
1765523490674,192,9582,603.75,short,rr
1765523490681,288,5063,319.92,short,rr
1765523490689,296,5993,318.61,short,rr
1765523490694,256,8514,500.11,short,rr
1765523490755,92,10438,689.97,short,rr
1765523490827,276,8052,504.64,short,rr
1765523490833,356,2172,178.71,short,rr
1765523490927,336,5777,345.52,short,rr
1765523490980,56,14405,864.66,short,rr
1765523491028,284,10273,672.79,short,rr
1765523491065,324,5999,510.29,short,rr
1765523491086,388,3741,250.56,short,rr
1765523491098,280,12166,750.92,short,rr
1765523491147,400,3222,159.90,short,rr
1765523491160,332,8691,589.88,short,rr
1765523491188,224,16820,1107.63,short,rr
1765523491198,252,14106,1007.00,short,rr
1765523491213,352,8734,586.06,short,rr
1765523491263,156,17106,1189.91,short,rr
1765523491265,408,4468,235.85,short,rr
1765523491278,372,9183,586.29,short,rr
1765523491298,396,4983,317.03,short,rr
1765523491300,272,14117,991.41,short,rr
1765523491344,268,16203,1080.30,short,rr
1765523491534,248,19995,1347.62,short,rr
1765523491548,0,26013,1549.49,short,rr
1765523491587,172,22434,1531.04,short,rr
1765523491602,368,13259,927.97,short,rr
1765523491653,48,23545,1612.95,short,rr
1765523491670,340,15577,1085.52,short,rr
1765523491676,416,8958,574.10,short,rr
1765523491752,380,13428,996.77,short,rr
1765523491806,328,18554,1243.15,short,rr
1765523491830,264,22603,1568.64,short,rr
1765523491863,348,19370,1238.14,short,rr
1765523491949,376,19576,1253.76,short,rr
1765523492009,492,4161,256.44,short,rr
1765523492024,428,12422,834.36,short,rr
1765523492062,440,12290,836.32,short,rr
1765523492076,480,6686,421.84,short,rr
1765523492096,496,5064,341.20,short,rr
1765523492183,444,12546,920.05,short,rr
1765523492198,432,14580,999.74,short,rr
1765523492312,484,10192,636.23,short,rr
1765523492315,476,10493,711.31,short,rr
1765523492361,384,21069,1534.05,short,rr
1765523492392,448,15782,1126.78,short,rr
1765523492405,452,16740,1126.80,short,rr
1765523492436,536,2269,142.20,short,rr
1765523492548,520,9296,536.06,short,rr
1765523492687,488,15254,958.09,short,rr
1765523492739,20,39828,2735.72,short,rr
1765523492778,84,40775,2734.13,short,rr
1765523492813,532,8524,614.40,short,rr
1765523492837,424,25310,1689.89,short,rr
1765523492845,72,41366,2813.22,short,rr
1765523492927,148,41155,2881.58,short,rr
1765523492952,552,8794,560.38,short,rr
1765523492988,112,43353,2964.11,short,rr
1765523493107,360,36240,2355.10,short,rr
1765523493196,12,44869,3082.90,short,rr
1765523493214,292,41421,2850.20,short,rr
1765523493261,576,7575,487.67,short,rr
1765523493311,572,9151,570.40,short,rr
1765523493343,548,15163,980.88,short,rr
1765523493366,560,12416,817.46,short,rr
1765523493367,152,47473,3298.34,short,rr
1765523493438,364,39773,2771.50,short,rr
1765523493507,164,50578,3454.60,short,rr
1765523493513,472,29505,1921.11,short,rr
1765523493517,516,22694,1506.12,short,rr
1765523493670,640,2370,157.12,short,rr
1765523493751,580,14948,972.00,short,rr
1765523493762,604,10013,652.89,short,rr
1765523493804,500,28370,1939.03,short,rr
1765523493947,460,34712,2413.17,short,rr
1765523493970,600,14017,902.14,short,rr
1765523493997,64,57631,3942.35,short,rr
1765523494109,620,11901,797.90,short,rr
1765523494114,36,60925,4105.59,short,rr
1765523494164,540,27653,1851.28,short,rr
1765523494174,608,16339,1047.13,short,rr
1765523494201,16,62310,4083.65,short,rr
1765523494215,524,33758,2137.42,short,rr
1765523494253,504,35087,2324.92,short,rr
1765523494259,664,5159,312.00,short,rr
1765523494330,632,14050,890.71,short,rr
1765523494333,644,13209,815.04,short,rr
1765523494335,616,16110,1047.18,short,rr
1765523494339,544,31163,2023.55,short,rr
1765523494413,648,10793,742.46,short,rr
1765523494442,508,35603,2491.32,short,rr
1765523494512,220,64881,4417.98,short,rr
1765523494561,708,3875,230.38,short,rr
1765523494563,716,2720,229.08,short,rr
1765523494572,212,65075,4496.19,short,rr
1765523494583,728,3064,145.00,short,rr
1765523494592,680,7043,478.24,short,rr
1765523494675,40,68394,4563.60,short,rr
1765523494724,744,2458,151.19,short,rr
1765523494791,736,5265,296.83,short,rr
1765523494794,720,8007,457.69,short,rr
1765523494794,684,10138,628.69,short,rr
1765523494894,688,11237,719.05,short,rr
1765523494971,724,9435,631.93,short,rr
1765523494989,8,72058,4984.83,short,rr
1765523494989,732,7337,547.32,short,rr
1765523495034,404,59869,4027.09,short,rr
1765523495149,676,17025,1039.24,short,rr
1765523495162,44,72699,5046.02,short,rr
1765523495172,120,73022,5144.27,short,rr
1765523495204,768,5160,410.38,short,rr
1765523495229,28,77377,5222.89,short,rr
1765523495312,80,77088,5297.61,short,rr
1765523495359,792,7050,387.25,short,rr
1765523495390,668,21808,1419.34,short,rr
1765523495610,764,12659,818.93,short,rr
1765523495632,748,15184,1048.91,short,rr
1765523495657,116,82945,5631.15,short,rr
1765523495793,320,75804,5251.31,short,rr
1765523495796,464,65293,4246.56,short,rr
1765523495865,812,9206,636.55,short,rr
1765523495900,656,33313,2147.01,short,rr
1765523495910,712,23296,1577.81,short,rr
1765523496130,692,29645,1928.84,short,rr
1765523496148,412,75772,5067.02,short,rr
1765523496204,844,6713,406.57,short,rr
1765523496213,436,74721,4991.15,short,rr
1765523496227,624,41203,2883.63,short,rr
1765523496296,596,48545,3305.59,short,rr
1765523496400,628,42082,3034.35,short,rr
1765523496539,788,23805,1584.58,short,rr
1765523496549,740,30452,1986.38,short,rr
1765523496626,864,6875,478.22,short,rr
1765523496630,636,45242,3122.01,short,rr
1765523496636,392,82938,5709.27,short,rr
1765523496701,124,96294,6671.10,short,rr
1765523496717,852,11520,814.86,short,rr
1765523496721,672,42139,2722.70,short,rr
1765523496780,836,16964,1122.02,short,rr
1765523496811,456,80070,5466.21,short,rr
1765523496848,872,9756,635.11,short,rr
1765523496857,912,2485,156.01,short,rr
1765523496909,848,16485,1043.54,short,rr
1765523496914,816,23466,1601.84,short,rr
1765523496932,312,95289,6449.92,short,rr
1765523497041,528,71938,4857.24,short,rr
1765523497043,592,60916,4089.65,short,rr
1765523497070,824,26581,1678.83,short,rr
1765523497073,860,13149,943.06,short,rr
1765523497083,944,2877,149.97,short,rr
1765523497115,948,2538,148.66,short,rr
1765523497118,952,2923,147.42,short,rr
1765523497189,832,22528,1579.12,short,rr
1765523497232,652,52931,3511.89,short,rr
1765523497349,888,13049,808.63,short,rr
1765523497370,756,40156,2722.01,short,rr
1765523497405,876,18204,1187.59,short,rr
1765523497466,936,7576,556.79,short,rr
1765523497557,964,7838,484.19,short,rr
1765523497566,932,9057,708.42,short,rr
1765523497625,420,96676,6488.13,short,rr
1765523497641,808,37067,2467.92,short,rr
1765523497662,468,90190,6073.58,short,rr
1765523497682,984,7249,386.89,short,rr
1765523497723,968,10418,637.82,short,rr
1765523497725,880,24267,1496.34,short,rr
1765523497747,1008,2260,160.75,short,rr
1765523497825,1032,2440,98.11,short,rr
1765523497896,992,6604,491.05,short,rr
1765523497957,784,45429,3045.60,short,rr
1765523497991,1040,3497,162.57,short,rr
1765523497992,900,20737,1365.88,short,rr
1765523498079,1020,7123,415.43,short,rr
1765523498113,1044,2756,153.90,short,rr
1765523498150,908,23343,1519.07,short,rr
1765523498221,1048,2689,230.27,short,rr
1765523498537,960,22330,1466.35,short,rr
1765523498586,976,22641,1468.05,short,rr
1765523498679,1060,8083,566.73,short,rr
1765523498695,1000,18357,1137.25,short,rr
1765523498703,1016,15955,1061.80,short,rr
1765523498712,588,84553,5785.38,short,rr
1765523498731,796,53136,3603.88,short,rr
1765523498778,1004,18194,1211.61,short,rr
1765523498870,660,75780,5108.12,short,rr
1765523499071,800,56286,3920.31,short,rr
1765523499153,1108,4547,244.52,short,rr
1765523499225,828,54961,3675.13,short,rr
1765523499238,1012,25265,1611.48,short,rr
1765523499275,1104,5833,404.96,short,rr
1765523499411,1092,11153,697.25,short,rr
1765523499426,1124,2717,147.47,short,rr
1765523499461,1120,3741,221.68,short,rr
1765523499605,956,39243,2562.07,short,rr
1765523499711,1112,9189,555.77,short,rr
1765523499750,988,36362,2401.47,short,rr
1765523499874,980,39404,2640.77,short,rr
1765523499888,1100,17328,1108.13,short,rr
1765523499918,1140,4563,312.30,short,rr
1765523499932,1116,11634,706.89,short,rr
1765523499977,1068,28285,1824.78,short,rr
1765523500062,884,54936,3660.79,short,rr
1765523500084,700,85588,5829.59,short,rr
1765523500095,1164,2788,162.14,short,rr
1765523500109,1152,3199,235.18,short,rr
