time_ms,stream_id,bytes,sct_ms,class,scheduler
1765524003320,4,51200,2891.60,short,rr
1765524003390,0,51200,2963.32,short,rr
1765524003425,8,51200,2992.71,short,rr
1765524003468,48,51200,3027.63,short,rr
1765524003484,112,51200,3029.58,short,rr
1765524003491,68,51200,3031.14,short,rr
1765524003496,132,51200,3031.28,short,rr
1765524003505,32,51200,3068.56,short,rr
1765524003513,164,51200,3033.43,short,rr
1765524003526,216,51200,3031.50,short,rr
1765524003542,228,51200,3031.38,short,rr
1765524003552,24,51200,3108.56,short,rr
1765524003558,28,51200,3107.66,short,rr
1765524003559,104,51200,3110.05,short,rr
1765524003564,44,51200,3110.31,short,rr
1765524003579,88,51200,3112.03,short,rr
1765524003604,72,51200,3114.91,short,rr
1765524003606,204,51200,3114.73,short,rr
1765524003615,212,51200,3114.74,short,rr
1765524003620,172,51200,3116.00,short,rr
1765524003632,40,51200,3192.93,short,rr
1765524003634,12,51200,3191.82,short,rr
1765524003639,100,51200,3193.20,short,rr
1765524003656,76,51200,3195.01,short,rr
1765524003665,140,51200,3196.69,short,rr
1765524003670,92,51200,3199.29,short,rr
1765524003674,152,51200,3198.01,short,rr
1765524003685,60,51200,3201.86,short,rr
1765524003697,208,51200,3203.20,short,rr
1765524003702,224,51200,3204.45,short,rr
1765524003706,168,51200,3204.83,short,rr
1765524003711,180,51200,3205.72,short,rr
1765524003714,200,51200,3205.76,short,rr
1765524003729,16,51200,3281.63,short,rr
1765524003743,116,51200,3286.01,short,rr
1765524003748,80,51200,3286.27,short,rr
1765524003752,136,51200,3286.39,short,rr
1765524003756,144,51200,3286.53,short,rr
1765524003764,156,51200,3286.54,short,rr
1765524003769,108,51200,3287.79,short,rr
1765524003776,196,51200,3289.08,short,rr
1765524003779,124,51200,3289.01,short,rr
1765524003787,220,51200,3290.32,short,rr
1765524003788,148,51200,3289.08,short,rr
1765524003805,236,51200,3292.92,short,rr
1765524003821,36,51200,3369.17,short,rr
1765524003825,64,51200,3369.27,short,rr
