time_ms,stream_id,bytes,sct_ms,class,scheduler
1765523325785,68,3216,2.45,short,wfq
1765523325824,0,6626,55.84,short,wfq
1765523325843,60,3530,2.58,short,wfq
1765523325860,96,2229,1.36,short,wfq
1765523325986,88,3844,130.88,short,wfq
1765523326042,152,3657,142.35,short,wfq
1765523326091,208,3247,165.24,short,wfq
1765523326107,216,6383,308.35,short,wfq
1765523326137,144,2121,0.00,short,wfq
1765523326143,48,7057,311.48,short,wfq
1765523326161,176,3265,1.22,short,wfq
1765523326189,128,6085,2.52,short,wfq
1765523326230,264,5709,213.88,short,wfq
1765523326255,76,5029,407.58,short,wfq
1765523326268,276,4755,209.05,short,wfq
1765523326297,28,3744,406.24,short,wfq
1765523326316,280,2279,215.12,short,wfq
1765523326316,84,7025,522.94,short,wfq
1765523326322,16,9743,520.01,short,wfq
1765523326357,52,10928,521.64,short,wfq
1765523326402,292,2397,211.43,short,wfq
1765523326426,228,8409,543.43,short,wfq
1765523326470,268,5454,431.85,short,wfq
1765523326494,192,11356,580.61,short,wfq
1765523326501,184,8552,583.17,short,wfq
1765523326502,188,9744,420.37,short,wfq
1765523326562,8,17436,744.71,short,wfq
1765523326562,244,11722,607.49,short,wfq
1765523326584,308,2756,225.65,short,wfq
1765523326656,236,8225,430.69,short,wfq
1765523326656,320,5211,216.61,short,wfq
1765523326669,108,14759,772.91,short,wfq
1765523326674,116,9803,775.48,short,wfq
1765523326714,200,11623,797.34,short,wfq
1765523326752,336,3098,214.07,short,wfq
1765523326779,340,4892,215.23,short,wfq
1765523326819,100,14233,958.67,short,wfq
1765523326835,312,9710,433.14,short,wfq
1765523326872,348,2126,215.21,short,wfq
1765523326872,56,13382,980.50,short,wfq
1765523326881,388,2366,1.18,short,wfq
1765523326890,352,4811,216.41,short,wfq
1765523326911,172,19120,1005.97,short,wfq
1765523326915,296,10718,646.87,short,wfq
1765523326921,180,19202,1010.80,short,wfq
1765523326930,328,5399,427.79,short,wfq
1765523326941,404,2717,2.50,short,wfq
1765523327063,224,17150,853.59,short,wfq
1765523327066,412,3313,2.45,short,wfq
1765523327152,428,3060,2.78,short,wfq
1765523327165,140,22633,1375.98,short,wfq
1765523327252,120,24453,1379.15,short,wfq
1765523327284,316,15910,856.19,short,wfq
1765523327309,392,9232,426.92,short,wfq
1765523327333,324,14341,858.71,short,wfq
1765523327340,400,5507,424.38,short,wfq
1765523327386,432,3412,220.26,short,wfq
1765523327447,256,24627,1461.14,short,wfq
1765523327512,384,11536,635.75,short,wfq
1765523327529,396,12672,635.94,short,wfq
1765523327598,460,2851,211.48,short,wfq
1765523327662,260,24307,1490.60,short,wfq
1765523327675,436,7625,420.29,short,wfq
1765523327703,24,31121,1691.78,short,wfq
1765523327713,132,32328,1689.24,short,wfq
1765523327772,456,8238,407.54,short,wfq
1765523327780,20,35357,2000.79,short,wfq
1765523327787,92,33701,2001.87,short,wfq
1765523327825,4,39075,2053.02,short,wfq
1765523327848,80,36328,1996.87,short,wfq
1765523327848,464,7413,401.01,short,wfq
1765523327872,408,14451,618.97,short,wfq
1765523327899,232,28632,1891.84,short,wfq
1765523327903,444,13940,619.01,short,wfq
1765523327920,468,10166,406.13,short,wfq
1765523327932,492,6188,205.08,short,wfq
1765523327935,168,31278,1890.44,short,wfq
1765523327940,420,13806,824.24,short,wfq
1765523327962,196,36171,1891.81,short,wfq
1765523328055,508,7163,207.50,short,wfq
1765523328063,480,8767,401.15,short,wfq
1765523328085,136,36617,2209.66,short,wfq
1765523328089,544,3024,2.55,short,wfq
1765523328107,516,5340,207.46,short,wfq
1765523328113,380,22025,1245.74,short,wfq
1765523328144,524,2598,207.56,short,wfq
1765523328159,448,14473,826.62,short,wfq
1765523328169,572,2326,1.15,short,wfq
1765523328182,496,6732,408.70,short,wfq
1765523328203,476,12133,604.69,short,wfq
1765523328207,364,25739,1454.77,short,wfq
1765523328249,44,48773,2473.55,short,wfq
1765523328257,288,36442,2104.50,short,wfq
1765523328348,560,3890,212.77,short,wfq
1765523328382,612,2380,1.21,short,wfq
1765523328385,332,33410,1877.67,short,wfq
1765523328412,72,39249,2616.66,short,wfq
1765523328522,548,5515,420.43,short,wfq
1765523328551,112,41910,2519.86,short,wfq
1765523328568,564,9849,424.32,short,wfq
1765523328575,424,24531,1446.67,short,wfq
1765523328716,600,7002,415.20,short,wfq
1765523328748,520,17199,835.73,short,wfq
1765523328758,624,5004,206.43,short,wfq
1765523328814,576,13845,630.77,short,wfq
1765523328825,636,2076,206.42,short,wfq
1765523328903,540,15636,837.03,short,wfq
1765523328936,160,54477,2935.14,short,wfq
1765523328964,556,12602,843.48,short,wfq
1765523328976,608,8595,627.94,short,wfq
1765523329040,300,44149,2721.20,short,wfq
1765523329044,676,2900,2.51,short,wfq
1765523329046,584,14731,835.69,short,wfq
1765523329100,596,14940,831.83,short,wfq
1765523329112,656,2736,208.95,short,wfq
1765523329122,148,57170,3254.37,short,wfq
1765523329242,652,8693,417.75,short,wfq
1765523329246,696,2740,2.54,short,wfq
1765523329258,680,2485,211.56,short,wfq
1765523329260,704,2481,2.57,short,wfq
1765523329318,376,47240,2498.15,short,wfq
1765523329324,708,2213,1.27,short,wfq
1765523329358,660,6563,407.63,short,wfq
1765523329358,488,27879,1654.92,short,wfq
1765523329415,632,13299,826.86,short,wfq
1765523329450,700,4023,203.85,short,wfq
1765523329466,32,63015,3659.34,short,wfq
1765523329478,368,46589,2704.55,short,wfq
1765523329523,688,6673,408.88,short,wfq
1765523329567,712,2497,208.90,short,wfq
1765523329604,628,18693,1029.79,short,wfq
1765523329700,344,55826,3115.89,short,wfq
1765523329741,692,12714,601.10,short,wfq
1765523329750,12,43790,3531.30,short,wfq
1765523329799,760,4746,192.17,short,wfq
1765523329834,240,68836,3904.60,short,wfq
1765523330003,568,34951,1840.70,short,wfq
1765523330106,484,42909,2430.39,short,wfq
1765523330122,640,26530,1406.20,short,wfq
1765523330140,764,7121,388.48,short,wfq
1765523330150,756,10217,583.22,short,wfq
1765523330197,800,2930,2.55,short,wfq
1765523330215,672,23649,1192.15,short,wfq
1765523330258,40,75559,4444.02,short,wfq
1765523330264,536,40760,2240.50,short,wfq
1765523330279,772,4650,392.22,short,wfq
1765523330308,784,2869,199.96,short,wfq
1765523330341,792,5026,200.95,short,wfq
1765523330359,664,26328,1394.57,short,wfq
1765523330395,824,2822,2.58,short,wfq
1765523330438,304,72773,4114.54,short,wfq
1765523330511,156,77123,4634.66,short,wfq
1765523330515,788,7931,392.14,short,wfq
1765523330538,820,6475,196.12,short,wfq
1765523330583,452,57803,3237.85,short,wfq
1765523330614,532,50463,2631.52,short,wfq
1765523330661,248,79333,4687.41,short,wfq
1765523330681,104,82405,4816.92,short,wfq
1765523330702,832,3285,190.93,short,wfq
1765523330704,836,4635,187.10,short,wfq
1765523330711,860,2955,2.54,short,wfq
1765523330738,796,10174,585.66,short,wfq
1765523330751,668,32456,1774.05,short,wfq
1765523330779,360,71385,4060.67,short,wfq
1765523330790,616,40891,2399.60,short,wfq
1765523330845,500,54437,3019.83,short,wfq
1765523330874,684,30838,1772.70,short,wfq
1765523330900,440,64438,3626.16,short,wfq
1765523330997,580,48811,2790.38,short,wfq
1765523331025,736,28083,1556.03,short,wfq
1765523331072,856,7094,385.80,short,wfq
1765523331097,904,3094,196.01,short,wfq
1765523331148,768,25006,1349.71,short,wfq
1765523331183,892,5657,376.76,short,wfq
1765523331183,724,31189,1736.71,short,wfq
1765523331196,936,3112,2.56,short,wfq
1765523331197,848,12229,571.53,short,wfq
1765523331256,916,5047,184.50,short,wfq
1765523331263,816,17962,954.87,short,wfq
1765523331265,948,2433,2.80,short,wfq
1765523331284,924,5841,187.38,short,wfq
1765523331320,876,13861,569.33,short,wfq
1765523331390,284,93964,5278.61,short,wfq
1765523331399,912,6554,373.31,short,wfq
1765523331404,804,20258,1146.06,short,wfq
1765523331443,944,2963,187.35,short,wfq
1765523331451,512,66237,3575.20,short,wfq
1765523331552,780,30766,1526.71,short,wfq
1765523331557,908,10746,553.97,short,wfq
1765523331618,504,68498,3766.14,short,wfq
1765523331634,964,3040,190.97,short,wfq
1765523331683,872,17996,944.70,short,wfq
1765523331692,164,97323,5637.30,short,wfq
1765523331707,1004,2937,2.54,short,wfq
1765523331724,884,18512,939.67,short,wfq
1765523331764,988,2240,192.23,short,wfq
