time_ms,stream_id,bytes,sct_ms,class,scheduler
1765522939874,0,51200,1776.53,short,wfq
1765522940006,16,51200,1872.89,short,wfq
1765522940038,48,51200,1870.61,short,wfq
1765522940048,60,51200,1869.35,short,wfq
1765522940066,8,51200,1869.20,short,wfq
1765522940084,116,51200,1874.30,short,wfq
1765522940111,28,51200,1997.37,short,wfq
1765522940116,104,51200,1997.74,short,wfq
1765522940120,124,51200,1997.94,short,wfq
1765522940122,148,51200,1996.69,short,wfq
1765522940122,152,51200,1993.07,short,wfq
1765522940134,128,51200,1997.29,short,wfq
1765522940136,108,51200,1996.09,short,wfq
1765522940141,20,51200,1997.41,short,wfq
1765522940150,80,51200,2044.51,short,wfq
1765522940154,40,51200,1994.85,short,wfq
1765522940154,44,51200,1991.02,short,wfq
1765522940166,52,51200,1994.76,short,wfq
1765522940171,56,51200,1996.03,short,wfq
1765522940183,68,51200,1996.17,short,wfq
1765522940191,76,51200,1997.41,short,wfq
1765522940199,88,51200,1998.56,short,wfq
1765522940199,12,51200,1926.81,short,wfq
1765522940204,96,51200,1920.41,short,wfq
1765522940204,92,51200,2001.21,short,wfq
1765522940210,100,51200,2003.34,short,wfq
1765522940222,120,51200,1924.26,short,wfq
1765522940240,156,51200,2020.44,short,wfq
1765522940325,36,51200,2133.12,short,wfq
1765522940359,136,51200,1945.92,short,wfq
1765522940371,140,51200,1811.37,short,wfq
1765522940375,144,51200,2156.17,short,wfq
1765522941175,112,51200,2883.09,short,wfq
1765522941762,160,51200,1887.98,short,wfq
1765522941996,164,51200,1885.57,short,wfq
1765522942003,168,51200,1886.84,short,wfq
1765522942007,176,51200,1884.32,short,wfq
1765522942012,180,51200,1885.54,short,wfq
1765522942016,184,51200,1885.54,short,wfq
1765522942024,188,51200,1887.17,short,wfq
1765522942045,200,51200,1886.83,short,wfq
1765522942051,204,51200,1889.39,short,wfq
1765522942051,208,51200,1884.40,short,wfq
1765522942057,212,51200,1885.76,short,wfq
1765522942058,216,51200,1883.34,short,wfq
1765522942066,220,51200,1883.07,short,wfq
1765522942076,228,51200,1880.46,short,wfq
1765522942082,236,51200,1881.79,short,wfq
1765522942089,244,51200,1878.41,short,wfq
1765522942094,248,51200,1880.55,short,wfq
1765522942104,252,51200,1885.64,short,wfq
1765522942109,256,51200,1885.61,short,wfq
1765522942125,260,51200,1884.27,short,wfq
1765522942153,264,51200,1884.48,short,wfq
